"indicatore","territorio","anno","valore"
"Età media","Piacenza",2002,46
"Età media","Piacenza",2003,46.1
"Età media","Piacenza",2004,46
"Età media","Piacenza",2005,45.9
"Età media","Piacenza",2006,45.9
"Età media","Piacenza",2007,45.9
"Età media","Piacenza",2008,45.9
"Età media","Piacenza",2009,45.8
"Età media","Piacenza",2010,45.8
"Età media","Piacenza",2011,45.8
"Età media","Piacenza",2012,45.9
"Età media","Piacenza",2013,46
"Età media","Piacenza",2014,46.1
"Età media","Piacenza",2015,46.3
"Età media","Piacenza",2016,46.5
"Età media","Piacenza",2017,46.6
"Età media","Piacenza",2018,46.7
"Età media","Piacenza",2019,46.8
"Età media","Piacenza",2020,46.95
"Età media","Piacenza",2021,46.8741
"Età media","Piacenza",2022,47.0116
"Età media","Piacenza",2023,47.0832
"Età media","Piacenza",2024,47.1
"Età media","Piacenza",2025,47.3
"Età media","Piacenza",2026,47.4
"Età media","Parma",2002,45.3
"Età media","Parma",2003,45.3
"Età media","Parma",2004,45.3
"Età media","Parma",2005,45.2
"Età media","Parma",2006,45.2
"Età media","Parma",2007,45.3
"Età media","Parma",2008,45.2
"Età media","Parma",2009,45.1
"Età media","Parma",2010,45.1
"Età media","Parma",2011,45.1
"Età media","Parma",2012,45.2
"Età media","Parma",2013,45.2
"Età media","Parma",2014,45.3
"Età media","Parma",2015,45.4
"Età media","Parma",2016,45.5
"Età media","Parma",2017,45.6
"Età media","Parma",2018,45.7
"Età media","Parma",2019,45.8
"Età media","Parma",2020,45.88
"Età media","Parma",2021,45.8313
"Età media","Parma",2022,45.9815
"Età media","Parma",2023,46.0372
"Età media","Parma",2024,46.1
"Età media","Parma",2025,46.3
"Età media","Parma",2026,46.4
"Età media","Reggio nell'Emilia",2002,43.2
"Età media","Reggio nell'Emilia",2003,43.2
"Età media","Reggio nell'Emilia",2004,43.1
"Età media","Reggio nell'Emilia",2005,43
"Età media","Reggio nell'Emilia",2006,43
"Età media","Reggio nell'Emilia",2007,43
"Età media","Reggio nell'Emilia",2008,42.9
"Età media","Reggio nell'Emilia",2009,42.9
"Età media","Reggio nell'Emilia",2010,42.9
"Età media","Reggio nell'Emilia",2011,43
"Età media","Reggio nell'Emilia",2012,43.2
"Età media","Reggio nell'Emilia",2013,43.3
"Età media","Reggio nell'Emilia",2014,43.5
"Età media","Reggio nell'Emilia",2015,43.7
"Età media","Reggio nell'Emilia",2016,43.9
"Età media","Reggio nell'Emilia",2017,44.1
"Età media","Reggio nell'Emilia",2018,44.4
"Età media","Reggio nell'Emilia",2019,44.6
