"indicatore","territorio","anno","valore"
"Indice di vecchiaia","Piacenza",2002,217.7
"Indice di vecchiaia","Piacenza",2003,214.3
"Indice di vecchiaia","Piacenza",2004,211.1
"Indice di vecchiaia","Piacenza",2005,208.9
"Indice di vecchiaia","Piacenza",2006,205.9
"Indice di vecchiaia","Piacenza",2007,203.3
"Indice di vecchiaia","Piacenza",2008,200.4
"Indice di vecchiaia","Piacenza",2009,195.1
"Indice di vecchiaia","Piacenza",2010,191.2
"Indice di vecchiaia","Piacenza",2011,188.7
"Indice di vecchiaia","Piacenza",2012,189.6
"Indice di vecchiaia","Piacenza",2013,190.1
"Indice di vecchiaia","Piacenza",2014,191.2
"Indice di vecchiaia","Piacenza",2015,192.5
"Indice di vecchiaia","Piacenza",2016,194.4
"Indice di vecchiaia","Piacenza",2017,195.8
"Indice di vecchiaia","Piacenza",2018,197.3
"Indice di vecchiaia","Piacenza",2019,197.9
"Indice di vecchiaia","Piacenza",2020,200.04
"Indice di vecchiaia","Piacenza",2021,198.83
"Indice di vecchiaia","Piacenza",2022,202.054
"Indice di vecchiaia","Piacenza",2023,205.296
"Indice di vecchiaia","Piacenza",2024,207.8
"Indice di vecchiaia","Piacenza",2025,213.2
"Indice di vecchiaia","Piacenza",2026,218.3
"Indice di vecchiaia","Parma",2002,204.2
"Indice di vecchiaia","Parma",2003,200.8
"Indice di vecchiaia","Parma",2004,199
"Indice di vecchiaia","Parma",2005,195.8
"Indice di vecchiaia","Parma",2006,193.8
"Indice di vecchiaia","Parma",2007,191.3
"Indice di vecchiaia","Parma",2008,187.3
"Indice di vecchiaia","Parma",2009,181.3
"Indice di vecchiaia","Parma",2010,177.5
"Indice di vecchiaia","Parma",2011,173.7
"Indice di vecchiaia","Parma",2012,173.9
"Indice di vecchiaia","Parma",2013,173.8
"Indice di vecchiaia","Parma",2014,174.1
"Indice di vecchiaia","Parma",2015,174.4
"Indice di vecchiaia","Parma",2016,174.4
"Indice di vecchiaia","Parma",2017,174.9
"Indice di vecchiaia","Parma",2018,175.4
"Indice di vecchiaia","Parma",2019,176.5
"Indice di vecchiaia","Parma",2020,177.57
"Indice di vecchiaia","Parma",2021,176.752
"Indice di vecchiaia","Parma",2022,178.206
"Indice di vecchiaia","Parma",2023,181.149
"Indice di vecchiaia","Parma",2024,185
"Indice di vecchiaia","Parma",2025,191
"Indice di vecchiaia","Parma",2026,196.7
"Indice di vecchiaia","Reggio nell'Emilia",2002,156.3
"Indice di vecchiaia","Reggio nell'Emilia",2003,152.2
"Indice di vecchiaia","Reggio nell'Emilia",2004,148.6
"Indice di vecchiaia","Reggio nell'Emilia",2005,145.8
"Indice di vecchiaia","Reggio nell'Emilia",2006,142.5
"Indice di vecchiaia","Reggio nell'Emilia",2007,140.3
"Indice di vecchiaia","Reggio nell'Emilia",2008,136.7
"Indice di vecchiaia","Reggio nell'Emilia",2009,133.8
"Indice di vecchiaia","Reggio nell'Emilia",2010,132
"Indice di vecchiaia","Reggio nell'Emilia",2011,130.1
"Indice di vecchiaia","Reggio nell'Emilia",2012,131.8
