"indicatore","territorio","anno","valore"
"Indice di dipendenza strutturale","Piacenza",2002,55.4
"Indice di dipendenza strutturale","Piacenza",2003,56.1
"Indice di dipendenza strutturale","Piacenza",2004,56.2
"Indice di dipendenza strutturale","Piacenza",2005,56.9
"Indice di dipendenza strutturale","Piacenza",2006,57.6
"Indice di dipendenza strutturale","Piacenza",2007,58.1
"Indice di dipendenza strutturale","Piacenza",2008,58
"Indice di dipendenza strutturale","Piacenza",2009,58
"Indice di dipendenza strutturale","Piacenza",2010,58.3
"Indice di dipendenza strutturale","Piacenza",2011,58.2
"Indice di dipendenza strutturale","Piacenza",2012,58.9
"Indice di dipendenza strutturale","Piacenza",2013,59.3
"Indice di dipendenza strutturale","Piacenza",2014,59.7
"Indice di dipendenza strutturale","Piacenza",2015,60.3
"Indice di dipendenza strutturale","Piacenza",2016,60.4
"Indice di dipendenza strutturale","Piacenza",2017,60.4
"Indice di dipendenza strutturale","Piacenza",2018,60.2
"Indice di dipendenza strutturale","Piacenza",2019,60.1
"Indice di dipendenza strutturale","Piacenza",2020,60.28
"Indice di dipendenza strutturale","Piacenza",2021,59.6729
"Indice di dipendenza strutturale","Piacenza",2022,59.8762
"Indice di dipendenza strutturale","Piacenza",2023,59.7495
"Indice di dipendenza strutturale","Piacenza",2024,59.8
"Indice di dipendenza strutturale","Piacenza",2025,59.8
"Indice di dipendenza strutturale","Piacenza",2026,59.9
"Indice di dipendenza strutturale","Parma",2002,53
"Indice di dipendenza strutturale","Parma",2003,53.6
"Indice di dipendenza strutturale","Parma",2004,53.8
"Indice di dipendenza strutturale","Parma",2005,54.3
"Indice di dipendenza strutturale","Parma",2006,55.2
"Indice di dipendenza strutturale","Parma",2007,55.7
"Indice di dipendenza strutturale","Parma",2008,55.9
"Indice di dipendenza strutturale","Parma",2009,55.8
"Indice di dipendenza strutturale","Parma",2010,56.1
"Indice di dipendenza strutturale","Parma",2011,55.9
"Indice di dipendenza strutturale","Parma",2012,56.7
"Indice di dipendenza strutturale","Parma",2013,57.1
"Indice di dipendenza strutturale","Parma",2014,57.7
"Indice di dipendenza strutturale","Parma",2015,57.9
"Indice di dipendenza strutturale","Parma",2016,58
"Indice di dipendenza strutturale","Parma",2017,57.9
"Indice di dipendenza strutturale","Parma",2018,57.6
"Indice di dipendenza strutturale","Parma",2019,57.6
"Indice di dipendenza strutturale","Parma",2020,57.42
"Indice di dipendenza strutturale","Parma",2021,56.8506
"Indice di dipendenza strutturale","Parma",2022,57.0515
"Indice di dipendenza strutturale","Parma",2023,56.5502
"Indice di dipendenza strutturale","Parma",2024,56.3
"Indice di dipendenza strutturale","Parma",2025,56.1
"Indice di dipendenza strutturale","Parma",2026,56.1
"Indice di dipendenza strutturale","Reggio nell'Emilia",2002,51.4
"Indice di dipendenza strutturale","Reggio nell'Emilia",2003,52.1
"Indice di dipendenza strutturale","Reggio nell'Emilia",2004,52.3
"Indice di dipendenza strutturale","Reggio nell'Emilia",2005,52.7
"Indice di dipendenza strutturale","Reggio nell'Emilia",2006,53.3
"Indice di dipendenza strutturale","Reggio nell'Emilia",2007,53.7
"Indice di dipendenza strutturale","Reggio nell'Emilia",2008,53.9
"Indice di dipendenza strutturale","Reggio nell'Emilia",2009,53.9
"Indice di dipendenza strutturale","Reggio nell'Emilia",2010,54.2
"Indice di dipendenza strutturale","Reggio nell'Emilia",2011,54.2
"Indice di dipendenza strutturale","Reggio nell'Emilia",2012,55
"Indice di dipendenza strutturale","Reggio nell'Emilia",2013,55.5
"Indice di dipendenza strutturale","Reggio nell'Emilia",2014,56
"Indice di dipendenza strutturale","Reggio nell'Emilia",2015,56.6
