"indicatore","territorio","anno","valore"
"Indice di dipendenza anziani","Piacenza",2002,38
"Indice di dipendenza anziani","Piacenza",2003,38.3
"Indice di dipendenza anziani","Piacenza",2004,38.2
"Indice di dipendenza anziani","Piacenza",2005,38.5
"Indice di dipendenza anziani","Piacenza",2006,38.8
"Indice di dipendenza anziani","Piacenza",2007,38.9
"Indice di dipendenza anziani","Piacenza",2008,38.7
"Indice di dipendenza anziani","Piacenza",2009,38.3
"Indice di dipendenza anziani","Piacenza",2010,38.3
"Indice di dipendenza anziani","Piacenza",2011,38
"Indice di dipendenza anziani","Piacenza",2012,38.6
"Indice di dipendenza anziani","Piacenza",2013,38.9
"Indice di dipendenza anziani","Piacenza",2014,39.2
"Indice di dipendenza anziani","Piacenza",2015,39.7
"Indice di dipendenza anziani","Piacenza",2016,39.9
"Indice di dipendenza anziani","Piacenza",2017,40
"Indice di dipendenza anziani","Piacenza",2018,39.9
"Indice di dipendenza anziani","Piacenza",2019,39.9
"Indice di dipendenza anziani","Piacenza",2020,40.19
"Indice di dipendenza anziani","Piacenza",2021,39.7041
"Indice di dipendenza anziani","Piacenza",2022,40.0532
"Indice di dipendenza anziani","Piacenza",2023,40.1785
"Indice di dipendenza anziani","Piacenza",2024,40.4
"Indice di dipendenza anziani","Piacenza",2025,40.7
"Indice di dipendenza anziani","Piacenza",2026,41.1
"Indice di dipendenza anziani","Parma",2002,35.6
"Indice di dipendenza anziani","Parma",2003,35.8
"Indice di dipendenza anziani","Parma",2004,35.8
"Indice di dipendenza anziani","Parma",2005,35.9
"Indice di dipendenza anziani","Parma",2006,36.4
"Indice di dipendenza anziani","Parma",2007,36.6
"Indice di dipendenza anziani","Parma",2008,36.5
"Indice di dipendenza anziani","Parma",2009,36
"Indice di dipendenza anziani","Parma",2010,35.9
"Indice di dipendenza anziani","Parma",2011,35.5
"Indice di dipendenza anziani","Parma",2012,36
"Indice di dipendenza anziani","Parma",2013,36.3
"Indice di dipendenza anziani","Parma",2014,36.6
"Indice di dipendenza anziani","Parma",2015,36.8
"Indice di dipendenza anziani","Parma",2016,36.8
"Indice di dipendenza anziani","Parma",2017,36.9
"Indice di dipendenza anziani","Parma",2018,36.7
"Indice di dipendenza anziani","Parma",2019,36.7
"Indice di dipendenza anziani","Parma",2020,36.73
"Indice di dipendenza anziani","Parma",2021,36.3085
"Indice di dipendenza anziani","Parma",2022,36.5446
"Indice di dipendenza anziani","Parma",2023,36.4362
"Indice di dipendenza anziani","Parma",2024,36.6
"Indice di dipendenza anziani","Parma",2025,36.9
"Indice di dipendenza anziani","Parma",2026,37.2
"Indice di dipendenza anziani","Reggio nell'Emilia",2002,31.3
"Indice di dipendenza anziani","Reggio nell'Emilia",2003,31.5
"Indice di dipendenza anziani","Reggio nell'Emilia",2004,31.3
"Indice di dipendenza anziani","Reggio nell'Emilia",2005,31.3
"Indice di dipendenza anziani","Reggio nell'Emilia",2006,31.3
"Indice di dipendenza anziani","Reggio nell'Emilia",2007,31.4
"Indice di dipendenza anziani","Reggio nell'Emilia",2008,31.1
"Indice di dipendenza anziani","Reggio nell'Emilia",2009,30.8
"Indice di dipendenza anziani","Reggio nell'Emilia",2010,30.8
"Indice di dipendenza anziani","Reggio nell'Emilia",2011,30.6
"Indice di dipendenza anziani","Reggio nell'Emilia",2012,31.3
"Indice di dipendenza anziani","Reggio nell'Emilia",2013,31.7
"Indice di dipendenza anziani","Reggio nell'Emilia",2014,32.2
"Indice di dipendenza anziani","Reggio nell'Emilia",2015,32.8
"Indice di dipendenza anziani","Reggio nell'Emilia",2016,33.1
"Indice di dipendenza anziani","Reggio nell'Emilia",2017,33.4
"Indice di dipendenza anziani","Reggio nell'Emilia",2018,33.6
"Indice di dipendenza anziani","Reggio nell'Emilia",2019,33.8
"Indice di dipendenza anziani","Reggio nell'Emilia",2020,34.23
"Indice di dipendenza anziani","Reggio nell'Emilia",2021,34.3929
"Indice di dipendenza anziani","Reggio nell'Emilia",2022,34.6693
"Indice di dipendenza anziani","Reggio nell'Emilia",2023,34.8649
"Indice di dipendenza anziani","Reggio nell'Emilia",2024,35.1
"Indice di dipendenza anziani","Reggio nell'Emilia",2025,35.5
"Indice di dipendenza anziani","Reggio nell'Emilia",2026,36.1
"Indice di dipendenza anziani","Modena",2002,30.7
"Indice di dipendenza anziani","Modena",2003,31
"Indice di dipendenza anziani","Modena",2004,31.3
"Indice di dipendenza anziani","Modena",2005,31.6
"Indice di dipendenza anziani","Modena",2006,32.1
"Indice di dipendenza anziani","Modena",2007,32.5
"Indice di dipendenza anziani","Modena",2008,32.5
"Indice di dipendenza anziani","Modena",2009,32.4
"Indice di dipendenza anziani","Modena",2010,32.6
"Indice di dipendenza anziani","Modena",2011,32.4
"Indice di dipendenza anziani","Modena",2012,33.2
"Indice di dipendenza anziani","Modena",2013,33.8
"Indice di dipendenza anziani","Modena",2014,34.4
"Indice di dipendenza anziani","Modena",2015,35.1
"Indice di dipendenza anziani","Modena",2016,35.5
"Indice di dipendenza anziani","Modena",2017,35.8
"Indice di dipendenza anziani","Modena",2018,36
"Indice di dipendenza anziani","Modena",2019,36
"Indice di dipendenza anziani","Modena",2020,36.41
"Indice di dipendenza anziani","Modena",2021,36.4541
"Indice di dipendenza anziani","Modena",2022,36.8473
"Indice di dipendenza anziani","Modena",2023,36.9731
"Indice di dipendenza anziani","Modena",2024,37.2
"Indice di dipendenza anziani","Modena",2025,37.6
"Indice di dipendenza anziani","Modena",2026,38
"Indice di dipendenza anziani","Bologna",2002,35.6
"Indice di dipendenza anziani","Bologna",2003,36.1
"Indice di dipendenza anziani","Bologna",2004,36.5
"Indice di dipendenza anziani","Bologna",2005,37
"Indice di dipendenza anziani","Bologna",2006,37.6
"Indice di dipendenza anziani","Bologna",2007,37.9
"Indice di dipendenza anziani","Bologna",2008,37.9
"Indice di dipendenza anziani","Bologna",2009,37.6
"Indice di dipendenza anziani","Bologna",2010,37.6
"Indice di dipendenza anziani","Bologna",2011,37.3
"Indice di dipendenza anziani","Bologna",2012,38
"Indice di dipendenza anziani","Bologna",2013,38.4
"Indice di dipendenza anziani","Bologna",2014,38.9
"Indice di dipendenza anziani","Bologna",2015,39.2
"Indice di dipendenza anziani","Bologna",2016,39.2
"Indice di dipendenza anziani","Bologna",2017,39.1
"Indice di dipendenza anziani","Bologna",2018,39.1
"Indice di dipendenza anziani","Bologna",2019,39.1
"Indice di dipendenza anziani","Bologna",2020,38.99
"Indice di dipendenza anziani","Bologna",2021,38.6513
"Indice di dipendenza anziani","Bologna",2022,38.9325
"Indice di dipendenza anziani","Bologna",2023,38.9123
"Indice di dipendenza anziani","Bologna",2024,39
"Indice di dipendenza anziani","Bologna",2025,39.3
"Indice di dipendenza anziani","Bologna",2026,39.7
"Indice di dipendenza anziani","Ferrara",2002,37.4
"Indice di dipendenza anziani","Ferrara",2003,38.2
"Indice di dipendenza anziani","Ferrara",2004,38.7
"Indice di dipendenza anziani","Ferrara",2005,39.2
"Indice di dipendenza anziani","Ferrara",2006,39.9
"Indice di dipendenza anziani","Ferrara",2007,40.2
"Indice di dipendenza anziani","Ferrara",2008,40.2
"Indice di dipendenza anziani","Ferrara",2009,40.3
"Indice di dipendenza anziani","Ferrara",2010,40.5
"Indice di dipendenza anziani","Ferrara",2011,40.2
"Indice di dipendenza anziani","Ferrara",2012,41.4
"Indice di dipendenza anziani","Ferrara",2013,42.3
"Indice di dipendenza anziani","Ferrara",2014,43.4
"Indice di dipendenza anziani","Ferrara",2015,44.1
"Indice di dipendenza anziani","Ferrara",2016,44.7
"Indice di dipendenza anziani","Ferrara",2017,45.3
"Indice di dipendenza anziani","Ferrara",2018,45.5
"Indice di dipendenza anziani","Ferrara",2019,45.9
"Indice di dipendenza anziani","Ferrara",2020,46.36
"Indice di dipendenza anziani","Ferrara",2021,46.4932
"Indice di dipendenza anziani","Ferrara",2022,46.9346
"Indice di dipendenza anziani","Ferrara",2023,47.2147
"Indice di dipendenza anziani","Ferrara",2024,47.4
"Indice di dipendenza anziani","Ferrara",2025,48
"Indice di dipendenza anziani","Ferrara",2026,48.4
"Indice di dipendenza anziani","Ravenna",2002,37
"Indice di dipendenza anziani","Ravenna",2003,37.5
"Indice di dipendenza anziani","Ravenna",2004,37.8
"Indice di dipendenza anziani","Ravenna",2005,38.4
"Indice di dipendenza anziani","Ravenna",2006,38.8
"Indice di dipendenza anziani","Ravenna",2007,38.8
"Indice di dipendenza anziani","Ravenna",2008,38.4
"Indice di dipendenza anziani","Ravenna",2009,38.1
"Indice di dipendenza anziani","Ravenna",2010,38
"Indice di dipendenza anziani","Ravenna",2011,37.9
"Indice di dipendenza anziani","Ravenna",2012,38.4
"Indice di dipendenza anziani","Ravenna",2013,38.8
"Indice di dipendenza anziani","Ravenna",2014,39.5
"Indice di dipendenza anziani","Ravenna",2015,40.2
"Indice di dipendenza anziani","Ravenna",2016,40.5
"Indice di dipendenza anziani","Ravenna",2017,40.7
"Indice di dipendenza anziani","Ravenna",2018,40.8
"Indice di dipendenza anziani","Ravenna",2019,41.1
"Indice di dipendenza anziani","Ravenna",2020,41.3
"Indice di dipendenza anziani","Ravenna",2021,41.2612
"Indice di dipendenza anziani","Ravenna",2022,41.4364
"Indice di dipendenza anziani","Ravenna",2023,41.5487
"Indice di dipendenza anziani","Ravenna",2024,41.7
"Indice di dipendenza anziani","Ravenna",2025,42.2
"Indice di dipendenza anziani","Ravenna",2026,42.6
