"indicatore","territorio","anno","valore"
"15-64 anni","Piacenza",2002,64.3
"15-64 anni","Piacenza",2003,64
"15-64 anni","Piacenza",2004,64
"15-64 anni","Piacenza",2005,63.8
"15-64 anni","Piacenza",2006,63.5
"15-64 anni","Piacenza",2007,63.3
"15-64 anni","Piacenza",2008,63.3
"15-64 anni","Piacenza",2009,63.3
"15-64 anni","Piacenza",2010,63.2
"15-64 anni","Piacenza",2011,63.2
"15-64 anni","Piacenza",2012,62.9
"15-64 anni","Piacenza",2013,62.8
"15-64 anni","Piacenza",2014,62.6
"15-64 anni","Piacenza",2015,62.4
"15-64 anni","Piacenza",2016,62.3
"15-64 anni","Piacenza",2017,62.3
"15-64 anni","Piacenza",2018,62.4
"15-64 anni","Piacenza",2019,62.5
"15-64 anni","Piacenza",2020,62.39
"15-64 anni","Piacenza",2021,62.628
"15-64 anni","Piacenza",2022,62.5484
"15-64 anni","Piacenza",2023,62.598
"15-64 anni","Piacenza",2024,62.6
"15-64 anni","Piacenza",2025,62.6
"15-64 anni","Piacenza",2026,62.6
"15-64 anni","Parma",2002,65.4
"15-64 anni","Parma",2003,65.1
"15-64 anni","Parma",2004,65
"15-64 anni","Parma",2005,64.8
"15-64 anni","Parma",2006,64.4
"15-64 anni","Parma",2007,64.2
"15-64 anni","Parma",2008,64.1
"15-64 anni","Parma",2009,64.2
"15-64 anni","Parma",2010,64.1
"15-64 anni","Parma",2011,64.1
"15-64 anni","Parma",2012,63.8
"15-64 anni","Parma",2013,63.6
"15-64 anni","Parma",2014,63.4
"15-64 anni","Parma",2015,63.3
"15-64 anni","Parma",2016,63.3
"15-64 anni","Parma",2017,63.3
"15-64 anni","Parma",2018,63.4
"15-64 anni","Parma",2019,63.5
"15-64 anni","Parma",2020,63.52
"15-64 anni","Parma",2021,63.7549
"15-64 anni","Parma",2022,63.6734
"15-64 anni","Parma",2023,63.8773
"15-64 anni","Parma",2024,64
"15-64 anni","Parma",2025,64
"15-64 anni","Parma",2026,64
"15-64 anni","Reggio nell'Emilia",2002,66.1
"15-64 anni","Reggio nell'Emilia",2003,65.7
"15-64 anni","Reggio nell'Emilia",2004,65.7
"15-64 anni","Reggio nell'Emilia",2005,65.5
"15-64 anni","Reggio nell'Emilia",2006,65.2
"15-64 anni","Reggio nell'Emilia",2007,65.1
"15-64 anni","Reggio nell'Emilia",2008,65
