"indicatore","territorio","anno","valore"
"65 anni e oltre","Piacenza",2002,24.4
"65 anni e oltre","Piacenza",2003,24.5
"65 anni e oltre","Piacenza",2004,24.4
"65 anni e oltre","Piacenza",2005,24.5
"65 anni e oltre","Piacenza",2006,24.6
"65 anni e oltre","Piacenza",2007,24.6
"65 anni e oltre","Piacenza",2008,24.5
"65 anni e oltre","Piacenza",2009,24.3
"65 anni e oltre","Piacenza",2010,24.2
"65 anni e oltre","Piacenza",2011,24
"65 anni e oltre","Piacenza",2012,24.3
"65 anni e oltre","Piacenza",2013,24.4
"65 anni e oltre","Piacenza",2014,24.6
"65 anni e oltre","Piacenza",2015,24.8
"65 anni e oltre","Piacenza",2016,24.9
"65 anni e oltre","Piacenza",2017,24.9
"65 anni e oltre","Piacenza",2018,24.9
"65 anni e oltre","Piacenza",2019,24.9
"65 anni e oltre","Piacenza",2020,25.07
"65 anni e oltre","Piacenza",2021,24.8659
"65 anni e oltre","Piacenza",2022,25.0527
"65 anni e oltre","Piacenza",2023,25.1509
"65 anni e oltre","Piacenza",2024,25.3
"65 anni e oltre","Piacenza",2025,25.5
"65 anni e oltre","Piacenza",2026,25.7
"65 anni e oltre","Parma",2002,23.2
"65 anni e oltre","Parma",2003,23.3
"65 anni e oltre","Parma",2004,23.3
"65 anni e oltre","Parma",2005,23.3
"65 anni e oltre","Parma",2006,23.5
"65 anni e oltre","Parma",2007,23.5
"65 anni e oltre","Parma",2008,23.4
"65 anni e oltre","Parma",2009,23.1
"65 anni e oltre","Parma",2010,23
"65 anni e oltre","Parma",2011,22.8
"65 anni e oltre","Parma",2012,23
"65 anni e oltre","Parma",2013,23.1
"65 anni e oltre","Parma",2014,23.2
"65 anni e oltre","Parma",2015,23.3
"65 anni e oltre","Parma",2016,23.3
"65 anni e oltre","Parma",2017,23.3
"65 anni e oltre","Parma",2018,23.3
"65 anni e oltre","Parma",2019,23.3
"65 anni e oltre","Parma",2020,23.33
"65 anni e oltre","Parma",2021,23.1485
"65 anni e oltre","Parma",2022,23.2692
"65 anni e oltre","Parma",2023,23.2745
"65 anni e oltre","Parma",2024,23.4
"65 anni e oltre","Parma",2025,23.6
"65 anni e oltre","Parma",2026,23.8
"65 anni e oltre","Reggio nell'Emilia",2002,20.7
"65 anni e oltre","Reggio nell'Emilia",2003,20.7
"65 anni e oltre","Reggio nell'Emilia",2004,20.5
"65 anni e oltre","Reggio nell'Emilia",2005,20.5
"65 anni e oltre","Reggio nell'Emilia",2006,20.4
"65 anni e oltre","Reggio nell'Emilia",2007,20.4
"65 anni e oltre","Reggio nell'Emilia",2008,20.2
"65 anni e oltre","Reggio nell'Emilia",2009,20
"65 anni e oltre","Reggio nell'Emilia",2010,20
"65 anni e oltre","Reggio nell'Emilia",2011,19.9
"65 anni e oltre","Reggio nell'Emilia",2012,20.2
"65 anni e oltre","Reggio nell'Emilia",2013,20.4
"65 anni e oltre","Reggio nell'Emilia",2014,20.6
"65 anni e oltre","Reggio nell'Emilia",2015,21
"65 anni e oltre","Reggio nell'Emilia",2016,21.1
"65 anni e oltre","Reggio nell'Emilia",2017,21.3
"65 anni e oltre","Reggio nell'Emilia",2018,21.4
"65 anni e oltre","Reggio nell'Emilia",2019,21.6
"65 anni e oltre","Reggio nell'Emilia",2020,21.91
"65 anni e oltre","Reggio nell'Emilia",2021,22.044
"65 anni e oltre","Reggio nell'Emilia",2022,22.2472
"65 anni e oltre","Reggio nell'Emilia",2023,22.4293
"65 anni e oltre","Reggio nell'Emilia",2024,22.6
"65 anni e oltre","Reggio nell'Emilia",2025,22.9
"65 anni e oltre","Reggio nell'Emilia",2026,23.3
"65 anni e oltre","Modena",2002,20.5
"65 anni e oltre","Modena",2003,20.6
"65 anni e oltre","Modena",2004,20.7
"65 anni e oltre","Modena",2005,20.8
"65 anni e oltre","Modena",2006,21
"65 anni e oltre","Modena",2007,21.1
"65 anni e oltre","Modena",2008,21.1
"65 anni e oltre","Modena",2009,21
"65 anni e oltre","Modena",2010,21.1
"65 anni e oltre","Modena",2011,21
"65 anni e oltre","Modena",2012,21.4
"65 anni e oltre","Modena",2013,21.6
"65 anni e oltre","Modena",2014,21.9
"65 anni e oltre","Modena",2015,22.2
"65 anni e oltre","Modena",2016,22.5
"65 anni e oltre","Modena",2017,22.6
"65 anni e oltre","Modena",2018,22.8
"65 anni e oltre","Modena",2019,22.8
"65 anni e oltre","Modena",2020,23.07
"65 anni e oltre","Modena",2021,23.1364
"65 anni e oltre","Modena",2022,23.3644
"65 anni e oltre","Modena",2023,23.4928
"65 anni e oltre","Modena",2024,23.7
"65 anni e oltre","Modena",2025,23.9
"65 anni e oltre","Modena",2026,24.2
"65 anni e oltre","Bologna",2002,23.3
"65 anni e oltre","Bologna",2003,23.5
"65 anni e oltre","Bologna",2004,23.6
"65 anni e oltre","Bologna",2005,23.8
"65 anni e oltre","Bologna",2006,24
"65 anni e oltre","Bologna",2007,24.1
"65 anni e oltre","Bologna",2008,24
"65 anni e oltre","Bologna",2009,23.9
"65 anni e oltre","Bologna",2010,23.8
"65 anni e oltre","Bologna",2011,23.7
"65 anni e oltre","Bologna",2012,23.9
"65 anni e oltre","Bologna",2013,24.1
"65 anni e oltre","Bologna",2014,24.3
"65 anni e oltre","Bologna",2015,24.5
"65 anni e oltre","Bologna",2016,24.5
"65 anni e oltre","Bologna",2017,24.5
"65 anni e oltre","Bologna",2018,24.5
"65 anni e oltre","Bologna",2019,24.5
"65 anni e oltre","Bologna",2020,24.51
"65 anni e oltre","Bologna",2021,24.409
"65 anni e oltre","Bologna",2022,24.5763
"65 anni e oltre","Bologna",2023,24.6326
"65 anni e oltre","Bologna",2024,24.8
"65 anni e oltre","Bologna",2025,25
"65 anni e oltre","Bologna",2026,25.2
"65 anni e oltre","Ferrara",2002,24.7
"65 anni e oltre","Ferrara",2003,25
"65 anni e oltre","Ferrara",2004,25.2
"65 anni e oltre","Ferrara",2005,25.4
"65 anni e oltre","Ferrara",2006,25.7
"65 anni e oltre","Ferrara",2007,25.8
"65 anni e oltre","Ferrara",2008,25.7
"65 anni e oltre","Ferrara",2009,25.7
"65 anni e oltre","Ferrara",2010,25.7
"65 anni e oltre","Ferrara",2011,25.5
"65 anni e oltre","Ferrara",2012,26
"65 anni e oltre","Ferrara",2013,26.4
"65 anni e oltre","Ferrara",2014,26.9
"65 anni e oltre","Ferrara",2015,27.2
"65 anni e oltre","Ferrara",2016,27.4
"65 anni e oltre","Ferrara",2017,27.7
"65 anni e oltre","Ferrara",2018,27.8
"65 anni e oltre","Ferrara",2019,28
"65 anni e oltre","Ferrara",2020,28.26
"65 anni e oltre","Ferrara",2021,28.3467
"65 anni e oltre","Ferrara",2022,28.5532
"65 anni e oltre","Ferrara",2023,28.7055
"65 anni e oltre","Ferrara",2024,28.9
"65 anni e oltre","Ferrara",2025,29.1
"65 anni e oltre","Ferrara",2026,29.4
"65 anni e oltre","Ravenna",2002,24.1
"65 anni e oltre","Ravenna",2003,24.3
"65 anni e oltre","Ravenna",2004,24.3
"65 anni e oltre","Ravenna",2005,24.5
"65 anni e oltre","Ravenna",2006,24.6
"65 anni e oltre","Ravenna",2007,24.6
"65 anni e oltre","Ravenna",2008,24.3
"65 anni e oltre","Ravenna",2009,24.1
"65 anni e oltre","Ravenna",2010,24
"65 anni e oltre","Ravenna",2011,23.9
"65 anni e oltre","Ravenna",2012,24.2
"65 anni e oltre","Ravenna",2013,24.3
"65 anni e oltre","Ravenna",2014,24.6
"65 anni e oltre","Ravenna",2015,24.9
"65 anni e oltre","Ravenna",2016,25.1
"65 anni e oltre","Ravenna",2017,25.2
"65 anni e oltre","Ravenna",2018,25.3
"65 anni e oltre","Ravenna",2019,25.5
"65 anni e oltre","Ravenna",2020,25.6
"65 anni e oltre","Ravenna",2021,25.6081
"65 anni e oltre","Ravenna",2022,25.7505
"65 anni e oltre","Ravenna",2023,25.8609
"65 anni e oltre","Ravenna",2024,26
"65 anni e oltre","Ravenna",2025,26.3
"65 anni e oltre","Ravenna",2026,26.6
"65 anni e oltre","Forli'",2002,21.6
"65 anni e oltre","Forli'",2003,21.7
"65 anni e oltre","Forli'",2004,21.9
"65 anni e oltre","Forli'",2005,22.1
"65 anni e oltre","Forli'",2006,22.3
"65 anni e oltre","Forli'",2007,22.5
"65 anni e oltre","Forli'",2008,22.5
"65 anni e oltre","Forli'",2009,22.4
"65 anni e oltre","Forli'",2010,22.4
"65 anni e oltre","Forli'",2011,22.3
"65 anni e oltre","Forli'",2012,22.6
"65 anni e oltre","Forli'",2013,22.9
"65 anni e oltre","Forli'",2014,23.2
"65 anni e oltre","Forli'",2015,23.5
"65 anni e oltre","Forli'",2016,23.8
"65 anni e oltre","Forli'",2017,24.1
"65 anni e oltre","Forli'",2018,24.2
"65 anni e oltre","Forli'",2019,24.4
"65 anni e oltre","Forli'",2020,24.54
"65 anni e oltre","Forli'",2021,24.6698
"65 anni e oltre","Forli'",2022,24.8476
"65 anni e oltre","Forli'",2023,25.0026
"65 anni e oltre","Forli'",2024,25.2
"65 anni e oltre","Forli'",2025,25.5
"65 anni e oltre","Forli'",2026,25.8
"65 anni e oltre","Rimini",2002,19.7
"65 anni e oltre","Rimini",2003,20
"65 anni e oltre","Rimini",2004,20.2
"65 anni e oltre","Rimini",2005,20.4
"65 anni e oltre","Rimini",2006,20.6
"65 anni e oltre","Rimini",2007,20.7
"65 anni e oltre","Rimini",2008,20.7
"65 anni e oltre","Rimini",2009,20.8
"65 anni e oltre","Rimini",2010,20.9
"65 anni e oltre","Rimini",2011,20.9
"65 anni e oltre","Rimini",2012,21.2
"65 anni e oltre","Rimini",2013,21.5
"65 anni e oltre","Rimini",2014,21.8
"65 anni e oltre","Rimini",2015,22.1
"65 anni e oltre","Rimini",2016,22.3
"65 anni e oltre","Rimini",2017,22.6
"65 anni e oltre","Rimini",2018,22.8
"65 anni e oltre","Rimini",2019,23
"65 anni e oltre","Rimini",2020,23.26
"65 anni e oltre","Rimini",2021,23.3328
"65 anni e oltre","Rimini",2022,23.675
"65 anni e oltre","Rimini",2023,23.997
"65 anni e oltre","Rimini",2024,24.4
"65 anni e oltre","Rimini",2025,24.8
"65 anni e oltre","Rimini",2026,25.3
"65 anni e oltre","Emilia-Romagna",2002,22.4
"65 anni e oltre","Emilia-Romagna",2003,22.5
"65 anni e oltre","Emilia-Romagna",2004,22.6
"65 anni e oltre","Emilia-Romagna",2005,22.7
"65 anni e oltre","Emilia-Romagna",2006,22.9
"65 anni e oltre","Emilia-Romagna",2007,23
"65 anni e oltre","Emilia-Romagna",2008,22.9
"65 anni e oltre","Emilia-Romagna",2009,22.7
"65 anni e oltre","Emilia-Romagna",2010,22.7
"65 anni e oltre","Emilia-Romagna",2011,22.6
"65 anni e oltre","Emilia-Romagna",2012,22.9
"65 anni e oltre","Emilia-Romagna",2013,23.1
"65 anni e oltre","Emilia-Romagna",2014,23.3
"65 anni e oltre","Emilia-Romagna",2015,23.6
"65 anni e oltre","Emilia-Romagna",2016,23.7
"65 anni e oltre","Emilia-Romagna",2017,23.9
"65 anni e oltre","Emilia-Romagna",2018,23.9
"65 anni e oltre","Emilia-Romagna",2019,24
"65 anni e oltre","Emilia-Romagna",2020,24.18
"65 anni e oltre","Emilia-Romagna",2021,24.177
"65 anni e oltre","Emilia-Romagna",2022,24.368
"65 anni e oltre","Emilia-Romagna",2023,24.4874
"65 anni e oltre","Emilia-Romagna",2024,24.7
"65 anni e oltre","Emilia-Romagna",2025,24.9
"65 anni e oltre","Emilia-Romagna",2026,25.2
"65 anni e oltre","ITALIA",2002,18.7
"65 anni e oltre","ITALIA",2003,19
"65 anni e oltre","ITALIA",2004,19.2
"65 anni e oltre","ITALIA",2005,19.5
"65 anni e oltre","ITALIA",2006,19.8
"65 anni e oltre","ITALIA",2007,20.1
"65 anni e oltre","ITALIA",2008,20.2
"65 anni e oltre","ITALIA",2009,20.2
"65 anni e oltre","ITALIA",2010,20.4
"65 anni e oltre","ITALIA",2011,20.4
"65 anni e oltre","ITALIA",2012,20.8
"65 anni e oltre","ITALIA",2013,21.1
"65 anni e oltre","ITALIA",2014,21.5
"65 anni e oltre","ITALIA",2015,21.9
"65 anni e oltre","ITALIA",2016,22.1
"65 anni e oltre","ITALIA",2017,22.4
"65 anni e oltre","ITALIA",2018,22.6
"65 anni e oltre","ITALIA",2019,22.9
"65 anni e oltre","ITALIA",2020,23.24
"65 anni e oltre","ITALIA",2021,23.5355
"65 anni e oltre","ITALIA",2022,23.8038
"65 anni e oltre","ITALIA",2023,24.0372
"65 anni e oltre","ITALIA",2024,24.3
"65 anni e oltre","ITALIA",2025,24.7
"65 anni e oltre","ITALIA",2026,25.1
