"indicatore","territorio","anno","valore"
"crescita_naturale","Piacenza",2002,-4.9
"crescita_naturale","Piacenza",2003,-5.9
"crescita_naturale","Piacenza",2004,-4.3
"crescita_naturale","Piacenza",2005,-4.4
"crescita_naturale","Piacenza",2006,-4
"crescita_naturale","Piacenza",2007,-3.8
"crescita_naturale","Piacenza",2008,-3.7
"crescita_naturale","Piacenza",2009,-3.3
"crescita_naturale","Piacenza",2010,-3.7
"crescita_naturale","Piacenza",2011,-3.4
"crescita_naturale","Piacenza",2012,-4.2
"crescita_naturale","Piacenza",2013,-3.9
"crescita_naturale","Piacenza",2014,-3.9
"crescita_naturale","Piacenza",2015,-5
"crescita_naturale","Piacenza",2016,-4.7
"crescita_naturale","Piacenza",2017,-5.7
"crescita_naturale","Piacenza",2018,-5.3
"crescita_naturale","Piacenza",2019,-5
"crescita_naturale","Piacenza",2020,-10.8
"crescita_naturale","Piacenza",2021,-6.4
"crescita_naturale","Piacenza",2022,-6.2
"crescita_naturale","Piacenza",2023,-5.7
"crescita_naturale","Piacenza",2024,-5.3
"crescita_naturale","Piacenza",2025,-5.4
"crescita_naturale","Parma",2002,-4.2
"crescita_naturale","Parma",2003,-4.8
"crescita_naturale","Parma",2004,-2.9
"crescita_naturale","Parma",2005,-2.7
"crescita_naturale","Parma",2006,-2.5
"crescita_naturale","Parma",2007,-2
"crescita_naturale","Parma",2008,-2.3
"crescita_naturale","Parma",2009,-2
"crescita_naturale","Parma",2010,-1.8
"crescita_naturale","Parma",2011,-2.1
"crescita_naturale","Parma",2012,-2.3
"crescita_naturale","Parma",2013,-2.1
"crescita_naturale","Parma",2014,-2.7
"crescita_naturale","Parma",2015,-3
"crescita_naturale","Parma",2016,-2.8
"crescita_naturale","Parma",2017,-3.6
"crescita_naturale","Parma",2018,-3.3
"crescita_naturale","Parma",2019,-3.6
"crescita_naturale","Parma",2020,-7.3
"crescita_naturale","Parma",2021,-4.5
"crescita_naturale","Parma",2022,-4.9
"crescita_naturale","Parma",2023,-4
