"indicatore","territorio","anno","valore"
"età_media_al_parto","Piacenza",2002,30.3
"età_media_al_parto","Piacenza",2003,30.7
"età_media_al_parto","Piacenza",2004,30.3
"età_media_al_parto","Piacenza",2005,30.1
"età_media_al_parto","Piacenza",2006,30.5
"età_media_al_parto","Piacenza",2007,30.5
"età_media_al_parto","Piacenza",2008,30.4
"età_media_al_parto","Piacenza",2009,30.3
"età_media_al_parto","Piacenza",2010,30.7
"età_media_al_parto","Piacenza",2011,30.5
"età_media_al_parto","Piacenza",2012,30.7
"età_media_al_parto","Piacenza",2013,30.7
"età_media_al_parto","Piacenza",2014,31.3
"età_media_al_parto","Piacenza",2015,31.2
"età_media_al_parto","Piacenza",2016,31.1
"età_media_al_parto","Piacenza",2017,31.2
"età_media_al_parto","Piacenza",2018,31.5
"età_media_al_parto","Piacenza",2019,31.2
"età_media_al_parto","Piacenza",2020,31.5
"età_media_al_parto","Piacenza",2021,31.6
"età_media_al_parto","Piacenza",2022,31.9
"età_media_al_parto","Piacenza",2023,32.1
"età_media_al_parto","Piacenza",2024,32.1
"età_media_al_parto","Piacenza",2025,32
"età_media_al_parto","Parma",2002,30.3
"età_media_al_parto","Parma",2003,30.7
"età_media_al_parto","Parma",2004,30.7
"età_media_al_parto","Parma",2005,30.8
"età_media_al_parto","Parma",2006,30.8
"età_media_al_parto","Parma",2007,30.8
"età_media_al_parto","Parma",2008,30.9
"età_media_al_parto","Parma",2009,31
"età_media_al_parto","Parma",2010,31
"età_media_al_parto","Parma",2011,31.3
"età_media_al_parto","Parma",2012,31.3
"età_media_al_parto","Parma",2013,31.4
"età_media_al_parto","Parma",2014,31.4
"età_media_al_parto","Parma",2015,31.5
"età_media_al_parto","Parma",2016,31.6
"età_media_al_parto","Parma",2017,31.8
"età_media_al_parto","Parma",2018,31.9
"età_media_al_parto","Parma",2019,32
"età_media_al_parto","Parma",2020,32
"età_media_al_parto","Parma",2021,32.4
"età_media_al_parto","Parma",2022,32.3
"età_media_al_parto","Parma",2023,32.4
"età_media_al_parto","Parma",2024,32.5
"età_media_al_parto","Parma",2025,32.8
"età_media_al_parto","Reggio nell'Emilia",2002,30.1
"età_media_al_parto","Reggio nell'Emilia",2003,30
"età_media_al_parto","Reggio nell'Emilia",2004,30.2
"età_media_al_parto","Reggio nell'Emilia",2005,30.1
"età_media_al_parto","Reggio nell'Emilia",2006,30
"età_media_al_parto","Reggio nell'Emilia",2007,30.2
"età_media_al_parto","Reggio nell'Emilia",2008,30.2
"età_media_al_parto","Reggio nell'Emilia",2009,30.3
"età_media_al_parto","Reggio nell'Emilia",2010,30.5
"età_media_al_parto","Reggio nell'Emilia",2011,30.7
"età_media_al_parto","Reggio nell'Emilia",2012,30.7
"età_media_al_parto","Reggio nell'Emilia",2013,31.1
"età_media_al_parto","Reggio nell'Emilia",2014,31.2
"età_media_al_parto","Reggio nell'Emilia",2015,31.4
"età_media_al_parto","Reggio nell'Emilia",2016,31.5
"età_media_al_parto","Reggio nell'Emilia",2017,31.5
"età_media_al_parto","Reggio nell'Emilia",2018,31.6
"età_media_al_parto","Reggio nell'Emilia",2019,31.7
"età_media_al_parto","Reggio nell'Emilia",2020,31.9
"età_media_al_parto","Reggio nell'Emilia",2021,32.2
"età_media_al_parto","Reggio nell'Emilia",2022,32.3
"età_media_al_parto","Reggio nell'Emilia",2023,32.5
"età_media_al_parto","Reggio nell'Emilia",2024,32.5
"età_media_al_parto","Reggio nell'Emilia",2025,32.6
"età_media_al_parto","Modena",2002,30.3
"età_media_al_parto","Modena",2003,30.4
"età_media_al_parto","Modena",2004,30.4
"età_media_al_parto","Modena",2005,30.4
"età_media_al_parto","Modena",2006,30.4
"età_media_al_parto","Modena",2007,30.6
