"indicatore","territorio","anno","valore"
"quoziente_di_mortalità","Piacenza",2002,13
"quoziente_di_mortalità","Piacenza",2003,14
"quoziente_di_mortalità","Piacenza",2004,12.7
"quoziente_di_mortalità","Piacenza",2005,12.8
"quoziente_di_mortalità","Piacenza",2006,12.7
"quoziente_di_mortalità","Piacenza",2007,12.6
"quoziente_di_mortalità","Piacenza",2008,12.5
"quoziente_di_mortalità","Piacenza",2009,12.5
"quoziente_di_mortalità","Piacenza",2010,12.4
"quoziente_di_mortalità","Piacenza",2011,11.7
"quoziente_di_mortalità","Piacenza",2012,12.5
"quoziente_di_mortalità","Piacenza",2013,12.1
"quoziente_di_mortalità","Piacenza",2014,11.9
"quoziente_di_mortalità","Piacenza",2015,12.9
"quoziente_di_mortalità","Piacenza",2016,12.3
"quoziente_di_mortalità","Piacenza",2017,12.8
"quoziente_di_mortalità","Piacenza",2018,12.8
"quoziente_di_mortalità","Piacenza",2019,12.1
"quoziente_di_mortalità","Piacenza",2020,17.4
"quoziente_di_mortalità","Piacenza",2021,12.8
"quoziente_di_mortalità","Piacenza",2022,13.1
"quoziente_di_mortalità","Piacenza",2023,12.8
"quoziente_di_mortalità","Piacenza",2024,12
"quoziente_di_mortalità","Piacenza",2025,12
"quoziente_di_mortalità","Parma",2002,12.6
"quoziente_di_mortalità","Parma",2003,13.2
"quoziente_di_mortalità","Parma",2004,12
"quoziente_di_mortalità","Parma",2005,11.9
"quoziente_di_mortalità","Parma",2006,11.8
"quoziente_di_mortalità","Parma",2007,11.7
"quoziente_di_mortalità","Parma",2008,12.1
"quoziente_di_mortalità","Parma",2009,11.8
"quoziente_di_mortalità","Parma",2010,11.6
"quoziente_di_mortalità","Parma",2011,11.3
"quoziente_di_mortalità","Parma",2012,11.2
"quoziente_di_mortalità","Parma",2013,10.8
"quoziente_di_mortalità","Parma",2014,11.3
"quoziente_di_mortalità","Parma",2015,11.4
"quoziente_di_mortalità","Parma",2016,11.1
"quoziente_di_mortalità","Parma",2017,11.4
"quoziente_di_mortalità","Parma",2018,10.9
"quoziente_di_mortalità","Parma",2019,11.1
"quoziente_di_mortalità","Parma",2020,14.6
"quoziente_di_mortalità","Parma",2021,11.8
"quoziente_di_mortalità","Parma",2022,12
"quoziente_di_mortalità","Parma",2023,11
"quoziente_di_mortalità","Parma",2024,11.1
"quoziente_di_mortalità","Parma",2025,11.1
"quoziente_di_mortalità","Reggio nell'Emilia",2002,10.8
"quoziente_di_mortalità","Reggio nell'Emilia",2003,11.2
"quoziente_di_mortalità","Reggio nell'Emilia",2004,9.9
"quoziente_di_mortalità","Reggio nell'Emilia",2005,10.6
"quoziente_di_mortalità","Reggio nell'Emilia",2006,10
"quoziente_di_mortalità","Reggio nell'Emilia",2007,10.5
"quoziente_di_mortalità","Reggio nell'Emilia",2008,10.2
"quoziente_di_mortalità","Reggio nell'Emilia",2009,10.2
"quoziente_di_mortalità","Reggio nell'Emilia",2010,9.9
"quoziente_di_mortalità","Reggio nell'Emilia",2011,9.4
"quoziente_di_mortalità","Reggio nell'Emilia",2012,10.2
"quoziente_di_mortalità","Reggio nell'Emilia",2013,10
"quoziente_di_mortalità","Reggio nell'Emilia",2014,9.8
"quoziente_di_mortalità","Reggio nell'Emilia",2015,10.5
"quoziente_di_mortalità","Reggio nell'Emilia",2016,10.4
"quoziente_di_mortalità","Reggio nell'Emilia",2017,10.2
"quoziente_di_mortalità","Reggio nell'Emilia",2018,10.3
"quoziente_di_mortalità","Reggio nell'Emilia",2019,10.3
"quoziente_di_mortalità","Reggio nell'Emilia",2020,11.9
"quoziente_di_mortalità","Reggio nell'Emilia",2021,11.1
"quoziente_di_mortalità","Reggio nell'Emilia",2022,11.3
"quoziente_di_mortalità","Reggio nell'Emilia",2023,10.4
"quoziente_di_mortalità","Reggio nell'Emilia",2024,10.2
"quoziente_di_mortalità","Reggio nell'Emilia",2025,10.4
"quoziente_di_mortalità","Modena",2002,10.2
"quoziente_di_mortalità","Modena",2003,10.4
"quoziente_di_mortalità","Modena",2004,10.1
"quoziente_di_mortalità","Modena",2005,10
"quoziente_di_mortalità","Modena",2006,9.8
"quoziente_di_mortalità","Modena",2007,10
"quoziente_di_mortalità","Modena",2008,10
"quoziente_di_mortalità","Modena",2009,9.9
"quoziente_di_mortalità","Modena",2010,9.9
"quoziente_di_mortalità","Modena",2011,10
"quoziente_di_mortalità","Modena",2012,10.3
"quoziente_di_mortalità","Modena",2013,10.1
"quoziente_di_mortalità","Modena",2014,9.7
"quoziente_di_mortalità","Modena",2015,10.4
"quoziente_di_mortalità","Modena",2016,10.5
"quoziente_di_mortalità","Modena",2017,10.5
"quoziente_di_mortalità","Modena",2018,10.2
"quoziente_di_mortalità","Modena",2019,10.4
"quoziente_di_mortalità","Modena",2020,12
"quoziente_di_mortalità","Modena",2021,11.4
"quoziente_di_mortalità","Modena",2022,11.5
"quoziente_di_mortalità","Modena",2023,11
"quoziente_di_mortalità","Modena",2024,10.7
"quoziente_di_mortalità","Modena",2025,10.7
"quoziente_di_mortalità","Bologna",2002,11.6
"quoziente_di_mortalità","Bologna",2003,12.3
"quoziente_di_mortalità","Bologna",2004,11.4
"quoziente_di_mortalità","Bologna",2005,11.8
"quoziente_di_mortalità","Bologna",2006,11.5
"quoziente_di_mortalità","Bologna",2007,11.5
"quoziente_di_mortalità","Bologna",2008,11.6
"quoziente_di_mortalità","Bologna",2009,11.6
"quoziente_di_mortalità","Bologna",2010,11.3
"quoziente_di_mortalità","Bologna",2011,11.5
"quoziente_di_mortalità","Bologna",2012,11.6
"quoziente_di_mortalità","Bologna",2013,11.1
"quoziente_di_mortalità","Bologna",2014,11.1
"quoziente_di_mortalità","Bologna",2015,12.2
"quoziente_di_mortalità","Bologna",2016,11.3
"quoziente_di_mortalità","Bologna",2017,11.7
"quoziente_di_mortalità","Bologna",2018,11.5
"quoziente_di_mortalità","Bologna",2019,11.4
"quoziente_di_mortalità","Bologna",2020,13
"quoziente_di_mortalità","Bologna",2021,12.7
"quoziente_di_mortalità","Bologna",2022,12.5
"quoziente_di_mortalità","Bologna",2023,11.7
"quoziente_di_mortalità","Bologna",2024,11.5
"quoziente_di_mortalità","Bologna",2025,11.3
"quoziente_di_mortalità","Ferrara",2002,13
"quoziente_di_mortalità","Ferrara",2003,13.2
"quoziente_di_mortalità","Ferrara",2004,13.1
"quoziente_di_mortalità","Ferrara",2005,12.6
"quoziente_di_mortalità","Ferrara",2006,12.7
"quoziente_di_mortalità","Ferrara",2007,12.8
"quoziente_di_mortalità","Ferrara",2008,13.1
"quoziente_di_mortalità","Ferrara",2009,13.1
"quoziente_di_mortalità","Ferrara",2010,13.2
"quoziente_di_mortalità","Ferrara",2011,12.8
"quoziente_di_mortalità","Ferrara",2012,13.5
"quoziente_di_mortalità","Ferrara",2013,12.4
"quoziente_di_mortalità","Ferrara",2014,12.9
"quoziente_di_mortalità","Ferrara",2015,14.4
"quoziente_di_mortalità","Ferrara",2016,13.6
"quoziente_di_mortalità","Ferrara",2017,14.5
"quoziente_di_mortalità","Ferrara",2018,13.8
"quoziente_di_mortalità","Ferrara",2019,13.5
"quoziente_di_mortalità","Ferrara",2020,15.3
"quoziente_di_mortalità","Ferrara",2021,15.7
"quoziente_di_mortalità","Ferrara",2022,15.5
"quoziente_di_mortalità","Ferrara",2023,13.8
"quoziente_di_mortalità","Ferrara",2024,14
"quoziente_di_mortalità","Ferrara",2025,13.3
"quoziente_di_mortalità","Ravenna",2002,11.9
"quoziente_di_mortalità","Ravenna",2003,12.6
"quoziente_di_mortalità","Ravenna",2004,11.2
"quoziente_di_mortalità","Ravenna",2005,11.4
"quoziente_di_mortalità","Ravenna",2006,11.1
"quoziente_di_mortalità","Ravenna",2007,11.3
"quoziente_di_mortalità","Ravenna",2008,11.5
"quoziente_di_mortalità","Ravenna",2009,11.5
"quoziente_di_mortalità","Ravenna",2010,10.7
"quoziente_di_mortalità","Ravenna",2011,11.6
"quoziente_di_mortalità","Ravenna",2012,11.5
"quoziente_di_mortalità","Ravenna",2013,11.2
"quoziente_di_mortalità","Ravenna",2014,11.2
"quoziente_di_mortalità","Ravenna",2015,12.2
"quoziente_di_mortalità","Ravenna",2016,11.6
"quoziente_di_mortalità","Ravenna",2017,12
"quoziente_di_mortalità","Ravenna",2018,11.7
"quoziente_di_mortalità","Ravenna",2019,12.6
"quoziente_di_mortalità","Ravenna",2020,13.6
"quoziente_di_mortalità","Ravenna",2021,13.6
"quoziente_di_mortalità","Ravenna",2022,13.4
"quoziente_di_mortalità","Ravenna",2023,12.4
"quoziente_di_mortalità","Ravenna",2024,12.2
"quoziente_di_mortalità","Ravenna",2025,12.5
"quoziente_di_mortalità","Forli'",2002,10.7
"quoziente_di_mortalità","Forli'",2003,11.3
"quoziente_di_mortalità","Forli'",2004,9.9
"quoziente_di_mortalità","Forli'",2005,10.4
"quoziente_di_mortalità","Forli'",2006,10.2
"quoziente_di_mortalità","Forli'",2007,10.2
"quoziente_di_mortalità","Forli'",2008,10.7
"quoziente_di_mortalità","Forli'",2009,10.6
"quoziente_di_mortalità","Forli'",2010,10.4
"quoziente_di_mortalità","Forli'",2011,10.4
"quoziente_di_mortalità","Forli'",2012,10.8
"quoziente_di_mortalità","Forli'",2013,10.5
"quoziente_di_mortalità","Forli'",2014,10.5
"quoziente_di_mortalità","Forli'",2015,11.1
"quoziente_di_mortalità","Forli'",2016,10.8
"quoziente_di_mortalità","Forli'",2017,11.3
"quoziente_di_mortalità","Forli'",2018,10.8
"quoziente_di_mortalità","Forli'",2019,11.1
"quoziente_di_mortalità","Forli'",2020,12.4
"quoziente_di_mortalità","Forli'",2021,13.1
"quoziente_di_mortalità","Forli'",2022,12.5
"quoziente_di_mortalità","Forli'",2023,11.4
"quoziente_di_mortalità","Forli'",2024,11.2
"quoziente_di_mortalità","Forli'",2025,11.2
"quoziente_di_mortalità","Rimini",2002,9.4
"quoziente_di_mortalità","Rimini",2003,10.1
"quoziente_di_mortalità","Rimini",2004,9.3
"quoziente_di_mortalità","Rimini",2005,9.3
"quoziente_di_mortalità","Rimini",2006,9.2
"quoziente_di_mortalità","Rimini",2007,9.4
"quoziente_di_mortalità","Rimini",2008,9.8
"quoziente_di_mortalità","Rimini",2009,9.3
"quoziente_di_mortalità","Rimini",2010,9.3
"quoziente_di_mortalità","Rimini",2011,9.6
"quoziente_di_mortalità","Rimini",2012,9.7
"quoziente_di_mortalità","Rimini",2013,9.5
"quoziente_di_mortalità","Rimini",2014,9.4
"quoziente_di_mortalità","Rimini",2015,10.3
"quoziente_di_mortalità","Rimini",2016,9.6
"quoziente_di_mortalità","Rimini",2017,10.4
"quoziente_di_mortalità","Rimini",2018,9.9
"quoziente_di_mortalità","Rimini",2019,10.1
"quoziente_di_mortalità","Rimini",2020,12.5
"quoziente_di_mortalità","Rimini",2021,11.5
"quoziente_di_mortalità","Rimini",2022,11.5
"quoziente_di_mortalità","Rimini",2023,10.3
"quoziente_di_mortalità","Rimini",2024,10.5
"quoziente_di_mortalità","Rimini",2025,9.9
"quoziente_di_mortalità","Emilia-Romagna",2002,11.4
"quoziente_di_mortalità","Emilia-Romagna",2003,11.9
"quoziente_di_mortalità","Emilia-Romagna",2004,11
"quoziente_di_mortalità","Emilia-Romagna",2005,11.2
"quoziente_di_mortalità","Emilia-Romagna",2006,10.9
"quoziente_di_mortalità","Emilia-Romagna",2007,11.1
"quoziente_di_mortalità","Emilia-Romagna",2008,11.2
"quoziente_di_mortalità","Emilia-Romagna",2009,11.1
"quoziente_di_mortalità","Emilia-Romagna",2010,10.9
"quoziente_di_mortalità","Emilia-Romagna",2011,10.9
"quoziente_di_mortalità","Emilia-Romagna",2012,11.2
"quoziente_di_mortalità","Emilia-Romagna",2013,10.8
