"indicatore","territorio","anno","valore"
"quoziente_di_natalità","Piacenza",2002,8.1
"quoziente_di_natalità","Piacenza",2003,8.1
"quoziente_di_natalità","Piacenza",2004,8.4
"quoziente_di_natalità","Piacenza",2005,8.4
"quoziente_di_natalità","Piacenza",2006,8.6
"quoziente_di_natalità","Piacenza",2007,8.8
"quoziente_di_natalità","Piacenza",2008,8.8
"quoziente_di_natalità","Piacenza",2009,9.2
"quoziente_di_natalità","Piacenza",2010,8.6
"quoziente_di_natalità","Piacenza",2011,8.3
"quoziente_di_natalità","Piacenza",2012,8.2
"quoziente_di_natalità","Piacenza",2013,8.2
"quoziente_di_natalità","Piacenza",2014,8
"quoziente_di_natalità","Piacenza",2015,7.9
"quoziente_di_natalità","Piacenza",2016,7.6
"quoziente_di_natalità","Piacenza",2017,7.2
"quoziente_di_natalità","Piacenza",2018,7.5
"quoziente_di_natalità","Piacenza",2019,7.2
"quoziente_di_natalità","Piacenza",2020,6.7
"quoziente_di_natalità","Piacenza",2021,6.4
"quoziente_di_natalità","Piacenza",2022,6.9
"quoziente_di_natalità","Piacenza",2023,7.1
"quoziente_di_natalità","Piacenza",2024,6.7
"quoziente_di_natalità","Piacenza",2025,6.6
"quoziente_di_natalità","Parma",2002,8.4
"quoziente_di_natalità","Parma",2003,8.4
"quoziente_di_natalità","Parma",2004,9.2
"quoziente_di_natalità","Parma",2005,9.2
"quoziente_di_natalità","Parma",2006,9.3
"quoziente_di_natalità","Parma",2007,9.7
"quoziente_di_natalità","Parma",2008,9.8
"quoziente_di_natalità","Parma",2009,9.8
"quoziente_di_natalità","Parma",2010,9.8
"quoziente_di_natalità","Parma",2011,9.2
"quoziente_di_natalità","Parma",2012,8.9
"quoziente_di_natalità","Parma",2013,8.7
"quoziente_di_natalità","Parma",2014,8.5
"quoziente_di_natalità","Parma",2015,8.4
"quoziente_di_natalità","Parma",2016,8.3
"quoziente_di_natalità","Parma",2017,7.8
"quoziente_di_natalità","Parma",2018,7.6
"quoziente_di_natalità","Parma",2019,7.5
"quoziente_di_natalità","Parma",2020,7.3
"quoziente_di_natalità","Parma",2021,7.3
"quoziente_di_natalità","Parma",2022,7.2
"quoziente_di_natalità","Parma",2023,7
"quoziente_di_natalità","Parma",2024,6.7
"quoziente_di_natalità","Parma",2025,6.7
"quoziente_di_natalità","Reggio nell'Emilia",2002,10.5
"quoziente_di_natalità","Reggio nell'Emilia",2003,10.6
"quoziente_di_natalità","Reggio nell'Emilia",2004,11.1
"quoziente_di_natalità","Reggio nell'Emilia",2005,11.1
"quoziente_di_natalità","Reggio nell'Emilia",2006,11
"quoziente_di_natalità","Reggio nell'Emilia",2007,11.5
"quoziente_di_natalità","Reggio nell'Emilia",2008,11.5
"quoziente_di_natalità","Reggio nell'Emilia",2009,11.3
"quoziente_di_natalità","Reggio nell'Emilia",2010,11.3
"quoziente_di_natalità","Reggio nell'Emilia",2011,10.6
"quoziente_di_natalità","Reggio nell'Emilia",2012,10.2
"quoziente_di_natalità","Reggio nell'Emilia",2013,9.7
"quoziente_di_natalità","Reggio nell'Emilia",2014,9
"quoziente_di_natalità","Reggio nell'Emilia",2015,9
"quoziente_di_natalità","Reggio nell'Emilia",2016,8.5
"quoziente_di_natalità","Reggio nell'Emilia",2017,8.1
"quoziente_di_natalità","Reggio nell'Emilia",2018,7.4
"quoziente_di_natalità","Reggio nell'Emilia",2019,7.4
"quoziente_di_natalità","Reggio nell'Emilia",2020,7.2
"quoziente_di_natalità","Reggio nell'Emilia",2021,7.2
"quoziente_di_natalità","Reggio nell'Emilia",2022,6.9
"quoziente_di_natalità","Reggio nell'Emilia",2023,6.8
"quoziente_di_natalità","Reggio nell'Emilia",2024,6.6
"quoziente_di_natalità","Reggio nell'Emilia",2025,6.4
"quoziente_di_natalità","Modena",2002,9.7
"quoziente_di_natalità","Modena",2003,9.5
"quoziente_di_natalità","Modena",2004,10
"quoziente_di_natalità","Modena",2005,10.3
"quoziente_di_natalità","Modena",2006,10.1
"quoziente_di_natalità","Modena",2007,10.3
"quoziente_di_natalità","Modena",2008,10.7
"quoziente_di_natalità","Modena",2009,10.5
"quoziente_di_natalità","Modena",2010,10.3
"quoziente_di_natalità","Modena",2011,10
"quoziente_di_natalità","Modena",2012,9.6
"quoziente_di_natalità","Modena",2013,9
"quoziente_di_natalità","Modena",2014,8.6
"quoziente_di_natalità","Modena",2015,8.5
"quoziente_di_natalità","Modena",2016,8.4
"quoziente_di_natalità","Modena",2017,7.9
"quoziente_di_natalità","Modena",2018,7.8
"quoziente_di_natalità","Modena",2019,7.2
"quoziente_di_natalità","Modena",2020,7
"quoziente_di_natalità","Modena",2021,7.3
"quoziente_di_natalità","Modena",2022,7.3
"quoziente_di_natalità","Modena",2023,6.7
"quoziente_di_natalità","Modena",2024,6.8
