"indicatore","territorio","anno","valore"
"quoziente_di_nuzialità","Piacenza",2002,4.5
"quoziente_di_nuzialità","Piacenza",2003,4.5
"quoziente_di_nuzialità","Piacenza",2004,4
"quoziente_di_nuzialità","Piacenza",2005,4.3
"quoziente_di_nuzialità","Piacenza",2006,4.3
"quoziente_di_nuzialità","Piacenza",2007,4
"quoziente_di_nuzialità","Piacenza",2008,4.2
"quoziente_di_nuzialità","Piacenza",2009,3.6
"quoziente_di_nuzialità","Piacenza",2010,3.3
"quoziente_di_nuzialità","Piacenza",2011,3
"quoziente_di_nuzialità","Piacenza",2012,3
"quoziente_di_nuzialità","Piacenza",2013,2.8
"quoziente_di_nuzialità","Piacenza",2014,2.9
"quoziente_di_nuzialità","Piacenza",2015,3.2
"quoziente_di_nuzialità","Piacenza",2016,3.3
"quoziente_di_nuzialità","Piacenza",2017,3.1
"quoziente_di_nuzialità","Piacenza",2018,2.9
"quoziente_di_nuzialità","Piacenza",2019,3.2
"quoziente_di_nuzialità","Piacenza",2020,1.8
"quoziente_di_nuzialità","Piacenza",2021,3.1
"quoziente_di_nuzialità","Piacenza",2022,3.6
"quoziente_di_nuzialità","Piacenza",2023,3.3707332573748
"quoziente_di_nuzialità","Piacenza",2024,3.1
"quoziente_di_nuzialità","Piacenza",2025,3
"quoziente_di_nuzialità","Parma",2002,4
"quoziente_di_nuzialità","Parma",2003,3.8
"quoziente_di_nuzialità","Parma",2004,3.7
"quoziente_di_nuzialità","Parma",2005,3.4
"quoziente_di_nuzialità","Parma",2006,3.6
"quoziente_di_nuzialità","Parma",2007,3.6
"quoziente_di_nuzialità","Parma",2008,3.4
"quoziente_di_nuzialità","Parma",2009,3.4
"quoziente_di_nuzialità","Parma",2010,3
"quoziente_di_nuzialità","Parma",2011,2.8
"quoziente_di_nuzialità","Parma",2012,3
"quoziente_di_nuzialità","Parma",2013,2.6
"quoziente_di_nuzialità","Parma",2014,2.6
"quoziente_di_nuzialità","Parma",2015,2.7
"quoziente_di_nuzialità","Parma",2016,2.9
"quoziente_di_nuzialità","Parma",2017,2.7
"quoziente_di_nuzialità","Parma",2018,2.6
"quoziente_di_nuzialità","Parma",2019,2.5
"quoziente_di_nuzialità","Parma",2020,1.6
"quoziente_di_nuzialità","Parma",2021,2.6
"quoziente_di_nuzialità","Parma",2022,2.8
"quoziente_di_nuzialità","Parma",2023,2.80403648780079
"quoziente_di_nuzialità","Parma",2024,2.6
"quoziente_di_nuzialità","Parma",2025,2.5
"quoziente_di_nuzialità","Reggio nell'Emilia",2002,3.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2003,3.5
"quoziente_di_nuzialità","Reggio nell'Emilia",2004,3.3
"quoziente_di_nuzialità","Reggio nell'Emilia",2005,3.5
"quoziente_di_nuzialità","Reggio nell'Emilia",2006,3.3
"quoziente_di_nuzialità","Reggio nell'Emilia",2007,3.5
"quoziente_di_nuzialità","Reggio nell'Emilia",2008,3.5
"quoziente_di_nuzialità","Reggio nell'Emilia",2009,3
"quoziente_di_nuzialità","Reggio nell'Emilia",2010,2.9
"quoziente_di_nuzialità","Reggio nell'Emilia",2011,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2012,3
"quoziente_di_nuzialità","Reggio nell'Emilia",2013,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2014,2.6
"quoziente_di_nuzialità","Reggio nell'Emilia",2015,2.6
"quoziente_di_nuzialità","Reggio nell'Emilia",2016,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2017,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2018,2.8
"quoziente_di_nuzialità","Reggio nell'Emilia",2019,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2020,1.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2021,2.7
"quoziente_di_nuzialità","Reggio nell'Emilia",2022,2.8
"quoziente_di_nuzialità","Reggio nell'Emilia",2023,2.99658953258318
"quoziente_di_nuzialità","Reggio nell'Emilia",2024,2.6
