"indicatore","territorio","anno","valore"
"saldo_migratorio_totale","Piacenza",2002,11.4
"saldo_migratorio_totale","Piacenza",2003,18.5
"saldo_migratorio_totale","Piacenza",2004,14.4
"saldo_migratorio_totale","Piacenza",2005,11.6
"saldo_migratorio_totale","Piacenza",2006,11.5
"saldo_migratorio_totale","Piacenza",2007,15.7
"saldo_migratorio_totale","Piacenza",2008,19
"saldo_migratorio_totale","Piacenza",2009,9.1
"saldo_migratorio_totale","Piacenza",2010,8.3
"saldo_migratorio_totale","Piacenza",2011,7.2
"saldo_migratorio_totale","Piacenza",2012,6.7
"saldo_migratorio_totale","Piacenza",2013,4.9
"saldo_migratorio_totale","Piacenza",2014,1.2
"saldo_migratorio_totale","Piacenza",2015,1.4
"saldo_migratorio_totale","Piacenza",2016,3.8
"saldo_migratorio_totale","Piacenza",2017,5.8
"saldo_migratorio_totale","Piacenza",2018,5.5
"saldo_migratorio_totale","Piacenza",2019,7
"saldo_migratorio_totale","Piacenza",2020,5.6
"saldo_migratorio_totale","Piacenza",2021,8.6
"saldo_migratorio_totale","Piacenza",2022,10
"saldo_migratorio_totale","Piacenza",2023,11.2
"saldo_migratorio_totale","Piacenza",2024,9.7
"saldo_migratorio_totale","Piacenza",2025,9.9
"saldo_migratorio_totale","Parma",2002,11.4
"saldo_migratorio_totale","Parma",2003,17
"saldo_migratorio_totale","Parma",2004,16.7
"saldo_migratorio_totale","Parma",2005,10.5
"saldo_migratorio_totale","Parma",2006,8.8
"saldo_migratorio_totale","Parma",2007,14.5
"saldo_migratorio_totale","Parma",2008,19.8
"saldo_migratorio_totale","Parma",2009,10.7
"saldo_migratorio_totale","Parma",2010,11.1
"saldo_migratorio_totale","Parma",2011,7.6
"saldo_migratorio_totale","Parma",2012,11
"saldo_migratorio_totale","Parma",2013,9.7
"saldo_migratorio_totale","Parma",2014,6.4
"saldo_migratorio_totale","Parma",2015,9.5
"saldo_migratorio_totale","Parma",2016,6.6
"saldo_migratorio_totale","Parma",2017,8.1
"saldo_migratorio_totale","Parma",2018,7.8
"saldo_migratorio_totale","Parma",2019,11.3
"saldo_migratorio_totale","Parma",2020,6.3
"saldo_migratorio_totale","Parma",2021,7.9
"saldo_migratorio_totale","Parma",2022,10.6
"saldo_migratorio_totale","Parma",2023,9.9
"saldo_migratorio_totale","Parma",2024,8.2
"saldo_migratorio_totale","Parma",2025,8.3
"saldo_migratorio_totale","Reggio nell'Emilia",2002,14.7
"saldo_migratorio_totale","Reggio nell'Emilia",2003,20.9
"saldo_migratorio_totale","Reggio nell'Emilia",2004,19.1
"saldo_migratorio_totale","Reggio nell'Emilia",2005,14.3
