"indicatore","territorio","anno","valore"
"saldo_migratorio_interno","Piacenza",2002,4.6
"saldo_migratorio_interno","Piacenza",2003,3.4
"saldo_migratorio_interno","Piacenza",2004,3.9
"saldo_migratorio_interno","Piacenza",2005,3.5
"saldo_migratorio_interno","Piacenza",2006,4
"saldo_migratorio_interno","Piacenza",2007,2.6
"saldo_migratorio_interno","Piacenza",2008,4.2
"saldo_migratorio_interno","Piacenza",2009,1.1
"saldo_migratorio_interno","Piacenza",2010,1.5
"saldo_migratorio_interno","Piacenza",2011,2.5
"saldo_migratorio_interno","Piacenza",2012,1.7
"saldo_migratorio_interno","Piacenza",2013,1.5
"saldo_migratorio_interno","Piacenza",2014,0.7
"saldo_migratorio_interno","Piacenza",2015,2
"saldo_migratorio_interno","Piacenza",2016,2.5
"saldo_migratorio_interno","Piacenza",2017,2.6
"saldo_migratorio_interno","Piacenza",2018,2.7
"saldo_migratorio_interno","Piacenza",2019,3.1
"saldo_migratorio_interno","Piacenza",2020,3.5
"saldo_migratorio_interno","Piacenza",2021,3.5
"saldo_migratorio_interno","Piacenza",2022,3.2
"saldo_migratorio_interno","Piacenza",2023,2.7
"saldo_migratorio_interno","Piacenza",2024,2.4
"saldo_migratorio_interno","Piacenza",2025,2.4
"saldo_migratorio_interno","Parma",2002,6
"saldo_migratorio_interno","Parma",2003,4.2
"saldo_migratorio_interno","Parma",2004,6.5
"saldo_migratorio_interno","Parma",2005,3.7
"saldo_migratorio_interno","Parma",2006,3.4
"saldo_migratorio_interno","Parma",2007,2.7
"saldo_migratorio_interno","Parma",2008,5.4
"saldo_migratorio_interno","Parma",2009,2.5
"saldo_migratorio_interno","Parma",2010,2.1
"saldo_migratorio_interno","Parma",2011,2.4
"saldo_migratorio_interno","Parma",2012,3.7
"saldo_migratorio_interno","Parma",2013,4.3
"saldo_migratorio_interno","Parma",2014,3.8
"saldo_migratorio_interno","Parma",2015,5.7
"saldo_migratorio_interno","Parma",2016,4.5
"saldo_migratorio_interno","Parma",2017,4.5
"saldo_migratorio_interno","Parma",2018,3.7
"saldo_migratorio_interno","Parma",2019,5.4
"saldo_migratorio_interno","Parma",2020,3.1
"saldo_migratorio_interno","Parma",2021,3
"saldo_migratorio_interno","Parma",2022,4.3
"saldo_migratorio_interno","Parma",2023,3.1
"saldo_migratorio_interno","Parma",2024,2.7
"saldo_migratorio_interno","Parma",2025,1.6
"saldo_migratorio_interno","Reggio nell'Emilia",2002,9.1
"saldo_migratorio_interno","Reggio nell'Emilia",2003,7.8
"saldo_migratorio_interno","Reggio nell'Emilia",2004,8.1
"saldo_migratorio_interno","Reggio nell'Emilia",2005,6.7
"saldo_migratorio_interno","Reggio nell'Emilia",2006,6.5
"saldo_migratorio_interno","Reggio nell'Emilia",2007,6.1
"saldo_migratorio_interno","Reggio nell'Emilia",2008,4.7
"saldo_migratorio_interno","Reggio nell'Emilia",2009,0.6
"saldo_migratorio_interno","Reggio nell'Emilia",2010,-0.4
"saldo_migratorio_interno","Reggio nell'Emilia",2011,1.4
"saldo_migratorio_interno","Reggio nell'Emilia",2012,1.5
"saldo_migratorio_interno","Reggio nell'Emilia",2013,1.1
"saldo_migratorio_interno","Reggio nell'Emilia",2014,0.1
"saldo_migratorio_interno","Reggio nell'Emilia",2015,1.7
"saldo_migratorio_interno","Reggio nell'Emilia",2016,1.6
"saldo_migratorio_interno","Reggio nell'Emilia",2017,2.5
"saldo_migratorio_interno","Reggio nell'Emilia",2018,3.6
"saldo_migratorio_interno","Reggio nell'Emilia",2019,2.8
"saldo_migratorio_interno","Reggio nell'Emilia",2020,1.8
"saldo_migratorio_interno","Reggio nell'Emilia",2021,1.7
"saldo_migratorio_interno","Reggio nell'Emilia",2022,2.9
"saldo_migratorio_interno","Reggio nell'Emilia",2023,2.7
"saldo_migratorio_interno","Reggio nell'Emilia",2024,2.3
"saldo_migratorio_interno","Reggio nell'Emilia",2025,0.8
"saldo_migratorio_interno","Modena",2002,3.1
"saldo_migratorio_interno","Modena",2003,1.8
"saldo_migratorio_interno","Modena",2004,0.3
"saldo_migratorio_interno","Modena",2005,0.5
"saldo_migratorio_interno","Modena",2006,-0.6
"saldo_migratorio_interno","Modena",2007,0.5
"saldo_migratorio_interno","Modena",2008,3.4
"saldo_migratorio_interno","Modena",2009,0.1
"saldo_migratorio_interno","Modena",2010,-0.2
"saldo_migratorio_interno","Modena",2011,0.8
"saldo_migratorio_interno","Modena",2012,0.8
"saldo_migratorio_interno","Modena",2013,1.5
"saldo_migratorio_interno","Modena",2014,2.1
"saldo_migratorio_interno","Modena",2015,2.1
"saldo_migratorio_interno","Modena",2016,2.7
"saldo_migratorio_interno","Modena",2017,4.1
"saldo_migratorio_interno","Modena",2018,6
"saldo_migratorio_interno","Modena",2019,3.1
"saldo_migratorio_interno","Modena",2020,2.6
"saldo_migratorio_interno","Modena",2021,2
"saldo_migratorio_interno","Modena",2022,3.2
"saldo_migratorio_interno","Modena",2023,2.5
"saldo_migratorio_interno","Modena",2024,2.1
"saldo_migratorio_interno","Modena",2025,1.4
"saldo_migratorio_interno","Bologna",2002,4.3
"saldo_migratorio_interno","Bologna",2003,2.5
"saldo_migratorio_interno","Bologna",2004,3.1
"saldo_migratorio_interno","Bologna",2005,2.6
"saldo_migratorio_interno","Bologna",2006,3.4
"saldo_migratorio_interno","Bologna",2007,2.3
"saldo_migratorio_interno","Bologna",2008,3.6
"saldo_migratorio_interno","Bologna",2009,2.7
"saldo_migratorio_interno","Bologna",2010,2.1
"saldo_migratorio_interno","Bologna",2011,4.1
"saldo_migratorio_interno","Bologna",2012,5.2
"saldo_migratorio_interno","Bologna",2013,4.9
"saldo_migratorio_interno","Bologna",2014,4.6
"saldo_migratorio_interno","Bologna",2015,5
"saldo_migratorio_interno","Bologna",2016,6.1
"saldo_migratorio_interno","Bologna",2017,6.1
"saldo_migratorio_interno","Bologna",2018,6.9
"saldo_migratorio_interno","Bologna",2019,6
"saldo_migratorio_interno","Bologna",2020,4.2
"saldo_migratorio_interno","Bologna",2021,3.7
"saldo_migratorio_interno","Bologna",2022,4.8
"saldo_migratorio_interno","Bologna",2023,3.7
"saldo_migratorio_interno","Bologna",2024,2.6
"saldo_migratorio_interno","Bologna",2025,2.5
"saldo_migratorio_interno","Ferrara",2002,3.3
"saldo_migratorio_interno","Ferrara",2003,3.9
"saldo_migratorio_interno","Ferrara",2004,4.2
"saldo_migratorio_interno","Ferrara",2005,5.7
"saldo_migratorio_interno","Ferrara",2006,6.3
"saldo_migratorio_interno","Ferrara",2007,4.5
"saldo_migratorio_interno","Ferrara",2008,3.6
"saldo_migratorio_interno","Ferrara",2009,1.5
"saldo_migratorio_interno","Ferrara",2010,0.5
"saldo_migratorio_interno","Ferrara",2011,1
"saldo_migratorio_interno","Ferrara",2012,1.2
"saldo_migratorio_interno","Ferrara",2013,1
"saldo_migratorio_interno","Ferrara",2014,3
"saldo_migratorio_interno","Ferrara",2015,0.8
"saldo_migratorio_interno","Ferrara",2016,-0.9
"saldo_migratorio_interno","Ferrara",2017,2.5
"saldo_migratorio_interno","Ferrara",2018,3.3
"saldo_migratorio_interno","Ferrara",2019,2.5
"saldo_migratorio_interno","Ferrara",2020,2.7
"saldo_migratorio_interno","Ferrara",2021,3.5
"saldo_migratorio_interno","Ferrara",2022,4.1
"saldo_migratorio_interno","Ferrara",2023,4.1
"saldo_migratorio_interno","Ferrara",2024,3.9
"saldo_migratorio_interno","Ferrara",2025,4
"saldo_migratorio_interno","Ravenna",2002,6.1
"saldo_migratorio_interno","Ravenna",2003,5.9
"saldo_migratorio_interno","Ravenna",2004,6.7
"saldo_migratorio_interno","Ravenna",2005,7.6
"saldo_migratorio_interno","Ravenna",2006,6.6
"saldo_migratorio_interno","Ravenna",2007,6.8
"saldo_migratorio_interno","Ravenna",2008,5.4
"saldo_migratorio_interno","Ravenna",2009,3.1
"saldo_migratorio_interno","Ravenna",2010,2
"saldo_migratorio_interno","Ravenna",2011,3.2
"saldo_migratorio_interno","Ravenna",2012,1.3
"saldo_migratorio_interno","Ravenna",2013,1.3
"saldo_migratorio_interno","Ravenna",2014,1.1
"saldo_migratorio_interno","Ravenna",2015,3
"saldo_migratorio_interno","Ravenna",2016,2.2
"saldo_migratorio_interno","Ravenna",2017,3.4
"saldo_migratorio_interno","Ravenna",2018,1.6
"saldo_migratorio_interno","Ravenna",2019,3.5
"saldo_migratorio_interno","Ravenna",2020,3.5
"saldo_migratorio_interno","Ravenna",2021,3.1
"saldo_migratorio_interno","Ravenna",2022,4.5
"saldo_migratorio_interno","Ravenna",2023,3.1
"saldo_migratorio_interno","Ravenna",2024,2.9
"saldo_migratorio_interno","Ravenna",2025,2.5
"saldo_migratorio_interno","Forli'",2002,5.1
"saldo_migratorio_interno","Forli'",2003,4.2
"saldo_migratorio_interno","Forli'",2004,3.3
"saldo_migratorio_interno","Forli'",2005,3.3
"saldo_migratorio_interno","Forli'",2006,2.9
"saldo_migratorio_interno","Forli'",2007,2.4
"saldo_migratorio_interno","Forli'",2008,3.5
"saldo_migratorio_interno","Forli'",2009,3
"saldo_migratorio_interno","Forli'",2010,2.7
"saldo_migratorio_interno","Forli'",2011,2.9
"saldo_migratorio_interno","Forli'",2012,1.3
"saldo_migratorio_interno","Forli'",2013,2.2
"saldo_migratorio_interno","Forli'",2014,1.2
"saldo_migratorio_interno","Forli'",2015,1.5
"saldo_migratorio_interno","Forli'",2016,2.8
"saldo_migratorio_interno","Forli'",2017,3.4
"saldo_migratorio_interno","Forli'",2018,5.5
"saldo_migratorio_interno","Forli'",2019,3.3
"saldo_migratorio_interno","Forli'",2020,3.1
"saldo_migratorio_interno","Forli'",2021,2.9
"saldo_migratorio_interno","Forli'",2022,3.3
"saldo_migratorio_interno","Forli'",2023,3.8
"saldo_migratorio_interno","Forli'",2024,2.5
"saldo_migratorio_interno","Forli'",2025,2.6
"saldo_migratorio_interno","Rimini",2002,6.1
"saldo_migratorio_interno","Rimini",2003,5.5
"saldo_migratorio_interno","Rimini",2004,4.8
"saldo_migratorio_interno","Rimini",2005,4.8
"saldo_migratorio_interno","Rimini",2006,7.3
"saldo_migratorio_interno","Rimini",2007,5
"saldo_migratorio_interno","Rimini",2008,4.7
"saldo_migratorio_interno","Rimini",2009,2.7
"saldo_migratorio_interno","Rimini",2010,3.8
"saldo_migratorio_interno","Rimini",2011,4.1
"saldo_migratorio_interno","Rimini",2012,5
