"indicatore","territorio","anno","valore"
"saldo_migratorio_con_l_estero","Piacenza",2002,6.8
"saldo_migratorio_con_l_estero","Piacenza",2003,15.2
"saldo_migratorio_con_l_estero","Piacenza",2004,10.5
"saldo_migratorio_con_l_estero","Piacenza",2005,8.1
"saldo_migratorio_con_l_estero","Piacenza",2006,7.6
"saldo_migratorio_con_l_estero","Piacenza",2007,13
"saldo_migratorio_con_l_estero","Piacenza",2008,14.8
"saldo_migratorio_con_l_estero","Piacenza",2009,8
"saldo_migratorio_con_l_estero","Piacenza",2010,6.8
"saldo_migratorio_con_l_estero","Piacenza",2011,4.6
"saldo_migratorio_con_l_estero","Piacenza",2012,5
"saldo_migratorio_con_l_estero","Piacenza",2013,3.4
"saldo_migratorio_con_l_estero","Piacenza",2014,0.5
"saldo_migratorio_con_l_estero","Piacenza",2015,-0.6
"saldo_migratorio_con_l_estero","Piacenza",2016,1.3
"saldo_migratorio_con_l_estero","Piacenza",2017,3.2
"saldo_migratorio_con_l_estero","Piacenza",2018,2.9
"saldo_migratorio_con_l_estero","Piacenza",2019,3.9
"saldo_migratorio_con_l_estero","Piacenza",2020,2.1
"saldo_migratorio_con_l_estero","Piacenza",2021,5.1
"saldo_migratorio_con_l_estero","Piacenza",2022,6.8
"saldo_migratorio_con_l_estero","Piacenza",2023,8.5
"saldo_migratorio_con_l_estero","Piacenza",2024,7.3
"saldo_migratorio_con_l_estero","Piacenza",2025,7.4
"saldo_migratorio_con_l_estero","Parma",2002,5.3
"saldo_migratorio_con_l_estero","Parma",2003,12.9
"saldo_migratorio_con_l_estero","Parma",2004,10.2
"saldo_migratorio_con_l_estero","Parma",2005,6.9
"saldo_migratorio_con_l_estero","Parma",2006,5.3
"saldo_migratorio_con_l_estero","Parma",2007,11.8
"saldo_migratorio_con_l_estero","Parma",2008,14.5
"saldo_migratorio_con_l_estero","Parma",2009,8.2
"saldo_migratorio_con_l_estero","Parma",2010,9.1
"saldo_migratorio_con_l_estero","Parma",2011,5.2
"saldo_migratorio_con_l_estero","Parma",2012,7.3
"saldo_migratorio_con_l_estero","Parma",2013,5.4
"saldo_migratorio_con_l_estero","Parma",2014,2.6
"saldo_migratorio_con_l_estero","Parma",2015,3.8
"saldo_migratorio_con_l_estero","Parma",2016,2.1
"saldo_migratorio_con_l_estero","Parma",2017,3.6
"saldo_migratorio_con_l_estero","Parma",2018,4
"saldo_migratorio_con_l_estero","Parma",2019,5.9
"saldo_migratorio_con_l_estero","Parma",2020,3.2
"saldo_migratorio_con_l_estero","Parma",2021,4.9
"saldo_migratorio_con_l_estero","Parma",2022,6.3
"saldo_migratorio_con_l_estero","Parma",2023,6.8
"saldo_migratorio_con_l_estero","Parma",2024,5.5
"saldo_migratorio_con_l_estero","Parma",2025,6.7
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2002,5.6
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2003,13.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2004,10.9
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2005,7.6
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2006,6.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2007,10.3
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2008,11.4
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2009,8.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2010,8.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2011,3.3
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2012,5.7
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2013,3.5
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2014,-1.8
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2015,0.5
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2016,0
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2017,-0.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2018,-0.1
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2019,2.4
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2020,0.6
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2021,1.3
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2022,4.9
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2023,5.4
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2024,5.7
"saldo_migratorio_con_l_estero","Reggio nell'Emilia",2025,5.9
