"indicatore","territorio","anno","valore"
"speranza_di_vita_0","Piacenza",2002,79.9
"speranza_di_vita_0","Piacenza",2003,79.5
"speranza_di_vita_0","Piacenza",2004,80.4
"speranza_di_vita_0","Piacenza",2005,80.4
"speranza_di_vita_0","Piacenza",2006,81.1
"speranza_di_vita_0","Piacenza",2007,81.1
"speranza_di_vita_0","Piacenza",2008,81.2
"speranza_di_vita_0","Piacenza",2009,81.3
"speranza_di_vita_0","Piacenza",2010,81.6
"speranza_di_vita_0","Piacenza",2011,82.3
"speranza_di_vita_0","Piacenza",2012,82
"speranza_di_vita_0","Piacenza",2013,82.2
"speranza_di_vita_0","Piacenza",2014,82.6
"speranza_di_vita_0","Piacenza",2015,82.3
"speranza_di_vita_0","Piacenza",2016,82.9
"speranza_di_vita_0","Piacenza",2017,82.8
"speranza_di_vita_0","Piacenza",2018,82.8
"speranza_di_vita_0","Piacenza",2019,83.4
"speranza_di_vita_0","Piacenza",2020,80.2
"speranza_di_vita_0","Piacenza",2021,82.9
"speranza_di_vita_0","Piacenza",2022,83
"speranza_di_vita_0","Piacenza",2023,83
"speranza_di_vita_0","Piacenza",2024,83.7
"speranza_di_vita_0","Piacenza",2025,84.1
"speranza_di_vita_0","Parma",2002,80.3
"speranza_di_vita_0","Parma",2003,80
"speranza_di_vita_0","Parma",2004,80.6
"speranza_di_vita_0","Parma",2005,80.9
"speranza_di_vita_0","Parma",2006,81.4
"speranza_di_vita_0","Parma",2007,81.6
"speranza_di_vita_0","Parma",2008,81.4
"speranza_di_vita_0","Parma",2009,81.8
"speranza_di_vita_0","Parma",2010,82
"speranza_di_vita_0","Parma",2011,82.5
"speranza_di_vita_0","Parma",2012,82.6
"speranza_di_vita_0","Parma",2013,83
"speranza_di_vita_0","Parma",2014,82.9
"speranza_di_vita_0","Parma",2015,82.9
"speranza_di_vita_0","Parma",2016,83.3
"speranza_di_vita_0","Parma",2017,83.3
"speranza_di_vita_0","Parma",2018,83.8
"speranza_di_vita_0","Parma",2019,83.6
"speranza_di_vita_0","Parma",2020,81.4
"speranza_di_vita_0","Parma",2021,83.2
"speranza_di_vita_0","Parma",2022,83.3
"speranza_di_vita_0","Parma",2023,83.9
"speranza_di_vita_0","Parma",2024,84.2
"speranza_di_vita_0","Parma",2025,84.1
"speranza_di_vita_0","Reggio nell'Emilia",2002,80.5
"speranza_di_vita_0","Reggio nell'Emilia",2003,80.4
"speranza_di_vita_0","Reggio nell'Emilia",2004,81.6
"speranza_di_vita_0","Reggio nell'Emilia",2005,81.1
"speranza_di_vita_0","Reggio nell'Emilia",2006,81.7
"speranza_di_vita_0","Reggio nell'Emilia",2007,81.4
"speranza_di_vita_0","Reggio nell'Emilia",2008,81.9
"speranza_di_vita_0","Reggio nell'Emilia",2009,81.8
"speranza_di_vita_0","Reggio nell'Emilia",2010,82.3
"speranza_di_vita_0","Reggio nell'Emilia",2011,83.1
"speranza_di_vita_0","Reggio nell'Emilia",2012,82.4
"speranza_di_vita_0","Reggio nell'Emilia",2013,82.7
"speranza_di_vita_0","Reggio nell'Emilia",2014,83.1
"speranza_di_vita_0","Reggio nell'Emilia",2015,82.8
"speranza_di_vita_0","Reggio nell'Emilia",2016,82.9
"speranza_di_vita_0","Reggio nell'Emilia",2017,83.3
"speranza_di_vita_0","Reggio nell'Emilia",2018,83.5
"speranza_di_vita_0","Reggio nell'Emilia",2019,83.5
"speranza_di_vita_0","Reggio nell'Emilia",2020,82.5
