"indicatore","territorio","anno","valore"
"tasso_di_crescita_totale","Piacenza",2002,6.5
"tasso_di_crescita_totale","Piacenza",2003,12.6
"tasso_di_crescita_totale","Piacenza",2004,10.1
"tasso_di_crescita_totale","Piacenza",2005,7.2
"tasso_di_crescita_totale","Piacenza",2006,7.5
"tasso_di_crescita_totale","Piacenza",2007,11.8
"tasso_di_crescita_totale","Piacenza",2008,15.3
"tasso_di_crescita_totale","Piacenza",2009,5.8
"tasso_di_crescita_totale","Piacenza",2010,4.6
"tasso_di_crescita_totale","Piacenza",2011,3.8
"tasso_di_crescita_totale","Piacenza",2012,2.5
"tasso_di_crescita_totale","Piacenza",2013,1
"tasso_di_crescita_totale","Piacenza",2014,-2.6
"tasso_di_crescita_totale","Piacenza",2015,-3.7
"tasso_di_crescita_totale","Piacenza",2016,-0.9
"tasso_di_crescita_totale","Piacenza",2017,0.1
"tasso_di_crescita_totale","Piacenza",2018,0.2
"tasso_di_crescita_totale","Piacenza",2019,0.6
"tasso_di_crescita_totale","Piacenza",2020,-9.4
"tasso_di_crescita_totale","Piacenza",2021,-1
"tasso_di_crescita_totale","Piacenza",2022,2.8
"tasso_di_crescita_totale","Piacenza",2023,4.1
"tasso_di_crescita_totale","Piacenza",2024,3.7
"tasso_di_crescita_totale","Piacenza",2025,4.5
"tasso_di_crescita_totale","Parma",2002,7.2
"tasso_di_crescita_totale","Parma",2003,12.2
"tasso_di_crescita_totale","Parma",2004,13.9
"tasso_di_crescita_totale","Parma",2005,7.8
"tasso_di_crescita_totale","Parma",2006,6.2
"tasso_di_crescita_totale","Parma",2007,12.5
"tasso_di_crescita_totale","Parma",2008,17.5
"tasso_di_crescita_totale","Parma",2009,8.7
"tasso_di_crescita_totale","Parma",2010,9.3
"tasso_di_crescita_totale","Parma",2011,5.5
"tasso_di_crescita_totale","Parma",2012,8.7
"tasso_di_crescita_totale","Parma",2013,7.6
"tasso_di_crescita_totale","Parma",2014,3.7
"tasso_di_crescita_totale","Parma",2015,6.4
"tasso_di_crescita_totale","Parma",2016,3.8
"tasso_di_crescita_totale","Parma",2017,4.5
"tasso_di_crescita_totale","Parma",2018,4.5
