"indicatore","territorio","anno","valore"
"tasso_di_fecondità_totale","Piacenza",2002,1.21
"tasso_di_fecondità_totale","Piacenza",2003,1.21
"tasso_di_fecondità_totale","Piacenza",2004,1.28
"tasso_di_fecondità_totale","Piacenza",2005,1.31
"tasso_di_fecondità_totale","Piacenza",2006,1.35
"tasso_di_fecondità_totale","Piacenza",2007,1.4
"tasso_di_fecondità_totale","Piacenza",2008,1.43
"tasso_di_fecondità_totale","Piacenza",2009,1.53
"tasso_di_fecondità_totale","Piacenza",2010,1.44
"tasso_di_fecondità_totale","Piacenza",2011,1.44
"tasso_di_fecondità_totale","Piacenza",2012,1.44
"tasso_di_fecondità_totale","Piacenza",2013,1.47
"tasso_di_fecondità_totale","Piacenza",2014,1.45
"tasso_di_fecondità_totale","Piacenza",2015,1.46
"tasso_di_fecondità_totale","Piacenza",2016,1.43
"tasso_di_fecondità_totale","Piacenza",2017,1.37
"tasso_di_fecondità_totale","Piacenza",2018,1.43
"tasso_di_fecondità_totale","Piacenza",2019,1.4
"tasso_di_fecondità_totale","Piacenza",2020,1.29
"tasso_di_fecondità_totale","Piacenza",2021,1.24
"tasso_di_fecondità_totale","Piacenza",2022,1.34
"tasso_di_fecondità_totale","Piacenza",2023,1.35
"tasso_di_fecondità_totale","Piacenza",2024,1.28
"tasso_di_fecondità_totale","Piacenza",2025,1.26
"tasso_di_fecondità_totale","Parma",2002,1.19
"tasso_di_fecondità_totale","Parma",2003,1.18
"tasso_di_fecondità_totale","Parma",2004,1.3
"tasso_di_fecondità_totale","Parma",2005,1.32
"tasso_di_fecondità_totale","Parma",2006,1.35
"tasso_di_fecondità_totale","Parma",2007,1.44
"tasso_di_fecondità_totale","Parma",2008,1.48
"tasso_di_fecondità_totale","Parma",2009,1.5
"tasso_di_fecondità_totale","Parma",2010,1.54
"tasso_di_fecondità_totale","Parma",2011,1.44
"tasso_di_fecondità_totale","Parma",2012,1.43
"tasso_di_fecondità_totale","Parma",2013,1.43
"tasso_di_fecondità_totale","Parma",2014,1.43
"tasso_di_fecondità_totale","Parma",2015,1.43
"tasso_di_fecondità_totale","Parma",2016,1.42
"tasso_di_fecondità_totale","Parma",2017,1.36
"tasso_di_fecondità_totale","Parma",2018,1.34
"tasso_di_fecondità_totale","Parma",2019,1.34
"tasso_di_fecondità_totale","Parma",2020,1.3
"tasso_di_fecondità_totale","Parma",2021,1.31
"tasso_di_fecondità_totale","Parma",2022,1.29
"tasso_di_fecondità_totale","Parma",2023,1.26
"tasso_di_fecondità_totale","Parma",2024,1.21
"tasso_di_fecondità_totale","Parma",2025,1.2
"tasso_di_fecondità_totale","Reggio nell'Emilia",2002,1.41
"tasso_di_fecondità_totale","Reggio nell'Emilia",2003,1.45
"tasso_di_fecondità_totale","Reggio nell'Emilia",2004,1.53
"tasso_di_fecondità_totale","Reggio nell'Emilia",2005,1.56
"tasso_di_fecondità_totale","Reggio nell'Emilia",2006,1.58
"tasso_di_fecondità_totale","Reggio nell'Emilia",2007,1.66
"tasso_di_fecondità_totale","Reggio nell'Emilia",2008,1.7
"tasso_di_fecondità_totale","Reggio nell'Emilia",2009,1.7
"tasso_di_fecondità_totale","Reggio nell'Emilia",2010,1.72
"tasso_di_fecondità_totale","Reggio nell'Emilia",2011,1.65
"tasso_di_fecondità_totale","Reggio nell'Emilia",2012,1.63
