"territorio","anno","totale","indice"
"Bologna",2024,1017536,100
"Bologna",2025,1022195,100.457870778036
"Bologna",2026,1026471,100.878101610164
"Bologna",2027,1030390,101.263247688534
"Bologna",2028,1033976,101.615667652054
"Bologna",2029,1037252,101.93762186301
"Bologna",2030,1040236,102.230879300585
"Bologna",2031,1043063,102.508707308636
"Bologna",2032,1045704,102.768255865149
"Bologna",2033,1048164,103.01001635323
"Bologna",2034,1050455,103.235168092333
"Bologna",2035,1052580,103.444005912322
"Bologna",2036,1054468,103.629552173093
"Bologna",2037,1056255,103.805172495125
"Bologna",2038,1057981,103.974797943267
"Bologna",2039,1059617,104.135578495503
"Bologna",2040,1061140,104.285253789547
"Bologna",2041,1062525,104.421366909869
"Bologna",2042,1063749,104.541657494182
"Bologna",2043,1064787,104.643668626958
"Bologna",2044,1065621,104.725631329014
"Bologna",2045,1066228,104.785285238065
"Bologna",2046,1066572,104.819092395748
"Bologna",2047,1066622,104.824006226807
"Bologna",2048,1066356,104.797864645575
"Bologna",2049,1065761,104.739390055978
"Bologna",2050,1064819,104.646813478835
"Emilia-Romagna",2024,4451938,100
"Emilia-Romagna",2025,4468061,100.362156885383
"Emilia-Romagna",2026,4482549,100.687588191929
"Emilia-Romagna",2027,4495547,100.979550928158
"Emilia-Romagna",2028,4507117,101.239437745988
"Emilia-Romagna",2029,4517414,101.470730275219
"Emilia-Romagna",2030,4526466,101.674057455427
"Emilia-Romagna",2031,4534922,101.863997207508
"Emilia-Romagna",2032,4542671,102.038056235285
"Emilia-Romagna",2033,4549697,102.195875144712
"Emilia-Romagna",2034,4556097,102.339632762181
"Emilia-Romagna",2035,4561849,102.468834920882
"Emilia-Romagna",2036,4566661,102.576922679516
"Emilia-Romagna",2037,4571098,102.676587140252
"Emilia-Romagna",2038,4575339,102.771849023953
"Emilia-Romagna",2039,4579284,102.860462117846
"Emilia-Romagna",2040,4582822,102.939933125753
"Emilia-Romagna",2041,4585848,103.007903524263
"Emilia-Romagna",2042,4588262,103.062127100602
"Emilia-Romagna",2043,4589970,103.100492414764
"Emilia-Romagna",2044,4590875,103.120820640359
"Emilia-Romagna",2045,4590896,103.121292345042
"Emilia-Romagna",2046,4589858,103.097976656458
"Emilia-Romagna",2047,4587643,103.048223043537
"Emilia-Romagna",2048,4584161,102.970009914783
"Emilia-Romagna",2049,4579360,102.862169239554
"Emilia-Romagna",2050,4573125,102.72211787316
"Ferrara",2024,339664,100
"Ferrara",2025,339618,99.9864572047671
"Ferrara",2026,339472,99.9434735503321
"Ferrara",2027,339237,99.8742875312073
"Ferrara",2028,338921,99.7812544161289
"Ferrara",2029,338540,99.6690847425691
"Ferrara",2030,338098,99.5389561448961
"Ferrara",2031,337642,99.4047058269349
"Ferrara",2032,337163,99.2636841113571
"Ferrara",2033,336660,99.1155965895709
"Ferrara",2034,336136,98.9613264873522
"Ferrara",2035,335587,98.799696170333
"Ferrara",2036,334994,98.625111875265
"Ferrara",2037,334397,98.4493499458288
"Ferrara",2038,333812,98.2771209194969
"Ferrara",2039,333227,98.104891893165
"Ferrara",2040,332639,97.931779641057
"Ferrara",2041,332035,97.7539568514768
"Ferrara",2042,331412,97.5705402986481
"Ferrara",2043,330760,97.3785858966508
"Ferrara",2044,330074,97.1766216025248
"Ferrara",2045,329351,96.9637641904941
"Ferrara",2046,328577,96.7358919402704
"Ferrara",2047,327747,96.4915328088935
"Ferrara",2048,326852,96.2280371190353
"Ferrara",2049,325888,95.9442272363277
"Ferrara",2050,324854,95.6398087521786
"Forlì-Cesena",2024,392812,100
"Forlì-Cesena",2025,393888,100.273922385263
"Forlì-Cesena",2026,394828,100.513222610307
"Forlì-Cesena",2027,395644,100.720955571622
"Forlì-Cesena",2028,396344,100.899157866868
"Forlì-Cesena",2029,396945,101.052157266071
"Forlì-Cesena",2030,397455,101.181990366893
"Forlì-Cesena",2031,397924,101.301385904708
"Forlì-Cesena",2032,398349,101.409580155392
