"territorio","anno","maschi","femmine","totale"
"Bologna",2024,494362,523174,1017536
"Bologna",2025,497879,524316,1022195
"Bologna",2026,501182,525289,1026471
"Bologna",2027,504284,526106,1030390
"Bologna",2028,507200,526776,1033976
"Bologna",2029,509893,527359,1037252
"Bologna",2030,512377,527859,1040236
"Bologna",2031,514659,528404,1043063
"Bologna",2032,516750,528954,1045704
"Bologna",2033,518654,529510,1048164
"Bologna",2034,520382,530073,1050455
"Bologna",2035,521939,530641,1052580
"Bologna",2036,523290,531178,1054468
"Bologna",2037,524568,531687,1056255
"Bologna",2038,525818,532163,1057981
"Bologna",2039,527025,532592,1059617
"Bologna",2040,528177,532963,1061140
"Bologna",2041,529262,533263,1062525
"Bologna",2042,530264,533485,1063749
"Bologna",2043,531170,533617,1064787
"Bologna",2044,531971,533650,1065621
"Bologna",2045,532654,533574,1066228
"Bologna",2046,533203,533369,1066572
"Bologna",2047,533603,533019,1066622
"Bologna",2048,533842,532514,1066356
"Bologna",2049,533912,531849,1065761
"Bologna",2050,533806,531013,1064819
"Emilia-Romagna",2024,2182780,2269158,4451938
"Emilia-Romagna",2025,2195604,2272457,4468061
"Emilia-Romagna",2026,2207528,2275021,4482549
"Emilia-Romagna",2027,2218625,2276922,4495547
"Emilia-Romagna",2028,2228928,2278189,4507117
"Emilia-Romagna",2029,2238322,2279092,4517414
"Emilia-Romagna",2030,2246828,2279638,4526466
"Emilia-Romagna",2031,2254496,2280426,4534922
"Emilia-Romagna",2032,2261392,2281279,4542671
"Emilia-Romagna",2033,2267514,2282183,4549697
"Emilia-Romagna",2034,2272913,2283184,4556097
"Emilia-Romagna",2035,2277613,2284236,4561849
"Emilia-Romagna",2036,2281459,2285202,4566661
"Emilia-Romagna",2037,2285034,2286064,4571098
"Emilia-Romagna",2038,2288519,2286820,4575339
"Emilia-Romagna",2039,2291878,2287406,4579284
"Emilia-Romagna",2040,2295050,2287772,4582822
"Emilia-Romagna",2041,2297973,2287875,4585848
"Emilia-Romagna",2042,2300583,2287679,4588262
"Emilia-Romagna",2043,2302842,2287128,4589970
"Emilia-Romagna",2044,2304682,2286193,4590875
"Emilia-Romagna",2045,2306076,2284820,4590896
"Emilia-Romagna",2046,2306932,2282926,4589858
"Emilia-Romagna",2047,2307199,2280444,4587643
"Emilia-Romagna",2048,2306821,2277340,4584161
"Emilia-Romagna",2049,2305773,2273587,4579360
"Emilia-Romagna",2050,2303993,2269132,4573125
"Ferrara",2024,165045,174619,339664
"Ferrara",2025,165436,174182,339618
"Ferrara",2026,165771,173701,339472
"Ferrara",2027,166056,173181,339237
"Ferrara",2028,166295,172626,338921
"Ferrara",2029,166479,172061,338540
"Ferrara",2030,166612,171486,338098
"Ferrara",2031,166696,170946,337642
"Ferrara",2032,166735,170428,337163
"Ferrara",2033,166728,169932,336660
"Ferrara",2034,166679,169457,336136
"Ferrara",2035,166587,169000,335587
"Ferrara",2036,166443,168551,334994
"Ferrara",2037,166289,168108,334397
"Ferrara",2038,166143,167669,333812
"Ferrara",2039,165998,167229,333227
"Ferrara",2040,165854,166785,332639
"Ferrara",2041,165703,166332,332035
"Ferrara",2042,165543,165869,331412
"Ferrara",2043,165369,165391,330760
"Ferrara",2044,165178,164896,330074
"Ferrara",2045,164968,164383,329351
"Ferrara",2046,164732,163845,328577
"Ferrara",2047,164468,163279,327747
"Ferrara",2048,164170,162682,326852
"Ferrara",2049,163837,162051,325888
"Ferrara",2050,163467,161387,324854
"Forlì-Cesena",2024,192631,200181,392812
"Forlì-Cesena",2025,193618,200270,393888
"Forlì-Cesena",2026,194526,200302,394828
"Forlì-Cesena",2027,195363,200281,395644
"Forlì-Cesena",2028,196134,200210,396344
"Forlì-Cesena",2029,196830,200115,396945
"Forlì-Cesena",2030,197459,199996,397455
"Forlì-Cesena",2031,198024,199900,397924
"Forlì-Cesena",2032,198533,199816,398349
"Forlì-Cesena",2033,198986,199743,398729
"Forlì-Cesena",2034,199389,199683,399072
"Forlì-Cesena",2035,199744,199635,399379
"Forlì-Cesena",2036,200036,199586,399622
"Forlì-Cesena",2037,200311,199536,399847
"Forlì-Cesena",2038,200588,199482,400070
"Forlì-Cesena",2039,200858,199420,400278
"Forlì-Cesena",2040,201118,199345,400463
"Forlì-Cesena",2041,201363,199252,400615
"Forlì-Cesena",2042,201586,199138,400724
"Forlì-Cesena",2043,201782,198998,400780
"Forlì-Cesena",2044,201946,198829,400775
"Forlì-Cesena",2045,202073,198626,400699
"Forlì-Cesena",2046,202157,198380,400537
"Forlì-Cesena",2047,202191,198086,400277
"Forlì-Cesena",2048,202171,197742,399913
"Forlì-Cesena",2049,202095,197344,399439
"Forlì-Cesena",2050,201957,196890,398847
"Italia",2024,28846728,30124502,58971230
"Italia",2025,28877274,30057071,58934345
"Italia",2026,28896923,29981832,58878755
"Italia",2027,28906307,29899247,58805554
"Italia",2028,28905644,29810243,58715887
"Italia",2029,28895083,29715977,58611060
"Italia",2030,28875397,29617503,58492900
"Italia",2031,28847780,29516342,58364122
"Italia",2032,28812600,29412963,58225563
"Italia",2033,28770061,29309763,58079824
"Italia",2034,28720346,29207287,57927633
"Italia",2035,28663855,29104792,57768647
"Italia",2036,28600158,29001978,57602136
"Italia",2037,28532036,28898785,57430821
"Italia",2038,28460759,28794899,57255658
"Italia",2039,28386423,28689763,57076186
"Italia",2040,28308993,28582855,56891848
"Italia",2041,28228733,28473738,56702471
"Italia",2042,28146216,28361970,56508186
"Italia",2043,28060745,28247186,56307931
"Italia",2044,27971927,28128825,56100752
"Italia",2045,27879317,28006552,55885869
"Italia",2046,27782378,27879358,55661736
"Italia",2047,27680401,27746609,55427010
"Italia",2048,27572940,27608008,55180948
"Italia",2049,27459737,27463246,54922983
"Italia",2050,27340413,27311932,54652345
"Modena",2024,349080,357365,706445
"Modena",2025,351223,358291,709514
"Modena",2026,353227,359087,712314
"Modena",2027,355100,359761,714861
"Modena",2028,356848,360322,717170
"Modena",2029,358447,360808,719255
"Modena",2030,359903,361222,721125
"Modena",2031,361221,361661,722882
"Modena",2032,362411,362095,724506
"Modena",2033,363474,362525,725999
"Modena",2034,364417,362954,727371
"Modena",2035,365245,363381,728626
"Modena",2036,365930,363779,729709
"Modena",2037,366569,364151,730720
"Modena",2038,367193,364495,731688
"Modena",2039,367791,364802,732593
"Modena",2040,368356,365065,733421
"Modena",2041,368881,365277,734158
"Modena",2042,369356,365433,734789
"Modena",2043,369772,365528,735300
"Modena",2044,370123,365554,735677
"Modena",2045,370401,365507,735908
"Modena",2046,370596,365371,735967
"Modena",2047,370695,365139,735834
"Modena",2048,370691,364804,735495
"Modena",2049,370578,364361,734939
"Modena",2050,370348,363804,734152
"Parma",2024,224009,230140,454149
"Parma",2025,225874,230987,456861
"Parma",2026,227628,231749,459377
"Parma",2027,229275,232430,461705
"Parma",2028,230821,233033,463854
"Parma",2029,232253,233582,465835
"Parma",2030,233576,234079,467655
"Parma",2031,234792,234589,469381
"Parma",2032,235910,235097,471007
"Parma",2033,236932,235603,472535
"Parma",2034,237862,236108,473970
"Parma",2035,238705,236612,475317
"Parma",2036,239444,237097,476541
"Parma",2037,240145,237565,477710
"Parma",2038,240829,238014,478843
"Parma",2039,241489,238438,479927
"Parma",2040,242121,238832,480953
"Parma",2041,242718,239191,481909
"Parma",2042,243276,239512,482788
"Parma",2043,243788,239790,483578
"Parma",2044,244249,240020,484269
"Parma",2045,244655,240199,484854
"Parma",2046,244999,240316,485315
"Parma",2047,245273,240366,485639
"Parma",2048,245472,240344,485816
"Parma",2049,245592,240247,485839
"Parma",2050,245629,240069,485698
"Piacenza",2024,140851,144538,285389
"Piacenza",2025,141787,144724,286511
"Piacenza",2026,142659,144868,287527
"Piacenza",2027,143470,144975,288445
"Piacenza",2028,144223,145044,289267
"Piacenza",2029,144908,145093,290001
"Piacenza",2030,145528,145123,290651
"Piacenza",2031,146085,145176,291261
"Piacenza",2032,146582,145241,291823
"Piacenza",2033,147020,145316,292336
"Piacenza",2034,147403,145402,292805
"Piacenza",2035,147732,145498,293230
"Piacenza",2036,147996,145591,293587
"Piacenza",2037,148240,145683,293923
"Piacenza",2038,148478,145770,294248
"Piacenza",2039,148704,145850,294554
"Piacenza",2040,148916,145918,294834
"Piacenza",2041,149110,145971,295081
"Piacenza",2042,149281,146005,295286
"Piacenza",2043,149427,146017,295444
"Piacenza",2044,149545,146003,295548
"Piacenza",2045,149632,145961,295593
"Piacenza",2046,149685,145885,295570
"Piacenza",2047,149700,145771,295471
"Piacenza",2048,149675,145616,295291
"Piacenza",2049,149610,145419,295029
"Piacenza",2050,149502,145179,294681
"Ravenna",2024,189845,197384,387229
"Ravenna",2025,190679,197373,388052
"Ravenna",2026,191443,197307,388750
"Ravenna",2027,192142,197191,389333
"Ravenna",2028,192784,197032,389816
"Ravenna",2029,193358,196856,390214
"Ravenna",2030,193867,196665,390532
"Ravenna",2031,194316,196511,390827
"Ravenna",2032,194709,196380,391089
"Ravenna",2033,195046,196271,391317
"Ravenna",2034,195332,196183,391515
"Ravenna",2035,195565,196115,391680
"Ravenna",2036,195733,196052,391785
"Ravenna",2037,195885,195993,391878
"Ravenna",2038,196039,195936,391975
"Ravenna",2039,196187,195874,392061
"Ravenna",2040,196324,195801,392125
"Ravenna",2041,196444,195713,392157
"Ravenna",2042,196540,195604,392144
"Ravenna",2043,196606,195470,392076
"Ravenna",2044,196640,195306,391946
"Ravenna",2045,196635,195108,391743
"Ravenna",2046,196587,194868,391455
"Ravenna",2047,196489,194579,391068
"Ravenna",2048,196337,194238,390575
"Ravenna",2049,196129,193841,389970
"Ravenna",2050,195861,193386,389247
"Reggio nell'Emilia",2024,261973,266904,528877
"Reggio nell'Emilia",2025,263150,267240,530390
"Reggio nell'Emilia",2026,264246,267507,531753
"Reggio nell'Emilia",2027,265266,267709,532975
"Reggio nell'Emilia",2028,266215,267850,534065
"Reggio nell'Emilia",2029,267071,267956,535027
"Reggio nell'Emilia",2030,267840,268027,535867
"Reggio nell'Emilia",2031,268523,268126,536649
"Reggio nell'Emilia",2032,269126,268228,537354
"Reggio nell'Emilia",2033,269650,268331,537981
"Reggio nell'Emilia",2034,270099,268439,538538
"Reggio nell'Emilia",2035,270476,268548,539024
"Reggio nell'Emilia",2036,270760,268640,539400
"Reggio nell'Emilia",2037,271013,268717,539730
"Reggio nell'Emilia",2038,271260,268776,540036
"Reggio nell'Emilia",2039,271491,268812,540303
"Reggio nell'Emilia",2040,271704,268821,540525
"Reggio nell'Emilia",2041,271890,268796,540686
"Reggio nell'Emilia",2042,272042,268735,540777
"Reggio nell'Emilia",2043,272155,268631,540786
"Reggio nell'Emilia",2044,272221,268480,540701
"Reggio nell'Emilia",2045,272234,268276,540510
"Reggio nell'Emilia",2046,272187,268010,540197
"Reggio nell'Emilia",2047,272070,267673,539743
"Reggio nell'Emilia",2048,271877,267262,539139
"Reggio nell'Emilia",2049,271604,266770,538374
"Reggio nell'Emilia",2050,271244,266195,537439
"Rimini",2024,164984,174853,339837
"Rimini",2025,165959,175071,341030
"Rimini",2026,166853,175213,342066
"Rimini",2027,167669,175286,342955
"Rimini",2028,168414,175294,343708
"Rimini",2029,169077,175258,344335
"Rimini",2030,169665,175182,344847
"Rimini",2031,170182,175112,345294
"Rimini",2032,170633,175038,345671
"Rimini",2033,171020,174962,345982
"Rimini",2034,171348,174884,346232
"Rimini",2035,171620,174807,346427
"Rimini",2036,171824,174718,346542
"Rimini",2037,172004,174620,346624
"Rimini",2038,172176,174511,346687
"Rimini",2039,172335,174387,346722
"Rimini",2040,172478,174246,346724
"Rimini",2041,172601,174084,346685
"Rimini",2042,172700,173900,346600
"Rimini",2043,172771,173691,346462
"Rimini",2044,172811,173453,346264
"Rimini",2045,172817,173185,346002
"Rimini",2046,172785,172880,345665
"Rimini",2047,172709,172533,345242
"Rimini",2048,172584,172141,344725
"Rimini",2049,172409,171700,344109
"Rimini",2050,172181,171208,343389
