"territorio","anno","eta","sesso_lbl","popolazione","quota"
"Provincia di Parma",2024,"00-04","Maschi",8734,0.0192315737786497
"Provincia di Parma",2024,"00-04","Femmine",8130,0.0179016137875455
"Provincia di Parma",2024,"05-09","Maschi",10010,0.0220412243558832
"Provincia di Parma",2024,"05-09","Femmine",9337,0.0205593318492389
"Provincia di Parma",2024,"10-14","Maschi",10951,0.0241132315605671
"Provincia di Parma",2024,"10-14","Femmine",10269,0.0226115217692872
"Provincia di Parma",2024,"15-19","Maschi",11248,0.0247672019535439
"Provincia di Parma",2024,"15-19","Femmine",10218,0.0224992238230184
"Provincia di Parma",2024,"20-24","Maschi",11385,0.0250688650641089
"Provincia di Parma",2024,"20-24","Femmine",10253,0.022576291041046
"Provincia di Parma",2024,"25-29","Maschi",12842,0.0282770632545706
"Provincia di Parma",2024,"25-29","Femmine",11313,0.0249103267870236
"Provincia di Parma",2024,"30-34","Maschi",13800,0.0303865031080108
"Provincia di Parma",2024,"30-34","Femmine",13022,0.0286734089472838
"Provincia di Parma",2024,"35-39","Maschi",13838,0.0304701760875836
"Provincia di Parma",2024,"35-39","Femmine",13552,0.0298404268202726
"Provincia di Parma",2024,"40-44","Maschi",14763,0.0325069525640263
"Provincia di Parma",2024,"40-44","Femmine",14531,0.0319961070045294
"Provincia di Parma",2024,"45-49","Maschi",17397,0.0383068112007293
"Provincia di Parma",2024,"45-49","Femmine",17063,0.0375713697486948
"Provincia di Parma",2024,"50-54","Maschi",18496,0.0407267218467948
"Provincia di Parma",2024,"50-54","Femmine",18509,0.0407553468134907
"Provincia di Parma",2024,"55-59","Maschi",18453,0.0406320392646466
"Provincia di Parma",2024,"55-59","Femmine",18474,0.0406782795954632
"Provincia di Parma",2024,"60-64","Maschi",15360,0.0338214991115251
"Provincia di Parma",2024,"60-64","Femmine",15975,0.0351756802282951
"Provincia di Parma",2024,"65-69","Maschi",12308,0.0271012376995215
"Provincia di Parma",2024,"65-69","Femmine",13604,0.0299549266870564
"Provincia di Parma",2024,"70-74","Maschi",10523,0.0231708095801158
"Provincia di Parma",2024,"70-74","Femmine",12154,0.0267621419402002
"Provincia di Parma",2024,"75-79","Maschi",9919,0.0218408495890115
"Provincia di Parma",2024,"75-79","Femmine",11533,0.0253947493003398
"Provincia di Parma",2024,"80-84","Maschi",7338,0.0161576927396075
"Provincia di Parma",2024,"80-84","Femmine",9925,0.021854061112102
"Provincia di Parma",2024,"85-89","Maschi",4676,0.0102961803284825
"Provincia di Parma",2024,"85-89","Femmine",7314,0.0161048466472457
"Provincia di Parma",2024,"90-94","Maschi",1631,0.00359133236008447
"Provincia di Parma",2024,"90-94","Femmine",3687,0.00811848093907506
"Provincia di Parma",2024,"95+","Maschi",337,0.000742047213579684
"Provincia di Parma",2024,"95+","Femmine",1277,0.00281185249774854
"Provincia di Parma",2050,"00-04","Maschi",9270,0.0190859733537576
"Provincia di Parma",2050,"00-04","Femmine",8718,0.0179494623191002
"Provincia di Parma",2050,"05-09","Maschi",9785,0.0201463052067441
"Provincia di Parma",2050,"05-09","Femmine",9189,0.0189192027128024
"Provincia di Parma",2050,"10-14","Maschi",9938,0.0204613164174372
"Provincia di Parma",2050,"10-14","Femmine",9307,0.0191621525354285
"Provincia di Parma",2050,"15-19","Maschi",9975,0.0205374955991081
"Provincia di Parma",2050,"15-19","Femmine",9177,0.0188944959511794
"Provincia di Parma",2050,"20-24","Maschi",10470,0.0215566495160563
"Provincia di Parma",2050,"20-24","Femmine",9262,0.0190695021793423
"Provincia di Parma",2050,"25-29","Maschi",12072,0.0248550021927251
"Provincia di Parma",2050,"25-29","Femmine",10385,0.0213816432878935
"Provincia di Parma",2050,"30-34","Maschi",14430,0.0297098808516421
"Provincia di Parma",2050,"30-34","Femmine",12400,0.0255303203437534
"Provincia di Parma",2050,"35-39","Maschi",16335,0.0336320792592913
"Provincia di Parma",2050,"35-39","Femmine",14085,0.0289995614549812
"Provincia di Parma",2050,"40-44","Maschi",17440,0.035907160225408
"Provincia di Parma",2050,"40-44","Femmine",14940,0.030759918220619
"Provincia di Parma",2050,"45-49","Maschi",17162,0.0353347869144755
"Provincia di Parma",2050,"45-49","Femmine",14672,0.0302081338777056
"Provincia di Parma",2050,"50-54","Maschi",16735,0.0344556379800575
"Provincia di Parma",2050,"50-54","Femmine",14660,0.0301834271160827
"Provincia di Parma",2050,"55-59","Maschi",15965,0.0328702874425825
"Provincia di Parma",2050,"55-59","Femmine",15068,0.0310234570112642
