"territorio","anno","indicatore","valore"
"Bologna",2024,"65 anni e più",24.7590257248884
"Bologna",2024,"80 anni e più",8.62062865589031
"Ferrara",2024,"65 anni e più",28.8523364265863
"Ferrara",2024,"80 anni e più",9.55826934853267
"Forlì-Cesena",2024,"65 anni e più",25.2102787083898
"Forlì-Cesena",2024,"80 anni e più",8.48370212722626
"Modena",2024,"65 anni e più",23.6710571948276
"Modena",2024,"80 anni e più",7.72940568621761
"Parma",2024,"65 anni e più",23.3901208634171
"Parma",2024,"80 anni e più",7.96764938379254
"Piacenza",2024,"65 anni e più",25.2637627939409
"Piacenza",2024,"80 anni e più",8.65169996040492
"Ravenna",2024,"65 anni e più",26.0352401292259
"Ravenna",2024,"80 anni e più",9.0873875665304
"Reggio nell'Emilia",2024,"65 anni e più",22.6201933530859
"Reggio nell'Emilia",2024,"80 anni e più",7.28486963887634
"Rimini",2024,"65 anni e più",24.3834544207959
"Rimini",2024,"80 anni e più",7.92350450362968
"Bologna",2025,"65 anni e più",24.9726079929876
"Bologna",2025,"80 anni e più",8.61840586345476
"Ferrara",2025,"65 anni e più",29.1185122151588
"Ferrara",2025,"80 anni e più",9.57867492690338
"Forlì-Cesena",2025,"65 anni e più",25.5030643384126
"Forlì-Cesena",2025,"80 anni e più",8.55399785724804
"Modena",2025,"65 anni e più",23.979264650542
"Modena",2025,"80 anni e più",7.7977429589028
"Parma",2025,"65 anni e più",23.6009482054795
"Parma",2025,"80 anni e più",7.99189253671232
"Piacenza",2025,"65 anni e più",25.4459658025988
"Piacenza",2025,"80 anni e più",8.62822978363983
"Ravenna",2025,"65 anni e più",26.2878495039299
"Ravenna",2025,"80 anni e più",9.0787269681742
"Reggio nell'Emilia",2025,"65 anni e più",22.9611739264052
"Reggio nell'Emilia",2025,"80 anni e più",7.33515463120604
"Rimini",2025,"65 anni e più",24.7632173122599
"Rimini",2025,"80 anni e più",8.0268598070551
"Bologna",2026,"65 anni e più",25.1852465244966
"Bologna",2026,"80 anni e più",8.49036016639551
"Ferrara",2026,"65 anni e più",29.3852181341503
"Ferrara",2026,"80 anni e più",9.39523374672283
"Forlì-Cesena",2026,"65 anni e più",25.8176365851373
"Forlì-Cesena",2026,"80 anni e più",8.55868519630116
"Modena",2026,"65 anni e più",24.3103804086125
"Modena",2026,"80 anni e più",7.76316029610579
"Parma",2026,"65 anni e più",23.8483759385075
"Parma",2026,"80 anni e più",7.91578956534233
"Piacenza",2026,"65 anni e più",25.6840274758717
"Piacenza",2026,"80 anni e più",8.52238935744718
"Ravenna",2026,"65 anni e più",26.5666881028939
"Ravenna",2026,"80 anni e più",8.95459807073955
"Reggio nell'Emilia",2026,"65 anni e più",23.3442531696988
"Reggio nell'Emilia",2026,"80 anni e più",7.2947265088744
"Rimini",2026,"65 anni e più",25.1655377455294
"Rimini",2026,"80 anni e più",8.08496581079145
"Bologna",2027,"65 anni e più",25.4438610623162
"Bologna",2027,"80 anni e più",8.70427702132202
"Ferrara",2027,"65 anni e più",29.6538672420807
"Ferrara",2027,"80 anni e più",9.67650648225119
"Forlì-Cesena",2027,"65 anni e più",26.1660676463303
"Forlì-Cesena",2027,"80 anni e più",8.75049918361363
"Modena",2027,"65 anni e più",24.7000465824825
"Modena",2027,"80 anni e più",8.00477295586135
"Parma",2027,"65 anni e più",24.1287745881578
"Parma",2027,"80 anni e più",8.06595539152621
"Piacenza",2027,"65 anni e più",25.96032505443
"Piacenza",2027,"80 anni e più",8.67828763988851
"Ravenna",2027,"65 anni e più",26.8955544368303
"Ravenna",2027,"80 anni e più",9.12434631625451
"Reggio nell'Emilia",2027,"65 anni e più",23.7129862771071
"Reggio nell'Emilia",2027,"80 anni e più",7.51475670665581
"Rimini",2027,"65 anni e più",25.5773335354973
"Rimini",2027,"80 anni e più",8.33867901421757
"Bologna",2028,"65 anni e più",25.738558222934
"Bologna",2028,"80 anni e più",8.86482638828442
"Ferrara",2028,"65 anni e più",29.9402805398356
"Ferrara",2028,"80 anni e più",9.91714810072053
"Forlì-Cesena",2028,"65 anni e più",26.504367396164
"Forlì-Cesena",2028,"80 anni e più",8.91165799579156
"Modena",2028,"65 anni e più",25.0645940786786
"Modena",2028,"80 anni e più",8.2111518731237
"Parma",2028,"65 anni e più",24.4493980890621
"Parma",2028,"80 anni e più",8.21871442861578
"Piacenza",2028,"65 anni e più",26.2334582463321
"Piacenza",2028,"80 anni e più",8.77594479859507
"Ravenna",2028,"65 anni e più",27.231052599175
"Ravenna",2028,"80 anni e più",9.24282225460217
"Reggio nell'Emilia",2028,"65 anni e più",24.1347930862089
"Reggio nell'Emilia",2028,"80 anni e più",7.70957733450922
"Rimini",2028,"65 anni e più",26.0403543736635
"Rimini",2028,"80 anni e più",8.55588367931802
"Bologna",2029,"65 anni e più",26.0614585462356
"Bologna",2029,"80 anni e più",9.00851480643084
