"territorio","anno","indicatore","valore"
"Parma",2024,"65 anni e più",106226
"Parma",2024,"80 anni e più",36185
"Parma",2025,"65 anni e più",107824
"Parma",2025,"80 anni e più",36512
"Parma",2026,"65 anni e più",109553
"Parma",2026,"80 anni e più",36363
"Parma",2027,"65 anni e più",111404
"Parma",2027,"80 anni e più",37241
"Parma",2028,"65 anni e più",113410
"Parma",2028,"80 anni e più",38123
"Parma",2029,"65 anni e più",115639
"Parma",2029,"80 anni e più",38949
"Parma",2030,"65 anni e più",118321
"Parma",2030,"80 anni e più",39341
"Parma",2031,"65 anni e più",120921
"Parma",2031,"80 anni e più",39800
"Parma",2032,"65 anni e più",123583
"Parma",2032,"80 anni e più",39896
"Parma",2033,"65 anni e più",126222
"Parma",2033,"80 anni e più",39994
"Parma",2034,"65 anni e più",128888
"Parma",2034,"80 anni e più",40164
"Parma",2035,"65 anni e più",131507
"Parma",2035,"80 anni e più",40516
"Parma",2036,"65 anni e più",133982
"Parma",2036,"80 anni e più",40956
"Parma",2037,"65 anni e più",136457
"Parma",2037,"80 anni e più",41516
"Parma",2038,"65 anni e più",138937
"Parma",2038,"80 anni e più",42141
"Parma",2039,"65 anni e più",141359
"Parma",2039,"80 anni e più",42852
"Parma",2040,"65 anni e più",143789
"Parma",2040,"80 anni e più",43780
"Parma",2041,"65 anni e più",146071
"Parma",2041,"80 anni e più",44855
"Parma",2042,"65 anni e più",147904
"Parma",2042,"80 anni e più",46052
"Parma",2043,"65 anni e più",149452
"Parma",2043,"80 anni e più",47398
"Parma",2044,"65 anni e più",150783
"Parma",2044,"80 anni e più",48913
"Parma",2045,"65 anni e più",151814
"Parma",2045,"80 anni e più",50780
"Parma",2046,"65 anni e più",152551
"Parma",2046,"80 anni e più",52537
"Parma",2047,"65 anni e più",153096
"Parma",2047,"80 anni e più",54299
"Parma",2048,"65 anni e più",153702
"Parma",2048,"80 anni e più",55985
"Parma",2049,"65 anni e più",154108
"Parma",2049,"80 anni e più",57627
"Parma",2050,"65 anni e più",154338
"Parma",2050,"80 anni e più",59175
