"territorio","anno","indicatore","valore"
"Emilia-Romagna",2024,"65 anni e più",1097824
"Emilia-Romagna",2024,"80 anni e più",369633
"Emilia-Romagna",2025,"65 anni e più",1113724
"Emilia-Romagna",2025,"80 anni e più",372389
"Emilia-Romagna",2026,"65 anni e più",1130270
"Emilia-Romagna",2026,"80 anni e più",370259
"Emilia-Romagna",2027,"65 anni e più",1147965
"Emilia-Romagna",2027,"80 anni e più",380805
"Emilia-Romagna",2028,"65 anni e più",1166251
"Emilia-Romagna",2028,"80 anni e più",389600
"Emilia-Romagna",2029,"65 anni e più",1186403
"Emilia-Romagna",2029,"80 anni e più",397977
"Emilia-Romagna",2030,"65 anni e più",1210737
"Emilia-Romagna",2030,"80 anni e più",403304
"Emilia-Romagna",2031,"65 anni e più",1233529
"Emilia-Romagna",2031,"80 anni e più",407536
"Emilia-Romagna",2032,"65 anni e più",1256888
"Emilia-Romagna",2032,"80 anni e più",409383
"Emilia-Romagna",2033,"65 anni e più",1279382
"Emilia-Romagna",2033,"80 anni e più",411404
"Emilia-Romagna",2034,"65 anni e più",1302636
"Emilia-Romagna",2034,"80 anni e più",413685
"Emilia-Romagna",2035,"65 anni e più",1326175
"Emilia-Romagna",2035,"80 anni e più",417603
"Emilia-Romagna",2036,"65 anni e più",1348504
"Emilia-Romagna",2036,"80 anni e più",422177
"Emilia-Romagna",2037,"65 anni e più",1371612
"Emilia-Romagna",2037,"80 anni e più",428333
"Emilia-Romagna",2038,"65 anni e più",1394239
"Emilia-Romagna",2038,"80 anni e più",435113
"Emilia-Romagna",2039,"65 anni e più",1416458
"Emilia-Romagna",2039,"80 anni e più",442049
"Emilia-Romagna",2040,"65 anni e più",1438600
"Emilia-Romagna",2040,"80 anni e più",451072
"Emilia-Romagna",2041,"65 anni e più",1457645
"Emilia-Romagna",2041,"80 anni e più",461076
"Emilia-Romagna",2042,"65 anni e più",1473142
"Emilia-Romagna",2042,"80 anni e più",472335
"Emilia-Romagna",2043,"65 anni e più",1485605
"Emilia-Romagna",2043,"80 anni e più",484300
"Emilia-Romagna",2044,"65 anni e più",1495336
"Emilia-Romagna",2044,"80 anni e più",497719
"Emilia-Romagna",2045,"65 anni e più",1501284
"Emilia-Romagna",2045,"80 anni e più",514417
"Emilia-Romagna",2046,"65 anni e più",1504936
"Emilia-Romagna",2046,"80 anni e più",529547
"Emilia-Romagna",2047,"65 anni e più",1506358
"Emilia-Romagna",2047,"80 anni e più",544731
"Emilia-Romagna",2048,"65 anni e più",1507271
"Emilia-Romagna",2048,"80 anni e più",558764
"Emilia-Romagna",2049,"65 anni e più",1506434
"Emilia-Romagna",2049,"80 anni e più",572908
"Emilia-Romagna",2050,"65 anni e più",1504227
"Emilia-Romagna",2050,"80 anni e più",586783
