"territorio","anno","indicatore","valore"
"Italia",2024,"65 anni e più",14356736
"Italia",2024,"80 anni e più",4543122
"Italia",2025,"65 anni e più",14585883
"Italia",2025,"80 anni e più",4588221
"Italia",2026,"65 anni e più",14822598
"Italia",2026,"80 anni e più",4607302
"Italia",2027,"65 anni e più",15072840
"Italia",2027,"80 anni e più",4748162
"Italia",2028,"65 anni e più",15329089
"Italia",2028,"80 anni e più",4875462
"Italia",2029,"65 anni e più",15605369
"Italia",2029,"80 anni e più",5003389
"Italia",2030,"65 anni e più",15930579
"Italia",2030,"80 anni e più",5095103
"Italia",2031,"65 anni e più",16234022
"Italia",2031,"80 anni e più",5173222
"Italia",2032,"65 anni e più",16531157
"Italia",2032,"80 anni e più",5223193
"Italia",2033,"65 anni e più",16812207
"Italia",2033,"80 anni e più",5268309
"Italia",2034,"65 anni e più",17083236
"Italia",2034,"80 anni e più",5316826
"Italia",2035,"65 anni e più",17355334
"Italia",2035,"80 anni e più",5386339
"Italia",2036,"65 anni e più",17597572
"Italia",2036,"80 anni e più",5458669
"Italia",2037,"65 anni e più",17843491
"Italia",2037,"80 anni e più",5537215
"Italia",2038,"65 anni e più",18076270
"Italia",2038,"80 anni e più",5623526
"Italia",2039,"65 anni e più",18296721
"Italia",2039,"80 anni e più",5711931
"Italia",2040,"65 anni e più",18518338
"Italia",2040,"80 anni e più",5824804
"Italia",2041,"65 anni e più",18701261
"Italia",2041,"80 anni e più",5949643
"Italia",2042,"65 anni e più",18841008
"Italia",2042,"80 anni e più",6090353
"Italia",2043,"65 anni e più",18942760
"Italia",2043,"80 anni e più",6239615
"Italia",2044,"65 anni e più",19015604
"Italia",2044,"80 anni e più",6407347
"Italia",2045,"65 anni e più",19045760
"Italia",2045,"80 anni e più",6615136
"Italia",2046,"65 anni e più",19050127
"Italia",2046,"80 anni e più",6804852
"Italia",2047,"65 anni e più",19032494
"Italia",2047,"80 anni e più",6987642
"Italia",2048,"65 anni e più",19006205
"Italia",2048,"80 anni e più",7154347
"Italia",2049,"65 anni e più",18952601
"Italia",2049,"80 anni e più",7309056
"Italia",2050,"65 anni e più",18882823
"Italia",2050,"80 anni e più",7460392
