"territorio","anno","valore"
"Bologna",2024,39.0396747055351
"Ferrara",2024,47.431467069346
"Forlì-Cesena",2024,40.1994771538986
"Modena",2024,37.1748757302791
"Parma",2024,36.5676163198987
"Piacenza",2024,40.3711231683213
"Ravenna",2024,41.741953114002
"Reggio nell'Emilia",2024,35.0943119481358
"Rimini",2024,38.2674714485612
"Bologna",2025,39.3686372910842
"Ferrara",2025,47.8963147366943
"Forlì-Cesena",2025,40.6705480339444
"Modena",2025,37.6677921071567
"Parma",2025,36.8699648479709
"Piacenza",2025,40.6403817317287
"Ravenna",2025,42.1198232792436
"Reggio nell'Emilia",2025,35.6165425188123
"Rimini",2025,38.8856912628065
"Bologna",2026,39.725339061967
"Ferrara",2026,48.384108337254
"Forlì-Cesena",2026,41.1938476957147
"Modena",2026,38.2111381299346
"Parma",2026,37.2582362083683
"Piacenza",2026,41.0558619462729
"Ravenna",2026,42.5760492717656
"Reggio nell'Emilia",2026,36.2284833733168
"Rimini",2026,39.5478435047871
"Bologna",2027,40.1896264955889
"Ferrara",2027,48.9094604187127
"Forlì-Cesena",2027,41.801597364107
"Modena",2027,38.9072880515617
"Parma",2027,37.7460264754812
"Piacenza",2027,41.5862314091813
"Ravenna",2027,43.1699373350923
"Reggio nell'Emilia",2027,36.8444681551966
"Rimini",2027,40.2785366951203
"Bologna",2028,40.7446816654291
"Ferrara",2028,49.5077184286021
"Forlì-Cesena",2028,42.4210730352052
"Modena",2028,39.5608942334356
"Parma",2028,38.3341332990813
"Piacenza",2028,42.0984599680454
"Ravenna",2028,43.8148031964073
"Reggio nell'Emilia",2028,37.589128184191
"Rimini",2028,41.1376725330588
"Bologna",2029,41.3789672517091
"Ferrara",2029,50.3013658321277
"Forlì-Cesena",2029,43.1892088658793
"Modena",2029,40.40881888931
"Parma",2029,39.0502112255132
"Piacenza",2029,42.8025718188178
"Ravenna",2029,44.5819626342251
"Reggio nell'Emilia",2029,38.425746073566
"Rimini",2029,42.0585024802067
"Bologna",2030,42.3235489518268
"Ferrara",2030,51.2001658464834
"Forlì-Cesena",2030,44.1721577368265
"Modena",2030,41.4052400955477
"Parma",2030,40.0034485440044
"Piacenza",2030,43.6616975221052
"Ravenna",2030,45.7431667609948
"Reggio nell'Emilia",2030,39.5099100367538
"Rimini",2030,43.3132309856939
"Bologna",2031,43.2130395267189
"Ferrara",2031,52.1133551719167
