"territorio","anno","componente","valore"
"Parma",2024,"Nati",2846
"Parma",2024,"Morti",4261
"Parma",2025,"Nati",2882
"Parma",2025,"Morti",4355
"Parma",2026,"Nati",2921
"Parma",2026,"Morti",4437
"Parma",2027,"Nati",2957
"Parma",2027,"Morti",4516
"Parma",2028,"Nati",2994
"Parma",2028,"Morti",4574
"Parma",2029,"Nati",3026
"Parma",2029,"Morti",4619
"Parma",2030,"Nati",3062
"Parma",2030,"Morti",4668
"Parma",2031,"Nati",3100
"Parma",2031,"Morti",4708
"Parma",2032,"Nati",3136
"Parma",2032,"Morti",4749
"Parma",2033,"Nati",3176
"Parma",2033,"Morti",4790
"Parma",2034,"Nati",3222
"Parma",2034,"Morti",4829
"Parma",2035,"Nati",3241
"Parma",2035,"Morti",4869
"Parma",2036,"Nati",3260
"Parma",2036,"Morti",4904
"Parma",2037,"Nati",3282
"Parma",2037,"Morti",4932
"Parma",2038,"Nati",3302
"Parma",2038,"Morti",4960
"Parma",2039,"Nati",3309
"Parma",2039,"Morti",4992
"Parma",2040,"Nati",3329
"Parma",2040,"Morti",5031
"Parma",2041,"Nati",3333
"Parma",2041,"Morti",5076
"Parma",2042,"Nati",3341
"Parma",2042,"Morti",5125
"Parma",2043,"Nati",3337
"Parma",2043,"Morti",5181
"Parma",2044,"Nati",3327
"Parma",2044,"Morti",5238
"Parma",2045,"Nati",3315
"Parma",2045,"Morti",5303
"Parma",2046,"Nati",3291
"Parma",2046,"Morti",5376
"Parma",2047,"Nati",3263
"Parma",2047,"Morti",5456
"Parma",2048,"Nati",3235
"Parma",2048,"Morti",5538
"Parma",2049,"Nati",3199
"Parma",2049,"Morti",5625
"Parma",2050,"Nati",3160
"Parma",2050,"Morti",5712
"Emilia-Romagna",2024,"Nati",26178
"Emilia-Romagna",2024,"Morti",45633
"Emilia-Romagna",2025,"Nati",26533
"Emilia-Romagna",2025,"Morti",46505
"Emilia-Romagna",2026,"Nati",26904
"Emilia-Romagna",2026,"Morti",47283
"Emilia-Romagna",2027,"Nati",27277
"Emilia-Romagna",2027,"Morti",47999
"Emilia-Romagna",2028,"Nati",27663
"Emilia-Romagna",2028,"Morti",48448
"Emilia-Romagna",2029,"Nati",28061
"Emilia-Romagna",2029,"Morti",48860
"Emilia-Romagna",2030,"Nati",28481
"Emilia-Romagna",2030,"Morti",49237
"Emilia-Romagna",2031,"Nati",28892
"Emilia-Romagna",2031,"Morti",49582
"Emilia-Romagna",2032,"Nati",29301
"Emilia-Romagna",2032,"Morti",49920
"Emilia-Romagna",2033,"Nati",29764
"Emilia-Romagna",2033,"Morti",50233
"Emilia-Romagna",2034,"Nati",30253
"Emilia-Romagna",2034,"Morti",50570
"Emilia-Romagna",2035,"Nati",30477
"Emilia-Romagna",2035,"Morti",50911
"Emilia-Romagna",2036,"Nati",30702
"Emilia-Romagna",2036,"Morti",51240
"Emilia-Romagna",2037,"Nati",30915
"Emilia-Romagna",2037,"Morti",51424
"Emilia-Romagna",2038,"Nati",31111
"Emilia-Romagna",2038,"Morti",51653
"Emilia-Romagna",2039,"Nati",31229
"Emilia-Romagna",2039,"Morti",51908
"Emilia-Romagna",2040,"Nati",31334
"Emilia-Romagna",2040,"Morti",52227
"Emilia-Romagna",2041,"Nati",31377
"Emilia-Romagna",2041,"Morti",52584
"Emilia-Romagna",2042,"Nati",31377
"Emilia-Romagna",2042,"Morti",52978
"Emilia-Romagna",2043,"Nati",31308
"Emilia-Romagna",2043,"Morti",53422
"Emilia-Romagna",2044,"Nati",31187
"Emilia-Romagna",2044,"Morti",53894
"Emilia-Romagna",2045,"Nati",30960
"Emilia-Romagna",2045,"Morti",54417
"Emilia-Romagna",2046,"Nati",30682
"Emilia-Romagna",2046,"Morti",55014
"Emilia-Romagna",2047,"Nati",30354
"Emilia-Romagna",2047,"Morti",55665
"Emilia-Romagna",2048,"Nati",29991
"Emilia-Romagna",2048,"Morti",56320
"Emilia-Romagna",2049,"Nati",29602
"Emilia-Romagna",2049,"Morti",57021
"Emilia-Romagna",2050,"Nati",29206
"Emilia-Romagna",2050,"Morti",57727
