cod_indicatore,indicatore_breve,indicatore,eta,sesso,anno,valore,poco_signif,unita_misura,fonte
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2005,39.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2006,43.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2007,44.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2008,43.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2009,44.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2010,46.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2011,42.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2012,47.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2013,44.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2014,42.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2015,43.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2016,43.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2017,42,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2018,37.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2019,37.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2020,38.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2021,34.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2022,37.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2023,35.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,14-19,Femmine,2024,37.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
