cod_indicatore,indicatore_breve,indicatore,territorio,livello,sesso,anno,valore,poco_signif,unita_misura,fonte
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2005,26.5,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2006,27.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2007,30.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2008,30.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2009,26.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2010,29.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2011,30.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2012,29.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2013,24.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2014,28.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2015,26.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2016,26,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2017,27.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2018,26.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2019,24.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2020,26.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2021,22.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2022,25,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2023,24.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2024,23.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Femmine,2025,25.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2005,29.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2006,31.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2007,33,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2008,32.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2009,31.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2010,29.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2011,27.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2012,28.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2013,27.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2014,28,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2015,30.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2016,28.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2017,29.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2018,26.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2019,26.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2020,26.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2021,21.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2022,25.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2023,27,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2024,25.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Maschi,2025,25.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2005,28.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2006,29.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2007,31.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2008,31.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2009,29.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2010,29.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2011,28.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2012,28.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2013,25.9,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2014,28.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2015,28.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2016,27.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2017,28.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2018,26.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2019,25.4,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2020,26.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2021,22.1,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2022,25,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2023,25.7,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2024,24.2,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Emilia-Romagna,regione,Totale,2025,25.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2005,23.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2006,22.6,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2007,23,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2008,24.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2009,24.5,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2010,24.3,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2011,23.8,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
05REL002,amici,Soddisfazione per le relazioni amicali,Italia,italia,Femmine,2012,25.5,FALSE,Valori percentuali,Istat - Indagine multiscopo sugli aspetti della vita quotidiana
