indicatore,etichetta_indicatore,territorio,eta,anno,valore,cod_indicatore,cod_base,cod_eta
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),Totale 16-74,2025,32.66,I_IUAI,PC_IND,IND_TOTAL
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,Totale 16-74,2025,19.86,I_IUAI,PC_IND,IND_TOTAL
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),Totale 16-74,2025,28.54,I_IUAIFE,PC_IND_IUAI,IND_TOTAL
scopo_studio,Per lo studio (istruzione formale),Italia,Totale 16-74,2025,32.09,I_IUAIFE,PC_IND_IUAI,IND_TOTAL
scopo_privato,Per scopi privati,UE (27 paesi),Totale 16-74,2025,78.04,I_IUAIPR,PC_IND_IUAI,IND_TOTAL
scopo_privato,Per scopi privati,Italia,Totale 16-74,2025,64.51,I_IUAIPR,PC_IND_IUAI,IND_TOTAL
scopo_lavoro,Per lavoro,UE (27 paesi),Totale 16-74,2025,47.02,I_IUAIWP,PC_IND_IUAI,IND_TOTAL
scopo_lavoro,Per lavoro,Italia,Totale 16-74,2025,40.29,I_IUAIWP,PC_IND_IUAI,IND_TOTAL
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),16-19,2025,66.38,I_IUAI,PC_IND,Y16_19
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,16-19,2025,51.9,I_IUAI,PC_IND,Y16_19
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),16-19,2025,75.11,I_IUAIFE,PC_IND_IUAI,Y16_19
scopo_studio,Per lo studio (istruzione formale),Italia,16-19,2025,78.07,I_IUAIFE,PC_IND_IUAI,Y16_19
scopo_privato,Per scopi privati,UE (27 paesi),16-19,2025,65.23,I_IUAIPR,PC_IND_IUAI,Y16_19
scopo_privato,Per scopi privati,Italia,16-19,2025,45.99,I_IUAIPR,PC_IND_IUAI,Y16_19
scopo_lavoro,Per lavoro,UE (27 paesi),16-19,2025,13.59,I_IUAIWP,PC_IND_IUAI,Y16_19
scopo_lavoro,Per lavoro,Italia,16-19,2025,6.68,I_IUAIWP,PC_IND_IUAI,Y16_19
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),20-24,2025,61.6,I_IUAI,PC_IND,Y20_24
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,20-24,2025,43.15,I_IUAI,PC_IND,Y20_24
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),20-24,2025,54.13,I_IUAIFE,PC_IND_IUAI,Y20_24
scopo_studio,Per lo studio (istruzione formale),Italia,20-24,2025,58.52,I_IUAIFE,PC_IND_IUAI,Y20_24
scopo_privato,Per scopi privati,UE (27 paesi),20-24,2025,75.58,I_IUAIPR,PC_IND_IUAI,Y20_24
scopo_privato,Per scopi privati,Italia,20-24,2025,59.8,I_IUAIPR,PC_IND_IUAI,Y20_24
scopo_lavoro,Per lavoro,UE (27 paesi),20-24,2025,36.55,I_IUAIWP,PC_IND_IUAI,Y20_24
scopo_lavoro,Per lavoro,Italia,20-24,2025,23.09,I_IUAIWP,PC_IND_IUAI,Y20_24
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),25-34,2025,50.65,I_IUAI,PC_IND,Y25_34
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,25-34,2025,31.36,I_IUAI,PC_IND,Y25_34
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),25-34,2025,19.16,I_IUAIFE,PC_IND_IUAI,Y25_34
scopo_studio,Per lo studio (istruzione formale),Italia,25-34,2025,21.98,I_IUAIFE,PC_IND_IUAI,Y25_34
scopo_privato,Per scopi privati,UE (27 paesi),25-34,2025,83.69,I_IUAIPR,PC_IND_IUAI,Y25_34
scopo_privato,Per scopi privati,Italia,25-34,2025,73.83,I_IUAIPR,PC_IND_IUAI,Y25_34
scopo_lavoro,Per lavoro,UE (27 paesi),25-34,2025,54.17,I_IUAIWP,PC_IND_IUAI,Y25_34
scopo_lavoro,Per lavoro,Italia,25-34,2025,47.19,I_IUAIWP,PC_IND_IUAI,Y25_34
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),35-44,2025,38.96,I_IUAI,PC_IND,Y35_44
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),Italia,35-44,2025,21.55,I_IUAI,PC_IND,Y35_44
scopo_studio,Per lo studio (istruzione formale),UE (27 paesi),35-44,2025,15.62,I_IUAIFE,PC_IND_IUAI,Y35_44
scopo_studio,Per lo studio (istruzione formale),Italia,35-44,2025,13.6,I_IUAIFE,PC_IND_IUAI,Y35_44
scopo_privato,Per scopi privati,UE (27 paesi),35-44,2025,80.78,I_IUAIPR,PC_IND_IUAI,Y35_44
scopo_privato,Per scopi privati,Italia,35-44,2025,69.35,I_IUAIPR,PC_IND_IUAI,Y35_44
scopo_lavoro,Per lavoro,UE (27 paesi),35-44,2025,56.64,I_IUAIWP,PC_IND_IUAI,Y35_44
scopo_lavoro,Per lavoro,Italia,35-44,2025,56.17,I_IUAIWP,PC_IND_IUAI,Y35_44
uso_ia,Ha usato strumenti di IA generativa (ultimi 3 mesi),UE (27 paesi),45-54,2025,28.35,I_IUAI,PC_IND,Y45_54
