strumento,frequenza,eta,anno,valore,popolazione_rif,stima_nostra
internet,tutti i giorni,06-10,2001,0.9,6 anni e più,FALSE
internet,tutti i giorni,06-10,2002,0.8,6 anni e più,FALSE
internet,tutti i giorni,06-10,2003,1.1,6 anni e più,FALSE
internet,tutti i giorni,06-10,2005,1.1,6 anni e più,FALSE
internet,tutti i giorni,06-10,2006,1.5,6 anni e più,FALSE
internet,tutti i giorni,06-10,2007,1.8,6 anni e più,FALSE
internet,tutti i giorni,06-10,2008,2.1,6 anni e più,FALSE
internet,tutti i giorni,06-10,2009,3.3,6 anni e più,FALSE
internet,tutti i giorni,06-10,2010,5,6 anni e più,FALSE
internet,tutti i giorni,06-10,2011,4.4,6 anni e più,FALSE
internet,tutti i giorni,06-10,2012,4.7,6 anni e più,FALSE
internet,tutti i giorni,06-10,2013,8.1,6 anni e più,FALSE
internet,tutti i giorni,06-10,2014,9.1,6 anni e più,FALSE
internet,tutti i giorni,06-10,2015,8.7,6 anni e più,FALSE
internet,tutti i giorni,06-10,2016,10.6,6 anni e più,FALSE
internet,tutti i giorni,06-10,2017,18.3,6 anni e più,FALSE
internet,tutti i giorni,06-10,2018,21,6 anni e più,FALSE
internet,tutti i giorni,06-10,2019,27.4,6 anni e più,FALSE
internet,tutti i giorni,06-10,2020,42.8,6 anni e più,FALSE
internet,tutti i giorni,06-10,2021,55.5,6 anni e più,FALSE
internet,tutti i giorni,06-10,2022,44.6,6 anni e più,FALSE
internet,tutti i giorni,06-10,2023,45.4,6 anni e più,FALSE
internet,tutti i giorni,06-10,2024,45.7,6 anni e più,FALSE
internet,tutti i giorni,06-10,2025,44.5,6 anni e più,FALSE
internet,tutti i giorni,11-14,2001,4.2,6 anni e più,FALSE
internet,tutti i giorni,11-14,2002,5.2,6 anni e più,FALSE
internet,tutti i giorni,11-14,2003,4.5,6 anni e più,FALSE
internet,tutti i giorni,11-14,2005,5.7,6 anni e più,FALSE
internet,tutti i giorni,11-14,2006,8.8,6 anni e più,FALSE
internet,tutti i giorni,11-14,2007,14.1,6 anni e più,FALSE
internet,tutti i giorni,11-14,2008,16.3,6 anni e più,FALSE
internet,tutti i giorni,11-14,2009,23,6 anni e più,FALSE
internet,tutti i giorni,11-14,2010,32.8,6 anni e più,FALSE
internet,tutti i giorni,11-14,2011,30.6,6 anni e più,FALSE
internet,tutti i giorni,11-14,2012,33.2,6 anni e più,FALSE
internet,tutti i giorni,11-14,2013,43.2,6 anni e più,FALSE
internet,tutti i giorni,11-14,2014,44.6,6 anni e più,FALSE
internet,tutti i giorni,11-14,2015,48.9,6 anni e più,FALSE
internet,tutti i giorni,11-14,2016,50.6,6 anni e più,FALSE
internet,tutti i giorni,11-14,2017,59.8,6 anni e più,FALSE
internet,tutti i giorni,11-14,2018,62.1,6 anni e più,FALSE
internet,tutti i giorni,11-14,2019,68.3,6 anni e più,FALSE
internet,tutti i giorni,11-14,2020,76.9,6 anni e più,FALSE
internet,tutti i giorni,11-14,2021,86.3,6 anni e più,FALSE
internet,tutti i giorni,11-14,2022,80.8,6 anni e più,FALSE
internet,tutti i giorni,11-14,2023,82.4,6 anni e più,FALSE
internet,tutti i giorni,11-14,2024,82,6 anni e più,FALSE
internet,tutti i giorni,11-14,2025,84.6,6 anni e più,FALSE
internet,tutti i giorni,15-17,2001,9.7,6 anni e più,FALSE
internet,tutti i giorni,15-17,2002,10,6 anni e più,FALSE
internet,tutti i giorni,15-17,2003,9.2,6 anni e più,FALSE
internet,tutti i giorni,15-17,2005,12.4,6 anni e più,FALSE
internet,tutti i giorni,15-17,2006,17.2,6 anni e più,FALSE
internet,tutti i giorni,15-17,2007,24.7,6 anni e più,FALSE
internet,tutti i giorni,15-17,2008,32.2,6 anni e più,FALSE
internet,tutti i giorni,15-17,2009,44.2,6 anni e più,FALSE
internet,tutti i giorni,15-17,2010,52.9,6 anni e più,FALSE
internet,tutti i giorni,15-17,2011,53.1,6 anni e più,FALSE
internet,tutti i giorni,15-17,2012,56.7,6 anni e più,FALSE
internet,tutti i giorni,15-17,2013,63.9,6 anni e più,FALSE
internet,tutti i giorni,15-17,2014,70.7,6 anni e più,FALSE
internet,tutti i giorni,15-17,2015,73.4,6 anni e più,FALSE
internet,tutti i giorni,15-17,2016,75.3,6 anni e più,FALSE
internet,tutti i giorni,15-17,2017,82,6 anni e più,FALSE
internet,tutti i giorni,15-17,2018,84.4,6 anni e più,FALSE
internet,tutti i giorni,15-17,2019,83.7,6 anni e più,FALSE
internet,tutti i giorni,15-17,2020,86.8,6 anni e più,FALSE
internet,tutti i giorni,15-17,2021,93.5,6 anni e più,FALSE
internet,tutti i giorni,15-17,2022,92.8,6 anni e più,FALSE
internet,tutti i giorni,15-17,2023,91.6,6 anni e più,FALSE
internet,tutti i giorni,15-17,2024,92.8,6 anni e più,FALSE
internet,tutti i giorni,15-17,2025,94,6 anni e più,FALSE
internet,tutti i giorni,15-19,2001,10.62,6 anni e più,TRUE
internet,tutti i giorni,15-19,2002,12.08,6 anni e più,TRUE
internet,tutti i giorni,15-19,2003,10.8,6 anni e più,TRUE
internet,tutti i giorni,15-19,2005,13.560000000000002,6 anni e più,TRUE
internet,tutti i giorni,15-19,2006,19.72,6 anni e più,TRUE
internet,tutti i giorni,15-19,2007,26.26,6 anni e più,TRUE
internet,tutti i giorni,15-19,2008,33.44,6 anni e più,TRUE
internet,tutti i giorni,15-19,2009,45.24,6 anni e più,TRUE
internet,tutti i giorni,15-19,2010,54.54,6 anni e più,TRUE
internet,tutti i giorni,15-19,2011,56.34000000000001,6 anni e più,TRUE
internet,tutti i giorni,15-19,2012,60.42,6 anni e più,TRUE
internet,tutti i giorni,15-19,2013,66.38,6 anni e più,TRUE
internet,tutti i giorni,15-19,2014,73.1,6 anni e più,TRUE
internet,tutti i giorni,15-19,2015,74.96000000000001,6 anni e più,TRUE
internet,tutti i giorni,15-19,2016,78.34,6 anni e più,TRUE
internet,tutti i giorni,15-19,2017,82.08,6 anni e più,TRUE
internet,tutti i giorni,15-19,2018,84.84,6 anni e più,TRUE
internet,tutti i giorni,15-19,2019,85.02000000000001,6 anni e più,TRUE
internet,tutti i giorni,15-19,2020,87.35999999999999,6 anni e più,TRUE
internet,tutti i giorni,15-19,2021,93.34,6 anni e più,TRUE
internet,tutti i giorni,15-19,2022,93.03999999999999,6 anni e più,TRUE
internet,tutti i giorni,15-19,2023,92.32,6 anni e più,TRUE
internet,tutti i giorni,15-19,2024,93.47999999999999,6 anni e più,TRUE
internet,tutti i giorni,15-19,2025,94.84,6 anni e più,TRUE
internet,tutti i giorni,18-19,2001,12,6 anni e più,FALSE
internet,tutti i giorni,18-19,2002,15.2,6 anni e più,FALSE
internet,tutti i giorni,18-19,2003,13.2,6 anni e più,FALSE
internet,tutti i giorni,18-19,2005,15.3,6 anni e più,FALSE
internet,tutti i giorni,18-19,2006,23.5,6 anni e più,FALSE
internet,tutti i giorni,18-19,2007,28.6,6 anni e più,FALSE
internet,tutti i giorni,18-19,2008,35.3,6 anni e più,FALSE
