frequenza,territorio,anno,valore
tutti i giorni,Emilia-Romagna,2001,8.6
tutti i giorni,Emilia-Romagna,2002,11.4
tutti i giorni,Emilia-Romagna,2003,12
tutti i giorni,Emilia-Romagna,2005,12.8
tutti i giorni,Emilia-Romagna,2006,16.5
tutti i giorni,Emilia-Romagna,2007,19.9
tutti i giorni,Emilia-Romagna,2008,20.4
tutti i giorni,Emilia-Romagna,2009,24.5
tutti i giorni,Emilia-Romagna,2010,27.2
tutti i giorni,Emilia-Romagna,2011,31
tutti i giorni,Emilia-Romagna,2012,33.8
tutti i giorni,Emilia-Romagna,2013,39.5
tutti i giorni,Emilia-Romagna,2014,41.1
tutti i giorni,Emilia-Romagna,2015,45.3
tutti i giorni,Emilia-Romagna,2016,46.7
tutti i giorni,Emilia-Romagna,2017,51.5
tutti i giorni,Emilia-Romagna,2018,57.9
tutti i giorni,Emilia-Romagna,2019,59.4
tutti i giorni,Emilia-Romagna,2020,62.4
tutti i giorni,Emilia-Romagna,2021,65.3
tutti i giorni,Emilia-Romagna,2022,68.8
tutti i giorni,Emilia-Romagna,2023,70.4
tutti i giorni,Emilia-Romagna,2024,72.7
tutti i giorni,Emilia-Romagna,2025,74.1
tutti i giorni,Italia,2001,7.1
tutti i giorni,Italia,2002,8.5
tutti i giorni,Italia,2003,9.1
tutti i giorni,Italia,2005,11.1
tutti i giorni,Italia,2006,14.1
tutti i giorni,Italia,2007,16.1
tutti i giorni,Italia,2008,17.7
tutti i giorni,Italia,2009,21.8
tutti i giorni,Italia,2010,26.4
tutti i giorni,Italia,2011,28.3
tutti i giorni,Italia,2012,29.6
tutti i giorni,Italia,2013,33.6
tutti i giorni,Italia,2014,37
tutti i giorni,Italia,2015,40.3
tutti i giorni,Italia,2016,44.6
tutti i giorni,Italia,2017,47.6
tutti i giorni,Italia,2018,52.1
tutti i giorni,Italia,2019,54.7
tutti i giorni,Italia,2020,59
tutti i giorni,Italia,2021,63.4
tutti i giorni,Italia,2022,65.1
tutti i giorni,Italia,2023,67.6
tutti i giorni,Italia,2024,71.2
tutti i giorni,Italia,2025,72.4
tutti i giorni,Nord-est,2001,7.7
tutti i giorni,Nord-est,2002,10
tutti i giorni,Nord-est,2003,10.4
tutti i giorni,Nord-est,2005,12.4
tutti i giorni,Nord-est,2006,16
tutti i giorni,Nord-est,2007,18.4
tutti i giorni,Nord-est,2008,19.1
tutti i giorni,Nord-est,2009,23
tutti i giorni,Nord-est,2010,27
tutti i giorni,Nord-est,2011,30
tutti i giorni,Nord-est,2012,33
tutti i giorni,Nord-est,2013,37
tutti i giorni,Nord-est,2014,39.6
tutti i giorni,Nord-est,2015,44.3
tutti i giorni,Nord-est,2016,47.3
tutti i giorni,Nord-est,2017,50.2
tutti i giorni,Nord-est,2018,55.8
tutti i giorni,Nord-est,2019,57.8
tutti i giorni,Nord-est,2020,61.7
tutti i giorni,Nord-est,2021,64.9
tutti i giorni,Nord-est,2022,68.1
tutti i giorni,Nord-est,2023,69.9
tutti i giorni,Nord-est,2024,73.3
tutti i giorni,Nord-est,2025,73.9
usano,Emilia-Romagna,2001,30.7
usano,Emilia-Romagna,2002,32
usano,Emilia-Romagna,2003,34.8
usano,Emilia-Romagna,2005,34.6
usano,Emilia-Romagna,2006,38.2
usano,Emilia-Romagna,2007,41.4
usano,Emilia-Romagna,2008,46.4
usano,Emilia-Romagna,2009,48.5
usano,Emilia-Romagna,2010,51.1
usano,Emilia-Romagna,2011,54.6
usano,Emilia-Romagna,2012,56.9
usano,Emilia-Romagna,2013,59.7
usano,Emilia-Romagna,2014,61
usano,Emilia-Romagna,2015,65.1
usano,Emilia-Romagna,2016,65.1
usano,Emilia-Romagna,2017,68.2
usano,Emilia-Romagna,2018,72.8
usano,Emilia-Romagna,2019,75.2
usano,Emilia-Romagna,2020,77.4
usano,Emilia-Romagna,2021,79
usano,Emilia-Romagna,2022,81.3
usano,Emilia-Romagna,2023,84.5
usano,Emilia-Romagna,2024,85
usano,Emilia-Romagna,2025,85.7
usano,Italia,2001,27
usano,Italia,2002,27.2
usano,Italia,2003,29.9
usano,Italia,2005,31.8
usano,Italia,2006,34.1
usano,Italia,2007,36.9
usano,Italia,2008,40.2
usano,Italia,2009,44.4
usano,Italia,2010,48.9
usano,Italia,2011,51.5
usano,Italia,2012,52.5
usano,Italia,2013,54.9
usano,Italia,2014,57.5
usano,Italia,2015,60.2
usano,Italia,2016,63.2
usano,Italia,2017,65.3
usano,Italia,2018,68.5
usano,Italia,2019,70.4
usano,Italia,2020,73.3
usano,Italia,2021,77.1
usano,Italia,2022,78.5
usano,Italia,2023,80.3
usano,Italia,2024,82.7
usano,Italia,2025,83.9
usano,Nord-est,2001,30
usano,Nord-est,2002,31.8
usano,Nord-est,2003,33.7
usano,Nord-est,2005,35.6
usano,Nord-est,2006,38.1
usano,Nord-est,2007,41.2
usano,Nord-est,2008,45.4
usano,Nord-est,2009,48.2
usano,Nord-est,2010,51.3
usano,Nord-est,2011,55.9
usano,Nord-est,2012,57.7
usano,Nord-est,2013,60.1
usano,Nord-est,2014,61.5
usano,Nord-est,2015,65.2
usano,Nord-est,2016,66.9
usano,Nord-est,2017,68
usano,Nord-est,2018,72.2
usano,Nord-est,2019,74.3
usano,Nord-est,2020,76.8
usano,Nord-est,2021,78.7
usano,Nord-est,2022,81.6
usano,Nord-est,2023,83.2
usano,Nord-est,2024,85.4
usano,Nord-est,2025,85.9
