indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Tutti i giorni,26.50168577367735
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Qualche volta a settimana,49.91166380484969
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Una volta a settimana,10.114051186541229
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Qualche volta al mese (meno di 4),9.646076159390402
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Qualche volta l'anno,2.2349352811809045
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Mai,1.5915877943604284
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,11-13 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Tutti i giorni,26.005256234521173
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Qualche volta a settimana,51.04519222634652
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Una volta a settimana,12.388258016642348
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Qualche volta al mese (meno di 4),7.278220466580668
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Qualche volta l'anno,1.568023338433271
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Mai,1.715049717476012
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,eta,14-19 anni,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Tutti i giorni,25.223120448115623
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Qualche volta a settimana,50.646353379614375
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Una volta a settimana,12.478696328951406
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Qualche volta al mese (meno di 4),8.063865565314215
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Qualche volta l'anno,1.9305386704236875
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Mai,1.6574256075806986
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-ovest,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-est,Tutti i giorni,20.865335480574178
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-est,Qualche volta a settimana,53.80270676226018
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-est,Una volta a settimana,12.06042211864538
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Maschi,ripartizione,Nord-est,Qualche volta al mese (meno di 4),9.880921042444138
