"anno","territorio_lbl","cittadinanza_lbl","classe5_lbl","sesso_lbl","popolazione","quota"
2024,"Emilia-Romagna","Stranieri","100+","Femmine",10,1.7707106747293e-05
2024,"Emilia-Romagna","Italiani","100+","Femmine",1628,0.000417730129401401
2024,"Emilia-Romagna","Totale","100+","Femmine",1638,0.000367100119722151
2024,"Emilia-Romagna","Stranieri","0-4","Femmine",14361,0.0254291759997875
2024,"Emilia-Romagna","Italiani","0-4","Femmine",58006,0.0148838168833278
2024,"Emilia-Romagna","Totale","0-4","Femmine",72367,0.0162185191477002
2024,"Emilia-Romagna","Stranieri","10-14","Femmine",14583,0.0258222737695774
2024,"Emilia-Romagna","Italiani","10-14","Femmine",83576,0.021444848461211
2024,"Emilia-Romagna","Totale","10-14","Femmine",98159,0.0219988892868173
2024,"Emilia-Romagna","Stranieri","15-19","Femmine",11571,0.0204888932172928
2024,"Emilia-Romagna","Italiani","15-19","Femmine",91831,0.0235630070719042
2024,"Emilia-Romagna","Totale","15-19","Femmine",103402,0.0231739234307142
2024,"Emilia-Romagna","Stranieri","20-24","Femmine",12810,0.0226828037432824
2024,"Emilia-Romagna","Italiani","20-24","Femmine",89257,0.0229025418673101
2024,"Emilia-Romagna","Totale","20-24","Femmine",102067,0.0228747301096953
2024,"Emilia-Romagna","Stranieri","25-29","Femmine",19998,0.0354106720732366
2024,"Emilia-Romagna","Italiani","25-29","Femmine",88100,0.0226056660935279
2024,"Emilia-Romagna","Totale","25-29","Femmine",108098,0.0242263667531899
2024,"Emilia-Romagna","Stranieri","30-34","Femmine",25724,0.0455497613967366
2024,"Emilia-Romagna","Italiani","30-34","Femmine",92952,0.0238506455700977
2024,"Emilia-Romagna","Totale","30-34","Femmine",118676,0.0265970536069268
2024,"Emilia-Romagna","Stranieri","35-39","Femmine",29845,0.052846860087296
2024,"Emilia-Romagna","Italiani","35-39","Femmine",94705,0.0243004495730711
2024,"Emilia-Romagna","Totale","35-39","Femmine",124550,0.0279135042194102
2024,"Emilia-Romagna","Stranieri","40-44","Femmine",28662,0.0507521093590913
2024,"Emilia-Romagna","Italiani","40-44","Femmine",107250,0.0275193835247545
2024,"Emilia-Romagna","Totale","40-44","Femmine",135912,0.0304598971133559
2024,"Emilia-Romagna","Stranieri","45-49","Femmine",26276,0.0465271936891872
2024,"Emilia-Romagna","Italiani","45-49","Femmine",137084,0.0351745190779249
2024,"Emilia-Romagna","Totale","45-49","Femmine",163360,0.0366114014394448
2024,"Emilia-Romagna","Stranieri","5-9","Femmine",15949,0.0282410645512576
2024,"Emilia-Romagna","Italiani","5-9","Femmine",68991,0.017702468892833
2024,"Emilia-Romagna","Totale","5-9","Femmine",84940,0.0190363151216114
2024,"Emilia-Romagna","Stranieri","50-54","Femmine",22884,0.0405209430805054
2024,"Emilia-Romagna","Italiani","50-54","Femmine",163036,0.041833568413444
2024,"Emilia-Romagna","Totale","50-54","Femmine",185920,0.0416674323923946
2024,"Emilia-Romagna","Stranieri","55-59","Femmine",19776,0.0350175743034467
2024,"Emilia-Romagna","Italiani","55-59","Femmine",163558,0.0419675089094806
2024,"Emilia-Romagna","Totale","55-59","Femmine",183334,0.0410878713975219
2024,"Emilia-Romagna","Stranieri","60-64","Femmine",17157,0.0303800830463306
2024,"Emilia-Romagna","Italiani","60-64","Femmine",152279,0.0390734191493342
2024,"Emilia-Romagna","Totale","60-64","Femmine",169436,0.0379731232510638
2024,"Emilia-Romagna","Stranieri","65-69","Femmine",13178,0.0233344252715827
2024,"Emilia-Romagna","Italiani","65-69","Femmine",131534,0.0337504390913292
2024,"Emilia-Romagna","Totale","65-69","Femmine",144712,0.0324321077687619
2024,"Emilia-Romagna","Stranieri","70-74","Femmine",7599,0.013455630417268
2024,"Emilia-Romagna","Italiani","70-74","Femmine",119399,0.0306367074449619
2024,"Emilia-Romagna","Totale","70-74","Femmine",126998,0.0284621373653686
2024,"Emilia-Romagna","Stranieri","75-79","Femmine",3658,0.00647725964815979
2024,"Emilia-Romagna","Italiani","75-79","Femmine",119334,0.0306200290307044
2024,"Emilia-Romagna","Totale","75-79","Femmine",122992,0.0275643332874645
2024,"Emilia-Romagna","Stranieri","80-84","Femmine",1854,0.00328289759094813
2024,"Emilia-Romagna","Italiani","80-84","Femmine",95520,0.0245095712287604
2024,"Emilia-Romagna","Totale","80-84","Femmine",97374,0.0218229591317612
2024,"Emilia-Romagna","Stranieri","85-89","Femmine",895,0.00158478605388273
2024,"Emilia-Romagna","Italiani","85-89","Femmine",75630,0.0194059764659877
2024,"Emilia-Romagna","Totale","85-89","Femmine",76525,0.0171503886823795
2024,"Emilia-Romagna","Stranieri","90-94","Femmine",294,0.000520588938370415
2024,"Emilia-Romagna","Italiani","90-94","Femmine",38067,0.00976764916211496
2024,"Emilia-Romagna","Totale","90-94","Femmine",38361,0.00859726965363947
2024,"Emilia-Romagna","Stranieri","95-99","Femmine",92,0.000162905382075096
2024,"Emilia-Romagna","Italiani","95-99","Femmine",11214,0.00287741134588901
2024,"Emilia-Romagna","Totale","95-99","Femmine",11306,0.00253384246250222
2024,"Emilia-Romagna","Stranieri","100+","Maschi",12,2.12485280967516e-05
2024,"Emilia-Romagna","Italiani","100+","Maschi",328,8.41618442528622e-05
2024,"Emilia-Romagna","Totale","100+","Maschi",340,7.6199048049775e-05
2024,"Emilia-Romagna","Stranieri","0-4","Maschi",15106,0.0267483554524608
2024,"Emilia-Romagna","Italiani","0-4","Maschi",61675,0.0158252492204124
2024,"Emilia-Romagna","Totale","0-4","Maschi",76781,0.017207762083264
2024,"Emilia-Romagna","Stranieri","10-14","Maschi",15463,0.0273804991633392
2024,"Emilia-Romagna","Italiani","10-14","Maschi",88624,0.0227401197715416
2024,"Emilia-Romagna","Totale","10-14","Maschi",104087,0.0233274421010498
2024,"Emilia-Romagna","Stranieri","15-19","Maschi",15112,0.0267589797165092
2024,"Emilia-Romagna","Italiani","15-19","Maschi",97610,0.0250458463948838
2024,"Emilia-Romagna","Totale","15-19","Maschi",112722,0.0252626738066669
2024,"Emilia-Romagna","Stranieri","20-24","Maschi",19298,0.0341711746009261
2024,"Emilia-Romagna","Italiani","20-24","Maschi",95609,0.0245324078267436
2024,"Emilia-Romagna","Totale","20-24","Maschi",114907,0.0257523647478103
2024,"Emilia-Romagna","Stranieri","25-29","Maschi",28234,0.0499942451903071
2024,"Emilia-Romagna","Italiani","25-29","Maschi",93631,0.0240248708513407
2024,"Emilia-Romagna","Totale","25-29","Maschi",121865,0.0273117558546642
2024,"Emilia-Romagna","Stranieri","30-34","Maschi",28847,0.0510796908339162
2024,"Emilia-Romagna","Italiani","30-34","Maschi",98479,0.0252688239639562
2024,"Emilia-Romagna","Totale","30-34","Maschi",127326,0.0285356470352519
2024,"Emilia-Romagna","Stranieri","35-39","Maschi",30145,0.0533780732897148
2024,"Emilia-Romagna","Italiani","35-39","Maschi",97380,0.0249868304675113
2024,"Emilia-Romagna","Totale","35-39","Maschi",127525,0.0285802458898458
2024,"Emilia-Romagna","Stranieri","40-44","Maschi",28476,0.0504227571735916
2024,"Emilia-Romagna","Italiani","40-44","Maschi",108125,0.0277439006397583
2024,"Emilia-Romagna","Totale","40-44","Maschi",136601,0.0306143122430803
2024,"Emilia-Romagna","Stranieri","45-49","Maschi",25054,0.044363385244668
2024,"Emilia-Romagna","Italiani","45-49","Maschi",137467,0.0352727934265494
2024,"Emilia-Romagna","Totale","45-49","Maschi",162521,0.0364233690826397
2024,"Emilia-Romagna","Stranieri","5-9","Maschi",17082,0.030247279745726
2024,"Emilia-Romagna","Italiani","5-9","Maschi",73247,0.0187945201402116
2024,"Emilia-Romagna","Totale","5-9","Maschi",90329,0.0202440700332004
2024,"Emilia-Romagna","Stranieri","50-54","Maschi",19134,0.0338807780502705
2024,"Emilia-Romagna","Italiani","50-54","Maschi",165654,0.0425053236215355
2024,"Emilia-Romagna","Totale","50-54","Maschi",184788,0.0414137343853583
2024,"Emilia-Romagna","Stranieri","55-59","Maschi",14228,0.0251936714800485
2024,"Emilia-Romagna","Italiani","55-59","Maschi",166009,0.0425964134224799
2024,"Emilia-Romagna","Totale","55-59","Maschi",180237,0.0403937877157273
2024,"Emilia-Romagna","Stranieri","60-64","Maschi",9138,0.0161807541456764
2024,"Emilia-Romagna","Italiani","60-64","Maschi",150970,0.0387375415452884
2024,"Emilia-Romagna","Totale","60-64","Maschi",160108,0.0358825799563335
2024,"Emilia-Romagna","Stranieri","65-69","Maschi",5615,0.00994254043860503
2024,"Emilia-Romagna","Italiani","65-69","Maschi",126829,0.0325431784900801
2024,"Emilia-Romagna","Totale","65-69","Maschi",132444,0.0296826668232482
2024,"Emilia-Romagna","Stranieri","70-74","Maschi",3251,0.00575658040354496
2024,"Emilia-Romagna","Italiani","70-74","Maschi",106755,0.0273923709854095
2024,"Emilia-Romagna","Totale","70-74","Maschi",110006,0.0246539778816575
2024,"Emilia-Romagna","Stranieri","75-79","Maschi",1793,0.00317488423978964
2024,"Emilia-Romagna","Italiani","75-79","Maschi",101306,0.0259942066886599
2024,"Emilia-Romagna","Totale","75-79","Maschi",103099,0.023106016632011
2024,"Emilia-Romagna","Stranieri","80-84","Maschi",942,0.001668009455595
2024,"Emilia-Romagna","Italiani","80-84","Maschi",72803,0.0186805937412839
2024,"Emilia-Romagna","Totale","80-84","Maschi",73745,0.016527349407149
2024,"Emilia-Romagna","Stranieri","85-89","Maschi",463,0.000819839042399667
2024,"Emilia-Romagna","Italiani","85-89","Maschi",49415,0.0126794437004731
2024,"Emilia-Romagna","Totale","85-89","Maschi",49878,0.011178400348902
2024,"Emilia-Romagna","Stranieri","90-94","Maschi",152,0.000269148022558854
2024,"Emilia-Romagna","Italiani","90-94","Maschi",18858,0.00483879286256243
2024,"Emilia-Romagna","Totale","90-94","Maschi",19010,0.00426042324537124
2024,"Emilia-Romagna","Stranieri","95-99","Maschi",24,4.24970561935033e-05
2024,"Emilia-Romagna","Italiani","95-99","Maschi",3528,0.00090525300769542
2024,"Emilia-Romagna","Totale","95-99","Maschi",3552,0.000796055937272944
