"anno","territorio_lbl","cittadinanza_lbl","classe5_lbl","sesso_lbl","popolazione","quota"
2024,"Emilia-Romagna","Totale","100+","Femmine",1638,0.000367100119722151
2024,"Emilia-Romagna","Totale","0-4","Femmine",72367,0.0162185191477002
2024,"Emilia-Romagna","Totale","10-14","Femmine",98159,0.0219988892868173
2024,"Emilia-Romagna","Totale","15-19","Femmine",103402,0.0231739234307142
2024,"Emilia-Romagna","Totale","20-24","Femmine",102067,0.0228747301096953
2024,"Emilia-Romagna","Totale","25-29","Femmine",108098,0.0242263667531899
2024,"Emilia-Romagna","Totale","30-34","Femmine",118676,0.0265970536069268
2024,"Emilia-Romagna","Totale","35-39","Femmine",124550,0.0279135042194102
2024,"Emilia-Romagna","Totale","40-44","Femmine",135912,0.0304598971133559
2024,"Emilia-Romagna","Totale","45-49","Femmine",163360,0.0366114014394448
2024,"Emilia-Romagna","Totale","5-9","Femmine",84940,0.0190363151216114
2024,"Emilia-Romagna","Totale","50-54","Femmine",185920,0.0416674323923946
2024,"Emilia-Romagna","Totale","55-59","Femmine",183334,0.0410878713975219
2024,"Emilia-Romagna","Totale","60-64","Femmine",169436,0.0379731232510638
2024,"Emilia-Romagna","Totale","65-69","Femmine",144712,0.0324321077687619
2024,"Emilia-Romagna","Totale","70-74","Femmine",126998,0.0284621373653686
2024,"Emilia-Romagna","Totale","75-79","Femmine",122992,0.0275643332874645
2024,"Emilia-Romagna","Totale","80-84","Femmine",97374,0.0218229591317612
2024,"Emilia-Romagna","Totale","85-89","Femmine",76525,0.0171503886823795
2024,"Emilia-Romagna","Totale","90-94","Femmine",38361,0.00859726965363947
2024,"Emilia-Romagna","Totale","95-99","Femmine",11306,0.00253384246250222
2024,"Emilia-Romagna","Totale","100+","Maschi",340,7.6199048049775e-05
2024,"Emilia-Romagna","Totale","0-4","Maschi",76781,0.017207762083264
2024,"Emilia-Romagna","Totale","10-14","Maschi",104087,0.0233274421010498
2024,"Emilia-Romagna","Totale","15-19","Maschi",112722,0.0252626738066669
2024,"Emilia-Romagna","Totale","20-24","Maschi",114907,0.0257523647478103
2024,"Emilia-Romagna","Totale","25-29","Maschi",121865,0.0273117558546642
2024,"Emilia-Romagna","Totale","30-34","Maschi",127326,0.0285356470352519
2024,"Emilia-Romagna","Totale","35-39","Maschi",127525,0.0285802458898458
2024,"Emilia-Romagna","Totale","40-44","Maschi",136601,0.0306143122430803
2024,"Emilia-Romagna","Totale","45-49","Maschi",162521,0.0364233690826397
2024,"Emilia-Romagna","Totale","5-9","Maschi",90329,0.0202440700332004
