"anno","territorio_lbl","cittadinanza_lbl","classe5_lbl","sesso_lbl","popolazione","quota"
2024,"Provincia di Parma","Stranieri","100+","Femmine",1,1.48282151277451e-05
2024,"Provincia di Parma","Italiani","100+","Femmine",175,0.000450712641073057
2024,"Provincia di Parma","Totale","100+","Femmine",176,0.000386207986166732
2024,"Provincia di Parma","Stranieri","0-4","Femmine",1903,0.0282180933880989
2024,"Provincia di Parma","Italiani","0-4","Femmine",6021,0.0155070903537193
2024,"Provincia di Parma","Totale","0-4","Femmine",7924,0.017388136831734
2024,"Provincia di Parma","Stranieri","10-14","Femmine",1782,0.0264238793576417
2024,"Provincia di Parma","Italiani","10-14","Femmine",8344,0.0214899787263633
2024,"Provincia di Parma","Totale","10-14","Femmine",10126,0.0222201253859337
2024,"Provincia di Parma","Stranieri","15-19","Femmine",1509,0.0223757766277673
2024,"Provincia di Parma","Italiani","15-19","Femmine",8998,0.0231743562535735
2024,"Provincia di Parma","Totale","15-19","Femmine",10507,0.0230561779014424
2024,"Provincia di Parma","Stranieri","20-24","Femmine",1763,0.0261421432702146
2024,"Provincia di Parma","Italiani","20-24","Femmine",8558,0.0220411358988755
2024,"Provincia di Parma","Totale","20-24","Femmine",10321,0.022648026279698
2024,"Provincia di Parma","Stranieri","25-29","Femmine",2569,0.0380936846631771
2024,"Provincia di Parma","Italiani","25-29","Femmine",9092,0.0234164533293499
2024,"Provincia di Parma","Totale","25-29","Femmine",11661,0.0255884734471038
2024,"Provincia di Parma","Stranieri","30-34","Femmine",3207,0.0475540859146784
2024,"Provincia di Parma","Italiani","30-34","Femmine",9757,0.0251291613654275
2024,"Provincia di Parma","Totale","30-34","Femmine",12964,0.0284477291628722
2024,"Provincia di Parma","Stranieri","35-39","Femmine",3645,0.0540488441406308
2024,"Provincia di Parma","Italiani","35-39","Femmine",9942,0.0256056290145619
2024,"Provincia di Parma","Totale","35-39","Femmine",13587,0.0298148176593602
2024,"Provincia di Parma","Stranieri","40-44","Femmine",3331,0.0493927845905188
2024,"Provincia di Parma","Italiani","40-44","Femmine",10937,0.028168252316663
2024,"Provincia di Parma","Totale","40-44","Femmine",14268,0.0313091792421985
2024,"Provincia di Parma","Stranieri","45-49","Femmine",2804,0.0415783152181972
2024,"Provincia di Parma","Italiani","45-49","Femmine",13675,0.0352199735238517
2024,"Provincia di Parma","Totale","45-49","Femmine",16479,0.0361609170684181
2024,"Provincia di Parma","Stranieri","5-9","Femmine",2039,0.0302347306454722
2024,"Provincia di Parma","Italiani","5-9","Femmine",7103,0.0182937822259538
2024,"Provincia di Parma","Totale","5-9","Femmine",9142,0.0200608716450924
2024,"Provincia di Parma","Stranieri","50-54","Femmine",2286,0.0338972997820252
2024,"Provincia di Parma","Italiani","50-54","Femmine",16149,0.0415917625182217
2024,"Provincia di Parma","Totale","50-54","Femmine",18435,0.0404530921874074
2024,"Provincia di Parma","Stranieri","55-59","Femmine",1980,0.0293598659529352
2024,"Provincia di Parma","Italiani","55-59","Femmine",16578,0.0426966523640522
2024,"Provincia di Parma","Totale","55-59","Femmine",18558,0.0407229989050126
2024,"Provincia di Parma","Stranieri","60-64","Femmine",1710,0.0253562478684441
2024,"Provincia di Parma","Italiani","60-64","Femmine",14864,0.0382822439823424
2024,"Provincia di Parma","Totale","60-64","Femmine",16574,0.0363693816064058
2024,"Provincia di Parma","Stranieri","65-69","Femmine",1347,0.0199736057770726
2024,"Provincia di Parma","Italiani","65-69","Femmine",12608,0.0324719141637091
2024,"Provincia di Parma","Totale","65-69","Femmine",13955,0.0306223434486179
2024,"Provincia di Parma","Stranieri","70-74","Femmine",823,0.0122036210501342
2024,"Provincia di Parma","Italiani","70-74","Femmine",11343,0.0292139056439525
2024,"Provincia di Parma","Totale","70-74","Femmine",12166,0.0266966270437754
2024,"Provincia di Parma","Stranieri","75-79","Femmine",406,0.0060202553418645
2024,"Provincia di Parma","Italiani","75-79","Femmine",11390,0.0293349541818407
2024,"Provincia di Parma","Totale","75-79","Femmine",11796,0.0258847125274021
2024,"Provincia di Parma","Stranieri","80-84","Femmine",186,0.00275804801376058
2024,"Provincia di Parma","Italiani","80-84","Femmine",9498,0.0244621066566394
2024,"Provincia di Parma","Totale","80-84","Femmine",9684,0.0212502166934013
2024,"Provincia di Parma","Stranieri","85-89","Femmine",80,0.00118625721021961
