cod_indicatore,indicatore,sesso,territorio,livello,anno,valore,poco_signif,unita_misura,fonte
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2013,94,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2014,92.8,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2015,92.8,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2016,92.7,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2017,93.6,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2018,93.5,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2019,93.5,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2020,93.6,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2021,91.1,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2022,92.7,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2023,94,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Emilia-Romagna,regione,2024,94,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2013,97.9,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2014,97.4,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2015,97.2,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2016,97.3,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2017,96.1,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2018,95.8,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2019,96,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2020,95.9,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2021,92.8,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2022,94,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2023,94.7,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Italia,italia,2024,95,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2013,95.4,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2014,94.6,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2015,94.5,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2016,94.6,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2017,94.9,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2018,94.9,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2019,94.6,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2020,94.4,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2021,91.7,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2022,93.1,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2023,94.1,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST001,Partecipazione al sistema scolastico dei bambini di 4-5 anni,Totale,Nord-est,ripartizione,2024,94.5,FALSE,Valori percentuali,Istat - Elaborazione su dati Ministero dell'Istruzione e del Merito
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2018,71,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2019,72.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2020,73.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2021,72.5,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2022,71.7,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2023,73.1,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2024,75.4,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Emilia-Romagna,regione,2025,74.7,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2018,63.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2019,64.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2020,65,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2021,65.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2022,65.7,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2023,68,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2024,69.4,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Italia,italia,2025,69.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2018,68.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2019,69.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2020,70.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2021,70.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2022,70.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2023,72.5,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2024,74.4,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Femmine,Nord-est,ripartizione,2025,73.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2018,65.2,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2019,65.2,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2020,64.4,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2021,64.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2022,64.5,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2023,66.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2024,67.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Emilia-Romagna,regione,2025,67.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2018,59.7,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2019,59.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2020,60.1,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2021,60.1,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2022,60.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2023,62.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2024,64,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Italia,italia,2025,64.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2018,65,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2019,64.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2020,64.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2021,64.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2022,64.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2023,66.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2024,68.2,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Maschi,Nord-est,ripartizione,2025,68.4,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2018,68.2,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2019,69.1,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2020,68.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2021,68.7,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2022,68.1,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2023,69.9,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2024,71.6,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Emilia-Romagna,regione,2025,71.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Italia,italia,2018,61.8,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
02IST002-N22,Persone con almeno il diploma (25-64 anni),Totale,Italia,italia,2019,62.3,FALSE,Valori percentuali,Istat - Rilevazione sulle Forze di lavoro
