anno_inizio,ordine_scuola,gestione,alunni
2015,SCUOLA PRIMARIA,paritaria,1300
2015,SCUOLA SECONDARIA I GRADO,paritaria,800
2015,SCUOLA SECONDARIA II GRADO,paritaria,168
2016,SCUOLA PRIMARIA,paritaria,1351
2016,SCUOLA SECONDARIA II GRADO,paritaria,156
2016,SCUOLA SECONDARIA I GRADO,paritaria,811
2017,SCUOLA SECONDARIA I GRADO,paritaria,833
2017,SCUOLA PRIMARIA,paritaria,1353
2017,SCUOLA SECONDARIA II GRADO,paritaria,161
2018,SCUOLA SECONDARIA I GRADO,paritaria,875
2018,SCUOLA PRIMARIA,paritaria,1360
2018,SCUOLA SECONDARIA II GRADO,paritaria,148
2019,SCUOLA SECONDARIA I GRADO,paritaria,922
2019,SCUOLA PRIMARIA,paritaria,1373
2019,SCUOLA SECONDARIA II GRADO,paritaria,156
2020,SCUOLA SECONDARIA II GRADO,paritaria,163
2020,SCUOLA SECONDARIA I GRADO,paritaria,1011
2020,SCUOLA PRIMARIA,paritaria,1354
2021,SCUOLA PRIMARIA,paritaria,1316
2021,SCUOLA SECONDARIA II GRADO,paritaria,211
2021,SCUOLA SECONDARIA I GRADO,paritaria,1067
2022,SCUOLA SECONDARIA I GRADO,paritaria,1090
2022,SCUOLA PRIMARIA,paritaria,1349
2022,SCUOLA SECONDARIA II GRADO,paritaria,230
2023,SCUOLA SECONDARIA I GRADO,paritaria,1053
2023,SCUOLA SECONDARIA II GRADO,paritaria,271
2023,SCUOLA PRIMARIA,paritaria,1387
2024,SCUOLA PRIMARIA,paritaria,1347
2024,SCUOLA SECONDARIA I GRADO,paritaria,1061
2024,SCUOLA SECONDARIA II GRADO,paritaria,298
2015,SCUOLA PRIMARIA,statale,17951
2015,SCUOLA SECONDARIA I GRADO,statale,10063
2015,SCUOLA SECONDARIA II GRADO,statale,17502
2016,SCUOLA PRIMARIA,statale,18216
2016,SCUOLA SECONDARIA II GRADO,statale,17639
2016,SCUOLA SECONDARIA I GRADO,statale,10341
2017,SCUOLA PRIMARIA,statale,18230
2017,SCUOLA SECONDARIA II GRADO,statale,18439
2017,SCUOLA SECONDARIA I GRADO,statale,10495
2018,SCUOLA SECONDARIA I GRADO,statale,10781
2018,SCUOLA SECONDARIA II GRADO,statale,18658
2018,SCUOLA PRIMARIA,statale,18129
2019,SCUOLA SECONDARIA II GRADO,statale,18972
2019,SCUOLA PRIMARIA,statale,18225
2019,SCUOLA SECONDARIA I GRADO,statale,10926
2020,SCUOLA SECONDARIA II GRADO,statale,19264
2020,SCUOLA PRIMARIA,statale,18139
2020,SCUOLA SECONDARIA I GRADO,statale,11592
2021,SCUOLA PRIMARIA,statale,18041
2021,SCUOLA SECONDARIA II GRADO,statale,19486
2021,SCUOLA SECONDARIA I GRADO,statale,11635
2022,SCUOLA SECONDARIA I GRADO,statale,11576
2022,SCUOLA PRIMARIA,statale,17964
2022,SCUOLA SECONDARIA II GRADO,statale,19552
2023,SCUOLA SECONDARIA I GRADO,statale,11514
2023,SCUOLA PRIMARIA,statale,17741
2023,SCUOLA SECONDARIA II GRADO,statale,20621
2024,SCUOLA SECONDARIA I GRADO,statale,11310
2024,SCUOLA SECONDARIA II GRADO,statale,20849
2024,SCUOLA PRIMARIA,statale,17411
