anno_inizio,provincia,alunni
2015,PARMA,47784
2015,FERRARA,32906
2015,BOLOGNA,100578
2015,REGGIO EMILIA,63586
2015,RIMINI,36844
2015,RAVENNA,41526
2015,MODENA,72912
2015,FORLI'-CESENA,36142
2015,PIACENZA,30842
2016,REGGIO EMILIA,63852
2016,BOLOGNA,102646
2016,RIMINI,38323
2016,RAVENNA,41991
2016,MODENA,85876
2016,PARMA,48514
2016,PIACENZA,30975
2016,FERRARA,34758
2016,FORLI'-CESENA,44944
2017,REGGIO EMILIA,63750
2017,RIMINI,38382
2017,FERRARA,34825
2017,RAVENNA,42330
2017,BOLOGNA,104789
2017,PARMA,49511
2017,PIACENZA,31132
2017,FORLI'-CESENA,47192
2017,MODENA,85214
2018,BOLOGNA,107776
2018,REGGIO EMILIA,63725
2018,FERRARA,34878
2018,RIMINI,38589
2018,PARMA,49951
2018,MODENA,87884
2018,RAVENNA,42577
2018,PIACENZA,31196
2018,FORLI'-CESENA,47399
2019,MODENA,88177
2019,PARMA,50574
2019,BOLOGNA,108078
2019,RAVENNA,42518
2019,FERRARA,36153
2019,REGGIO EMILIA,63677
2019,FORLI'-CESENA,47577
2019,RIMINI,38651
2019,PIACENZA,31352
2020,RAVENNA,42530
2020,BOLOGNA,108170
2020,FERRARA,36181
2020,FORLI'-CESENA,47628
2020,RIMINI,38582
2020,PARMA,51523
2020,MODENA,88195
2020,REGGIO EMILIA,63268
2020,PIACENZA,31593
2021,PIACENZA,31758
2021,BOLOGNA,108093
2021,RAVENNA,42328
2021,MODENA,87981
2021,PARMA,51756
2021,RIMINI,38542
2021,FERRARA,36392
2021,REGGIO EMILIA,63040
2021,FORLI'-CESENA,47463
2022,PIACENZA,31907
2022,BOLOGNA,107307
2022,MODENA,87311
2022,REGGIO EMILIA,62228
2022,RIMINI,38257
2022,FERRARA,36311
2022,PARMA,51761
2022,RAVENNA,42606
2022,FORLI'-CESENA,47213
2023,REGGIO EMILIA,61576
2023,MODENA,86537
2023,RAVENNA,42274
2023,BOLOGNA,108181
2023,FERRARA,36227
2023,RIMINI,37905
2023,PARMA,52587
2023,FORLI'-CESENA,47078
2023,PIACENZA,32029
2024,BOLOGNA,108080
2024,RIMINI,38674
2024,PIACENZA,31896
2024,REGGIO EMILIA,61093
2024,FERRARA,36033
2024,FORLI'-CESENA,46734
2024,PARMA,52276
2024,MODENA,85840
2024,RAVENNA,41908
