anno_inizio,ordine_scuola,comune,pro_com_t,alunni,alunni_paritaria,quota_paritaria
2015,SCUOLA PRIMARIA,PARMA,034027,8123,837,0.10304074849193648
2015,SCUOLA SECONDARIA I GRADO,PARMA,034027,4906,513,0.10456583774969425
2015,SCUOLA PRIMARIA,FIDENZA,034014,953,342,0.3588667366211962
2015,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,57,57,1
2015,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,559,138,0.24686940966010734
2015,SCUOLA SECONDARIA II GRADO,PARMA,034027,13099,111,0.008473929307580732
2015,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,245,86,0.3510204081632653
2015,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,785,121,0.15414012738853503
2015,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,63,63,1
2016,SCUOLA PRIMARIA,PARMA,034027,8242,874,0.10604222276146566
2016,SCUOLA SECONDARIA II GRADO,PARMA,034027,13269,107,0.008063908357826513
2016,SCUOLA PRIMARIA,FIDENZA,034014,1007,369,0.36643495531281034
2016,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,246,87,0.35365853658536583
2016,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,800,108,0.135
2016,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,49,49,1
2016,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,70,70,1
2016,SCUOLA SECONDARIA I GRADO,PARMA,034027,5030,500,0.09940357852882704
2016,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,572,154,0.2692307692307692
2017,SCUOLA SECONDARIA I GRADO,PARMA,034027,5087,532,0.10458030273245528
2017,SCUOLA PRIMARIA,FIDENZA,034014,1004,398,0.39641434262948205
2017,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,552,144,0.2608695652173913
2017,SCUOLA PRIMARIA,PARMA,034027,8325,855,0.10270270270270271
2017,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,63,63,1
2017,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,262,94,0.35877862595419846
2017,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,814,100,0.12285012285012285
2017,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,53,53,1
2017,SCUOLA SECONDARIA II GRADO,PARMA,034027,13666,108,0.007902824528025758
2018,SCUOLA SECONDARIA I GRADO,PARMA,034027,5243,549,0.10471104329582301
2018,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,802,97,0.12094763092269327
2018,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,47,47,1
2018,SCUOLA PRIMARIA,FIDENZA,034014,1015,414,0.40788177339901477
2018,SCUOLA PRIMARIA,PARMA,034027,8274,849,0.10261058738216099
2018,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,59,59,1
2018,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,275,107,0.3890909090909091
2018,SCUOLA SECONDARIA II GRADO,PARMA,034027,13780,101,0.007329462989840349
2018,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,588,160,0.272108843537415
2019,SCUOLA SECONDARIA I GRADO,BUSSETO,034007,276,109,0.39492753623188404
2019,SCUOLA SECONDARIA I GRADO,PARMA,034027,5322,597,0.11217587373167982
2019,SCUOLA PRIMARIA,PARMA,034027,8534,871,0.10206233887977502
2019,SCUOLA PRIMARIA,FIDENZA,034014,1048,414,0.3950381679389313
2019,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,62,62,1
2019,SCUOLA SECONDARIA II GRADO,PARMA,034027,14038,121,0.008619461461746688
2019,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,572,154,0.2692307692307692
2019,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,35,35,1
2019,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,808,88,0.10891089108910891
2020,SCUOLA SECONDARIA II GRADO,TRAVERSETOLO,034042,36,36,1
2020,SCUOLA SECONDARIA I GRADO,PARMA,034027,5398,648,0.12004446091144869
2020,SCUOLA PRIMARIA,PARMA,034027,8346,871,0.1043613707165109
2020,SCUOLA PRIMARIA,FIDENZA,034014,1321,396,0.29977289931869794
2020,SCUOLA SECONDARIA II GRADO,PARMA,034027,14309,127,0.008875532881403313
2020,SCUOLA PRIMARIA,SALSOMAGGIORE TERME,034032,806,87,0.10794044665012408
2020,SCUOLA SECONDARIA I GRADO,SALSOMAGGIORE TERME,034032,587,165,0.28109028960817717
2020,SCUOLA SECONDARIA I GRADO,FIDENZA,034014,716,81,0.11312849162011174
