ordine_scuola,comune,pro_com_t,n_plessi_paritari,n_plessi,quota_plessi_paritari
Primaria,Langhirano,034018,0,2,0
Primaria,Noceto,034025,0,2,0
Primaria,Parma,034027,6,36,0.16666666666666666
Infanzia,Neviano degli Arduini,034024,0,3,0
Secondaria I grado,Parma,034027,5,20,0.25
Secondaria II grado,Borgo Val di Taro,034006,0,3,0
Infanzia,Lesignano de' Bagni,034019,0,1,0
Infanzia,Medesano,034020,3,5,0.6
Primaria,Tornolo,034040,0,2,0
Secondaria II grado,Bedonia,034003,0,1,0
Primaria,Fornovo di Taro,034017,0,2,0
Secondaria I grado,Bedonia,034003,0,1,0
Primaria,Solignano,034035,0,1,0
Secondaria I grado,Sorbolo Mezzani,034051,0,2,0
Infanzia,Parma,034027,41,50,0.82
Infanzia,Salsomaggiore Terme,034032,2,4,0.5
Secondaria I grado,Noceto,034025,0,1,0
Primaria,Fidenza,034014,2,6,0.3333333333333333
Secondaria I grado,Fidenza,034014,1,2,0.5
Infanzia,Roccabianca,034030,0,1,0
Secondaria I grado,Fornovo di Taro,034017,0,1,0
Secondaria I grado,Traversetolo,034042,0,1,0
Infanzia,Fidenza,034014,6,10,0.6
Secondaria II grado,Fidenza,034014,0,8,0
Primaria,San Secondo Parmense,034033,0,1,0
Primaria,Colorno,034010,0,1,0
Infanzia,Solignano,034035,0,1,0
Primaria,Berceto,034004,0,2,0
Secondaria II grado,Salsomaggiore Terme,034032,2,6,0.3333333333333333
Secondaria I grado,Colorno,034010,0,1,0
Primaria,Terenzo,034038,0,1,0
Primaria,Varsi,034046,0,1,0
Infanzia,Soragna,034036,0,1,0
Primaria,Traversetolo,034042,0,1,0
Secondaria II grado,Parma,034027,4,31,0.12903225806451613
Infanzia,Noceto,034025,2,4,0.5
Primaria,Pellegrino Parmense,034028,0,1,0
Infanzia,Fornovo di Taro,034017,1,2,0.5
Infanzia,Borgo Val di Taro,034006,1,2,0.5
Infanzia,Varsi,034046,0,1,0
Primaria,Bardi,034002,0,1,0
Infanzia,Pellegrino Parmense,034028,0,1,0
Primaria,Roccabianca,034030,0,1,0
Primaria,Fontevivo,034016,0,2,0
Primaria,Bore,034005,0,1,0
Secondaria I grado,Fontanellato,034015,0,1,0
Infanzia,Bore,034005,0,1,0
Primaria,Fontanellato,034015,0,1,0
Secondaria I grado,Albareto,034001,0,1,0
Infanzia,Fontanellato,034015,0,1,0
Primaria,Albareto,034001,0,1,0
Infanzia,Fontevivo,034016,1,2,0.5
Secondaria I grado,Borgo Val di Taro,034006,0,1,0
Secondaria I grado,Fontevivo,034016,0,1,0
Infanzia,Tornolo,034040,0,2,0
Primaria,Medesano,034020,0,5,0
Secondaria II grado,Fornovo di Taro,034017,0,4,0
Secondaria I grado,Tornolo,034040,0,1,0
Secondaria I grado,Medesano,034020,0,1,0
Infanzia,Compiano,034011,0,1,0
Secondaria I grado,Monchio delle Corti,034022,0,1,0
Secondaria I grado,Varsi,034046,0,1,0
Primaria,Salsomaggiore Terme,034032,1,3,0.3333333333333333
Secondaria I grado,Varano de' Melegari,034045,0,1,0
Secondaria I grado,Salsomaggiore Terme,034032,1,2,0.5
Primaria,Varano de' Melegari,034045,0,1,0
Infanzia,Tizzano Val Parma,034039,0,2,0
Infanzia,Bedonia,034003,0,1,0
Secondaria I grado,Bardi,034002,0,1,0
Primaria,Busseto,034007,0,1,0
Primaria,Corniglio,034012,0,2,0
Secondaria I grado,Roccabianca,034030,0,1,0
Infanzia,Corniglio,034012,1,3,0.3333333333333333
Secondaria I grado,Soragna,034036,0,1,0
Infanzia,Felino,034013,0,2,0
Secondaria I grado,Pellegrino Parmense,034028,0,1,0
Primaria,Tizzano Val Parma,034039,0,2,0
Infanzia,Calestano,034008,0,1,0
Primaria,Palanzano,034026,0,1,0
Secondaria I grado,Polesine Zibello,034050,0,1,0
Primaria,Polesine Zibello,034050,0,1,0
Secondaria I grado,Tizzano Val Parma,034039,0,1,0
Secondaria I grado,Busseto,034007,1,2,0.5
Primaria,Collecchio,034009,0,2,0
Secondaria I grado,Palanzano,034026,0,1,0
Infanzia,Sorbolo Mezzani,034051,5,6,0.8333333333333334
Primaria,Monchio delle Corti,034022,0,1,0
Primaria,Borgo Val di Taro,034006,0,2,0
Secondaria II grado,Langhirano,034018,0,3,0
Secondaria I grado,Corniglio,034012,0,1,0
Infanzia,Polesine Zibello,034050,0,2,0
Primaria,Neviano degli Arduini,034024,0,3,0
Infanzia,Sala Baganza,034031,0,1,0
Infanzia,Berceto,034004,1,2,0.5
Primaria,Felino,034013,0,1,0
Infanzia,Monchio delle Corti,034022,0,1,0
Secondaria I grado,Collecchio,034009,0,1,0
Secondaria I grado,Berceto,034004,0,1,0
Secondaria I grado,Lesignano de' Bagni,034019,0,1,0
Secondaria I grado,Solignano,034035,0,1,0
Secondaria I grado,Langhirano,034018,0,1,0
Infanzia,Langhirano,034018,1,4,0.25
Primaria,Lesignano de' Bagni,034019,0,1,0
Infanzia,Sissa Trecasali,034049,1,3,0.3333333333333333
Secondaria I grado,Neviano degli Arduini,034024,0,1,0
Secondaria I grado,Sissa Trecasali,034049,0,1,0
Primaria,Valmozzola,034044,0,1,0
Primaria,Sissa Trecasali,034049,0,3,0
Primaria,Calestano,034008,0,1,0
Secondaria I grado,Felino,034013,0,1,0
Primaria,Soragna,034036,0,1,0
Secondaria I grado,San Secondo Parmense,034033,0,1,0
Primaria,Sala Baganza,034031,0,1,0
Infanzia,Varano de' Melegari,034045,0,1,0
Secondaria I grado,Sala Baganza,034031,0,1,0
Secondaria I grado,Calestano,034008,0,1,0
Infanzia,Collecchio,034009,3,7,0.42857142857142855
Secondaria II grado,San Secondo Parmense,034033,0,2,0
Primaria,Torrile,034041,0,2,0
Primaria,Montechiarugolo,034023,0,3,0
Secondaria I grado,Torrile,034041,0,1,0
Infanzia,Traversetolo,034042,2,3,0.6666666666666666
Infanzia,Colorno,034010,0,1,0
Primaria,Bedonia,034003,0,1,0
Infanzia,Montechiarugolo,034023,3,4,0.75
Primaria,Compiano,034011,0,1,0
Primaria,Sorbolo Mezzani,034051,0,2,0
Infanzia,Torrile,034041,0,1,0
Secondaria I grado,Montechiarugolo,034023,0,1,0
Infanzia,Palanzano,034026,1,1,1
Infanzia,San Secondo Parmense,034033,1,1,1
Infanzia,Bardi,034002,1,1,1
Infanzia,Busseto,034007,2,2,1
Secondaria II grado,Traversetolo,034042,1,1,1
Infanzia,Albareto,034001,1,1,1
