anno_inizio,ordine_scuola,gestione,n_plessi
2015,Infanzia,paritaria,80
2015,Secondaria II grado,paritaria,4
2015,Secondaria I grado,paritaria,8
2015,Primaria,paritaria,9
2016,Infanzia,paritaria,81
2016,Secondaria I grado,paritaria,8
2016,Primaria,paritaria,9
2016,Secondaria II grado,paritaria,4
2017,Infanzia,paritaria,81
2017,Secondaria I grado,paritaria,8
2017,Primaria,paritaria,9
2017,Secondaria II grado,paritaria,3
2018,Infanzia,paritaria,80
2018,Secondaria I grado,paritaria,8
2018,Secondaria II grado,paritaria,3
2018,Primaria,paritaria,9
2019,Infanzia,paritaria,79
2019,Primaria,paritaria,9
2019,Secondaria I grado,paritaria,8
2019,Secondaria II grado,paritaria,4
2020,Infanzia,paritaria,79
2020,Primaria,paritaria,9
2020,Secondaria II grado,paritaria,4
2020,Secondaria I grado,paritaria,8
2021,Infanzia,paritaria,78
2021,Primaria,paritaria,9
2021,Secondaria II grado,paritaria,7
2021,Secondaria I grado,paritaria,8
2022,Secondaria I grado,paritaria,8
2022,Infanzia,paritaria,79
2022,Secondaria II grado,paritaria,9
2022,Primaria,paritaria,9
2023,Primaria,paritaria,9
2023,Infanzia,paritaria,79
2023,Secondaria I grado,paritaria,8
2023,Secondaria II grado,paritaria,7
2024,Infanzia,paritaria,80
2024,Secondaria II grado,paritaria,7
2024,Primaria,paritaria,9
2024,Secondaria I grado,paritaria,8
2025,Infanzia,paritaria,81
2025,Primaria,paritaria,9
2025,Secondaria I grado,paritaria,8
2025,Secondaria II grado,paritaria,6
2026,Infanzia,paritaria,81
2026,Secondaria II grado,paritaria,6
2026,Secondaria I grado,paritaria,8
2026,Primaria,paritaria,9
2015,Primaria,statale,100
2015,Secondaria II grado,statale,54
2015,Secondaria I grado,statale,55
2015,Infanzia,statale,64
2016,Secondaria II grado,statale,54
2016,Infanzia,statale,64
2016,Secondaria I grado,statale,55
2016,Primaria,statale,100
2017,Secondaria I grado,statale,55
2017,Primaria,statale,100
2017,Infanzia,statale,64
2017,Secondaria II grado,statale,54
2018,Secondaria I grado,statale,55
2018,Secondaria II grado,statale,54
2018,Primaria,statale,100
2018,Infanzia,statale,64
2019,Primaria,statale,100
2019,Infanzia,statale,64
2019,Secondaria I grado,statale,55
2019,Secondaria II grado,statale,54
2020,Primaria,statale,100
2020,Secondaria II grado,statale,53
2020,Infanzia,statale,64
2020,Secondaria I grado,statale,55
2021,Secondaria II grado,statale,53
2021,Primaria,statale,100
2021,Secondaria I grado,statale,55
2021,Infanzia,statale,64
2022,Primaria,statale,100
2022,Secondaria II grado,statale,53
2022,Secondaria I grado,statale,55
2022,Infanzia,statale,64
2023,Secondaria I grado,statale,55
2023,Infanzia,statale,64
2023,Primaria,statale,99
2023,Secondaria II grado,statale,51
2024,Primaria,statale,99
2024,Infanzia,statale,64
2024,Secondaria I grado,statale,55
2024,Secondaria II grado,statale,52
2025,Infanzia,statale,64
2025,Primaria,statale,99
2025,Secondaria II grado,statale,52
2025,Secondaria I grado,statale,55
2026,Secondaria II grado,statale,53
2026,Secondaria I grado,statale,55
2026,Primaria,statale,98
2026,Infanzia,statale,64
