anno_inizio,comune,pro_com_t,n_plessi,alunni,alunni_stranieri,quota_stranieri
2015,Parma,034027,69,26128,4070,0.15577158603796692
2015,Salsomaggiore Terme,034032,8,2279,376,0.16498464238701185
2015,Traversetolo,034042,3,823,145,0.17618469015795868
2015,Fidenza,034014,9,2792,425,0.15222063037249284
2015,Busseto,034007,3,514,118,0.22957198443579765
2016,Parma,034027,69,26541,4187,0.15775592479559927
2016,Fidenza,034014,9,2833,433,0.15284151076597247
2016,Busseto,034007,3,548,132,0.24087591240875914
2016,Salsomaggiore Terme,034032,8,2296,385,0.1676829268292683
2016,Traversetolo,034042,3,794,144,0.181360201511335
2017,Parma,034027,71,27078,4390,0.16212423369525075
2017,Salsomaggiore Terme,034032,8,2258,396,0.1753764393268379
2017,Traversetolo,034042,3,756,131,0.17328042328042328
2017,Fidenza,034014,11,3209,474,0.14770956684325334
2017,Busseto,034007,3,554,134,0.24187725631768953
2018,Fidenza,034014,11,3294,534,0.1621129326047359
2018,Parma,034027,71,27297,4498,0.1647800124555812
2018,Salsomaggiore Terme,034032,8,2220,395,0.17792792792792791
2018,Busseto,034007,3,567,110,0.19400352733686066
2018,Traversetolo,034042,3,739,132,0.17861975642760486
2019,Parma,034027,72,27894,4896,0.17552161755216175
2019,Traversetolo,034042,3,674,116,0.17210682492581603
2019,Salsomaggiore Terme,034032,8,2140,419,0.19579439252336447
2019,Busseto,034007,3,558,121,0.2168458781362007
2019,Fidenza,034014,11,3347,557,0.16641768748132657
2020,Parma,034027,72,28053,5169,0.18425836808897444
2020,Salsomaggiore Terme,034032,8,2064,423,0.20494186046511628
2020,Traversetolo,034042,3,678,122,0.17994100294985252
2020,Fidenza,034014,13,4254,868,0.20404325340855664
2020,Busseto,034007,3,558,134,0.24014336917562723
2021,Parma,034027,73,28317,5498,0.1941589857682664
2021,Traversetolo,034042,3,679,137,0.20176730486008837
2021,Salsomaggiore Terme,034032,10,1976,409,0.2069838056680162
2021,Fidenza,034014,13,4285,713,0.16639439906651107
2021,Busseto,034007,3,568,153,0.26936619718309857
2022,Parma,034027,74,28335,5680,0.2004587965413799
2022,Fidenza,034014,13,4412,856,0.19401631912964643
2022,Salsomaggiore Terme,034032,10,1944,406,0.2088477366255144
2022,Traversetolo,034042,3,675,162,0.24
2022,Busseto,034007,3,563,143,0.2539964476021314
2023,Parma,034027,76,29282,5953,0.2032989549894133
2023,Fidenza,034014,13,4484,912,0.2033898305084746
2023,Salsomaggiore Terme,034032,10,1939,442,0.22795255286230015
2023,Busseto,034007,3,566,160,0.2826855123674912
2023,Traversetolo,034042,3,677,170,0.2511078286558346
2024,Fidenza,034014,13,4612,953,0.20663486556808325
2024,Parma,034027,76,29146,5954,0.20428189116859946
2024,Traversetolo,034042,3,702,186,0.26495726495726496
2024,Salsomaggiore Terme,034032,10,1908,452,0.23689727463312368
2024,Busseto,034007,3,543,172,0.31675874769797424
2015,Bardi,034002,2,101,20,0.19801980198019803
2015,Tornolo,034040,3,40,4,0.1
2015,San Secondo Parmense,034033,3,1023,156,0.15249266862170088
2015,Varsi,034046,2,46,7,0.15217391304347827
2015,Neviano degli Arduini,034024,4,178,29,0.16292134831460675
2015,Borgo Val di Taro,034006,5,918,116,0.12636165577342048
2015,Montechiarugolo,034023,4,747,103,0.13788487282463185
2015,Torrile,034041,3,647,88,0.13601236476043277
2015,Polesine Zibello,034050,2,175,41,0.2342857142857143
2015,Lesignano de' Bagni,034019,2,323,26,0.0804953560371517
2015,Corniglio,034012,3,89,3,0.033707865168539325
2015,Langhirano,034018,5,1014,255,0.2514792899408284
2015,Medesano,034020,6,819,164,0.20024420024420025
2015,Fornovo di Taro,034017,6,887,231,0.26042841037204056
2015,Albareto,034001,2,84,3,0.03571428571428571
2015,Compiano,034011,1,52,4,0.07692307692307693
2015,Sissa Trecasali,034049,4,602,90,0.14950166112956811
2015,Berceto,034004,3,79,15,0.189873417721519
2015,Terenzo,034038,1,14,4,0.2857142857142857
2015,Noceto,034025,3,975,158,0.16205128205128205
2015,Colorno,034010,2,722,174,0.2409972299168975
2015,Tizzano Val Parma,034039,3,119,30,0.25210084033613445
2015,Solignano,034035,2,80,13,0.1625
2015,Bore,034005,1,12,4,0.3333333333333333
2015,Felino,034013,2,684,98,0.14327485380116958
2015,Palanzano,034026,2,42,13,0.30952380952380953
2015,Sala Baganza,034031,2,393,59,0.15012722646310434
2015,Sorbolo Mezzani,034051,4,1061,136,0.1281809613572102
2015,Calestano,034008,2,111,27,0.24324324324324326
2015,Collecchio,034009,3,1113,154,0.13836477987421383
2015,Varano de' Melegari,034045,2,230,36,0.1565217391304348
2015,Bedonia,034003,3,409,54,0.13202933985330073
2015,Pellegrino Parmense,034028,2,52,1,0.019230769230769232
2015,Roccabianca,034030,2,196,40,0.20408163265306123
2015,Fontevivo,034016,3,423,94,0.2222222222222222
2015,Soragna,034036,2,346,76,0.21965317919075145
2015,Fontanellato,034015,2,419,86,0.2052505966587112
2015,Monchio delle Corti,034022,1,23,1,0.043478260869565216
2016,Noceto,034025,3,993,167,0.16817724068479356
2016,San Secondo Parmense,034033,3,1037,167,0.16104146576663453
2016,Collecchio,034009,3,1155,153,0.13246753246753246
2016,Langhirano,034018,5,1010,265,0.2623762376237624
2016,Sorbolo Mezzani,034051,4,1084,137,0.12638376383763839
2016,Neviano degli Arduini,034024,4,184,43,0.23369565217391305
2016,Sala Baganza,034031,2,389,62,0.15938303341902313
2016,Calestano,034008,2,123,35,0.2845528455284553
2016,Tornolo,034040,3,39,6,0.15384615384615385
2016,Bedonia,034003,3,429,57,0.13286713286713286
2016,Fornovo di Taro,034017,6,902,242,0.2682926829268293
2016,Compiano,034011,1,52,4,0.07692307692307693
2016,Medesano,034020,6,822,171,0.20802919708029197
2016,Borgo Val di Taro,034006,5,894,114,0.12751677852348994
2016,Fontanellato,034015,2,427,93,0.21779859484777517
2016,Soragna,034036,2,352,73,0.20738636363636365
2016,Fontevivo,034016,3,437,98,0.2242562929061785
2016,Colorno,034010,2,714,186,0.2605042016806723
2016,Varano de' Melegari,034045,2,242,32,0.1322314049586777
2016,Bardi,034002,2,91,18,0.1978021978021978
2016,Varsi,034046,2,57,8,0.14035087719298245
2016,Pellegrino Parmense,034028,2,54,2,0.037037037037037035
2016,Albareto,034001,2,81,4,0.04938271604938271
2016,Roccabianca,034030,2,188,32,0.1702127659574468
2016,Solignano,034035,2,75,13,0.17333333333333334
2016,Montechiarugolo,034023,4,787,115,0.14612452350698857
2016,Polesine Zibello,034050,2,169,39,0.23076923076923078
2016,Felino,034013,2,710,103,0.14507042253521127
2016,Terenzo,034038,1,14,5,0.35714285714285715
2016,Berceto,034004,3,74,16,0.21621621621621623
2016,Sissa Trecasali,034049,4,620,100,0.16129032258064516
2016,Lesignano de' Bagni,034019,2,331,32,0.09667673716012085
2016,Torrile,034041,3,680,93,0.13676470588235295
2016,Tizzano Val Parma,034039,3,130,37,0.2846153846153846
2016,Monchio delle Corti,034022,1,14,1,0.07142857142857142
2016,Palanzano,034026,2,44,7,0.1590909090909091
2016,Bore,034005,1,11,6,0.5454545454545454
2016,Corniglio,034012,3,87,5,0.05747126436781609
2017,Soragna,034036,2,357,78,0.2184873949579832
2017,Monchio delle Corti,034022,2,27,1,0.037037037037037035
2017,Fontevivo,034016,3,439,108,0.2460136674259681
2017,Sorbolo Mezzani,034051,4,1090,138,0.12660550458715597
2017,Neviano degli Arduini,034024,4,173,47,0.27167630057803466
2017,Fornovo di Taro,034017,6,934,238,0.25481798715203424
2017,Berceto,034004,3,75,15,0.2
2017,Langhirano,034018,5,1040,295,0.28365384615384615
2017,Varano de' Melegari,034045,2,246,35,0.14227642276422764
2017,Borgo Val di Taro,034006,5,874,114,0.13043478260869565
2017,Tizzano Val Parma,034039,3,135,42,0.3111111111111111
2017,Sissa Trecasali,034049,4,604,100,0.16556291390728478
2017,Palanzano,034026,2,33,5,0.15151515151515152
2017,Pellegrino Parmense,034028,2,63,5,0.07936507936507936
2017,Felino,034013,2,719,107,0.14881780250347706
2017,Lesignano de' Bagni,034019,2,347,37,0.10662824207492795
2017,Sala Baganza,034031,2,389,61,0.15681233933161953
2017,Corniglio,034012,3,85,4,0.047058823529411764
2017,Calestano,034008,2,126,37,0.29365079365079366
2017,Varsi,034046,2,60,11,0.18333333333333332
2017,San Secondo Parmense,034033,3,1029,150,0.1457725947521866
2017,Bore,034005,1,10,5,0.5
2017,Solignano,034035,2,82,17,0.2073170731707317
2017,Albareto,034001,2,78,2,0.02564102564102564
2017,Medesano,034020,6,797,171,0.21455457967377667
2017,Collecchio,034009,3,1176,148,0.12585034013605442
2017,Bardi,034002,2,106,23,0.2169811320754717
2017,Fontanellato,034015,2,422,95,0.22511848341232227
2017,Tornolo,034040,3,37,6,0.16216216216216217
2017,Montechiarugolo,034023,4,835,126,0.15089820359281436
2017,Colorno,034010,2,698,181,0.2593123209169054
2017,Torrile,034041,3,681,102,0.14977973568281938
2017,Noceto,034025,3,1017,174,0.1710914454277286
2017,Polesine Zibello,034050,2,158,41,0.25949367088607594
2017,Bedonia,034003,3,449,59,0.13140311804008908
2017,Terenzo,034038,1,14,2,0.14285714285714285
2017,Roccabianca,034030,2,204,33,0.16176470588235295
2017,Compiano,034011,1,47,4,0.0851063829787234
2018,Tizzano Val Parma,034039,3,145,43,0.296551724137931
2018,Lesignano de' Bagni,034019,2,355,35,0.09859154929577464
2018,Palanzano,034026,2,27,5,0.18518518518518517
2018,Langhirano,034018,5,1070,313,0.2925233644859813
2018,Soragna,034036,2,361,80,0.22160664819944598
2018,Medesano,034020,6,798,169,0.21177944862155387
2018,Tornolo,034040,3,35,8,0.22857142857142856
2018,Corniglio,034012,3,86,5,0.05813953488372093
2018,Sorbolo Mezzani,034051,4,1071,142,0.13258636788048553
2018,Sala Baganza,034031,2,398,64,0.16080402010050251
2018,Albareto,034001,2,98,5,0.05102040816326531
2018,Calestano,034008,2,131,40,0.3053435114503817
2018,Fontanellato,034015,2,431,98,0.2273781902552204
2018,Compiano,034011,1,39,3,0.07692307692307693
2018,Sissa Trecasali,034049,4,599,96,0.16026711185308848
2018,Collecchio,034009,3,1245,157,0.12610441767068273
