anno_inizio,provincia,alunni,alunni_stranieri,quota_stranieri
2015,MODENA,72912,10971,0.1504690585911784
2015,RIMINI,36844,4755,0.12905764846379328
2015,FERRARA,32906,4167,0.12663344070990093
2015,REGGIO EMILIA,63586,10223,0.16077438429843047
2015,PARMA,47784,7747,0.1621253976226352
2015,BOLOGNA,100578,14948,0.1486209707888405
2015,RAVENNA,41526,5765,0.13882868564272985
2015,FORLI'-CESENA,36142,4304,0.11908582812240606
2015,PIACENZA,30842,6296,0.20413721548537708
2016,BOLOGNA,102646,15617,0.1521442628061493
2016,RIMINI,38323,5014,0.13083526863763276
2016,REGGIO EMILIA,63852,10007,0.1567217941489695
2016,PARMA,48514,8022,0.16535433070866143
2016,FORLI'-CESENA,44944,5864,0.1304734781060876
2016,MODENA,85876,13757,0.16019609669756393
2016,RAVENNA,41991,5943,0.14153032792741302
2016,FERRARA,34758,4452,0.12808562057655792
2016,PIACENZA,30975,6441,0.20794188861985471
2017,BOLOGNA,104789,16271,0.15527393142409987
2017,MODENA,85214,14130,0.16581782336235829
2017,FORLI'-CESENA,47192,6179,0.13093320901847771
2017,RAVENNA,42330,6162,0.14557051736357193
2017,PARMA,49511,8342,0.16848781078952152
2017,FERRARA,34825,4551,0.13068198133524767
2017,REGGIO EMILIA,63750,10004,0.15692549019607843
2017,RIMINI,38382,5173,0.13477671825334792
2017,PIACENZA,31132,6647,0.21351021457021713
2018,MODENA,87884,14349,0.1632720404169132
2018,PARMA,49951,8581,0.17178835258553382
2018,PIACENZA,31196,6702,0.2148352352865752
2018,BOLOGNA,107776,16980,0.15754899049881235
2018,RAVENNA,42577,6323,0.14850741010404678
2018,REGGIO EMILIA,63725,9938,0.15595135347194977
2018,RIMINI,38589,5212,0.13506439658970174
2018,FERRARA,34878,4757,0.1363897012443374
2018,FORLI'-CESENA,47399,6175,0.13027701006350345
2019,REGGIO EMILIA,63677,9849,0.15467123137082464
2019,RAVENNA,42518,6254,0.14709064396255703
2019,PARMA,50574,9120,0.1803298137382845
2019,BOLOGNA,108078,16770,0.15516571365125187
2019,MODENA,88177,14596,0.1655306939451331
2019,RIMINI,38651,5211,0.13482186748078964
2019,FORLI'-CESENA,47577,6381,0.13411942745444227
2019,PIACENZA,31352,6768,0.21587139576422557
2019,FERRARA,36153,5053,0.13976710093214947
2020,BOLOGNA,108170,17044,0.1575667930110012
2020,MODENA,88195,15090,0.1710981348148988
2020,REGGIO EMILIA,63268,10109,0.15978061579313396
2020,PIACENZA,31593,7082,0.22416358053999302
2020,RIMINI,38582,5284,0.13695505676222072
2020,PARMA,51523,9795,0.1901092715874464
2020,RAVENNA,42530,6529,0.1535151657653421
2020,FORLI'-CESENA,47628,6638,0.13937179810195682
2020,FERRARA,36181,5360,0.14814405350874768
2021,BOLOGNA,108093,17918,0.16576466561201927
2021,PARMA,51756,10263,0.19829584975654996
2021,RAVENNA,42328,6968,0.16461916461916462
2021,FERRARA,36392,5920,0.16267311497032313
2021,RIMINI,38542,5672,0.14716413263452857
2021,REGGIO EMILIA,63040,10803,0.17136738578680202
2021,MODENA,87981,15911,0.18084586444800582
2021,PIACENZA,31758,7605,0.23946722085773664
2021,FORLI'-CESENA,47463,7077,0.14910561911383605
2022,PARMA,51761,10766,0.20799443596530207
2022,RIMINI,38257,5754,0.1504038476618658
2022,REGGIO EMILIA,62228,10755,0.17283216558462428
2022,BOLOGNA,107307,18240,0.1699795912661802
2022,MODENA,87311,16166,0.18515421882695193
2022,FERRARA,36311,6163,0.16972818154278319
2022,PIACENZA,31907,7765,0.243363525245244
2022,FORLI'-CESENA,47213,7299,0.1545972507572067
2022,RAVENNA,42606,7134,0.16744120546401917
2023,MODENA,86537,16459,0.1901961010897073
2023,PARMA,52587,11202,0.21301842660733641
2023,RIMINI,37905,5823,0.15362089434111595
2023,REGGIO EMILIA,61576,10948,0.17779654410809406
2023,RAVENNA,42274,7374,0.17443345791739603
2023,FORLI'-CESENA,47078,7397,0.1571222226942521
2023,BOLOGNA,108181,19362,0.1789778242020318
2023,PIACENZA,32029,8005,0.24992975116300853
2023,FERRARA,36227,6462,0.1783752449830237
2024,REGGIO EMILIA,61093,11076,0.18129736631037927
2024,BOLOGNA,108080,19753,0.18276276831976312
2024,PARMA,52276,11354,0.21719335832886985
2024,RIMINI,38674,6152,0.15907327920566788
2024,MODENA,85840,16571,0.19304520037278658
2024,RAVENNA,41908,7443,0.1776033215615157
2024,FORLI'-CESENA,46734,7381,0.1579364060427098
2024,PIACENZA,31896,8077,0.2532292450464008
2024,FERRARA,36033,6711,0.18624594122054783
2015,EMILIA-ROMAGNA,463120,69176,0.1493694938676801
2016,EMILIA-ROMAGNA,491879,75117,0.15271438707487003
2017,EMILIA-ROMAGNA,497125,77459,0.15581393009806388
2018,EMILIA-ROMAGNA,503975,79017,0.1567875390644377
2019,EMILIA-ROMAGNA,506757,80002,0.1578705375554753
2020,EMILIA-ROMAGNA,507670,82931,0.16335611716272383
2021,EMILIA-ROMAGNA,507353,88137,0.1737192842064598
2022,EMILIA-ROMAGNA,504901,90042,0.17833595100821745
2023,EMILIA-ROMAGNA,504394,93032,0.18444311391491572
2024,EMILIA-ROMAGNA,502534,94518,0.1880827963879061
